kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10024115,간성 스위트 엠 센트럴 아파트,위탁관리,3,(주)설악안전서비스,위탁관리,2,(주)설악안전 서비스,위탁관리(직영+위탁),3,차량수거방식,관리방식미정,,"도포식,분무식,기구부착식,기구설치식,독이식",철근콘크리트구조,1250,단일계약,위탁선임,GR형,부스타방식,위탁관리,7,92,188,유,62,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,6,Y
A21980302,고성삼익아파트,위탁관리,5,삼양관리(주),위탁관리,5,부영개발(주),위탁관리,4,거점장비수거방식,위탁관리,4,분무식,철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,위탁관리,18,286,145,무,102,"관리사무소, 노인정, 보육시설, 어린이놀이터",5분이내,,,,"관공서(경찰서, 소방서, 건강보험공단) 공원()",초등학교(간성초등학교) 중학교(고성중학교) 고등학교(고성고등학교),9,0,Y
A10022047,고성석미모닝파크,위탁관리,2,(주)설악안전서비스,위탁관리,,(주)설악안전서비스,위탁관리,1,기타,위탁관리,2,분무식,철골콘크리트구조,273,단일계약,위탁선임,R형,부스타방식,위탁관리,2,62,56,무,16,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,,,0,1,Y
A21980101,간성대명아파트,자치관리,2,,자치관리,2,,자치관리,1,차량수거방식,위탁관리,6,"도포식,기구부착식",철근콘크리트구조,400,단일계약,위탁선임,P형,고가수조식,위탁관리,2,88,0,무,8,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,관공서(고성군청) 공원(고성공설운동장),초등학교(간성초등학교) 중학교(고성중교) 고등학교(고성고교),4,0,Y
A10020383,거진해당화아파트,위탁관리,,목송산업개발(주),,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10021995,거진동진아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A21990001,성원오션상떼빌아파트,위탁관리,7,한국주택시설관리(주),위탁관리,2,,위탁관리,2,차량수거방식,자치관리(직영),1,분무식,철근콘크리트구조,1132,단일계약,위탁선임,GR형,부스타방식,위탁관리,7,199,0,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,관공서(거진읍사무소) 기타(반암해수욕장),초등학교(거진초) 중학교(거진중) 고등학교(거진정보고),0,0,Y
A10024309,고성천진 한신더휴아파트,위탁관리,5,재인자산관리(주),위탁관리,4,재인지엔에스(주),위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3900,단일계약,상주선임,R형,부스타방식,위탁관리,14,122,446,유,185,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(토성면사무소) 기타(NH 농협),초등학교(천진초등학교) 대학교(경동대학교),9,3,Y
A21983301,유진클래시움아파트,위탁관리,3,(주)설악안전,위탁관리,2,(주)설악안전서비스,위탁관리,2,음식물쓰레기종량제,자치관리,1,분무식,철근콘크리트구조,736,단일계약,위탁선임,P형,고가수조식,위탁관리,4,74,99,무,30,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,관공서(고성군청) 병원(속초 의료원) 기타(아야진해수욕장),"초등학교(아야진초교,천진초교)",4,0,Y
A10020262,아야진라메르데시앙아파트,위탁관리,7,(주)설악안전서비스,위탁관리,,설악안전서비스,위탁관리,11,차량수거방식,,,,철골철근콘크리트구조,6250,종합계약,상주선임,GR형,부스타방식,관리방식미정,23,194,812,유,264,,,,,,,,0,0,Y
A10024424,고성봉포코아루 오션비치아파트,위탁관리,6,재인자산관리(주),위탁관리,4,재인자산관리(주),위탁관리,3,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,1850,종합계약,상주선임,R형,부스타방식,위탁관리,11,114,294,유,124,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,9,Y
A10024766,봉포스위트엠오션파크,위탁관리,3,(주)설악안전서비스,위탁관리,2,(주)설악안전서비스,위탁관리,2,차량수거방식,위탁관리,2,"도포식,분무식",철근콘크리트구조,1350,종합계약,위탁선임,GR형,부스타방식,위탁관리,18,213,0,유,67,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(토성면사무소) 대형상가(농협하나로마트) 공원(해당화공원),초등학교(천진초등학교) 대학교(경동대학교 글로벌 캠퍼스),5,0,Y
