kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022234,대명드림빌,자치관리,2,,자치관리,,,자치관리,1,음식물쓰레기종량제,자치관리,,,철근콘크리트구조,555,단일계약,위탁선임,P형,부스타방식,위탁관리,4,122,0,무,22,,5분이내,,,,,,3,0,Y
A21701001,양우비치타워맨션,자치관리,3,,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,550,단일계약,위탁선임,P형,부스타방식,위탁관리,3,120,0,무,17,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,병원(속초의료원) 공원(영랑호수공원),초등학교(영랑초등학교) 고등학교(속초고등학교),3,0,Y
A10023004,속초디오션자이,위탁관리,9,제일에스테이트서비스 주식회사,위탁관리,3,(주)재인지엔에스,위탁관리,5,음식물쓰레기종량제,위탁관리,3,,철골철근콘크리트구조,2500,종합계약,상주선임,R형,부스타방식,관리방식미정,14,46,555,유,343,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,,,0,20,Y
A10023369,롯데캐슬인더스카이아파트,위탁관리,6,(주)설악안전서비스,위탁관리,4,(주)설악안전서비스,위탁관리,7,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2950,종합계약,상주선임,GR형,부스타방식,위탁관리,17,68,676,유,402,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,"관공서(속초시청, 속초우체국, 춘천지방법원(속초지원), 속초해양경찰서, 동해해양수산청(속초지사)) 병원(속초의료원, 보광병원) 대형상가(속초관광수산시장(중앙시장)) 공원(수복탑공원, 영랑호수공원, 영량호습지생태공원) 기타(속초항여객선터미널, 국제크루즈터미널)","초등학교(중앙초등학교, 속초초등학교) 중학교(속초해랑중학교, 설악중학교, 속초중학교) 고등학교(속초고등학교) 대학교(경동대학교)",15,4,Y
A10026409,이편한세상영랑호아파트,위탁관리,6,(주)설악안전서비스,위탁관리,4,(주)설악안전서비스,위탁관리,5,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,10,86,481,유,125,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,12,0,Y
A21781001,속초대명타워영랑호아파트,자치관리,4,자치관리,자치관리,0,,자치관리,2,음식물쓰레기종량제,관리방식미정,0,,철골철근콘크리트구조,645,단일계약,위탁선임,P형,고가수조식,위탁관리,5,131,0,무,20,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(속초시청) 병원(속초의료원) 공원(영랑호) 기타(공설운동장),"초등학교(중앙초교) 중학교(속초여중,설악여중)",4,0,Y
A10024112,힐스테이트 속초 센트럴,위탁관리,6,재인자산관리(주),위탁관리,2,재인자산관리(주),위탁관리,4,음식물쓰레기종량제,위탁관리,5,,철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,5,0,312,유,109,"관리사무소, 노인정, 커뮤니티공간",5분이내,,,,,,0,6,Y
A10024840,보람레이크더하임아파트,위탁관리,3,(주)설악안전서비스,위탁관리,2,(주)설악안전서비스,위탁관리,1,음식물쓰레기종량제,위탁관리,2,분무식,철골철근콘크리트구조,1350,종합계약,상주선임,P형,부스타방식,위탁관리,4,58,175,무,46,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(속초시청) 병원(속초의료원) 공원(영랑호),초등학교(중앙초등학교) 중학교(해랑중학교) 고등학교(속초고등학교) 대학교(경동대학교),5,0,Y
A21776101,생모리츠,위탁관리,3,(주)설악안전서비스,위탁관리,3,(주)설악안전서비스,위탁관리,2,음식물쓰레기종량제,자치관리,2,"도포식,분무식",철근콘크리트구조,1250,단일계약,위탁선임,R형,부스타방식,위탁관리,7,38,214,무,59,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(속초시청) 병원(속초보광병원) 기타(중앙시장),초등학교(중앙) 중학교(속초) 고등학교(속초.설악),5,0,Y
A21780801,금호대명,자치관리,3,,자치관리,2,,자치관리,1,음식물쓰레기종량제,자치관리,1,분무식,철골콘크리트구조,145,기타,위탁선임,P형,부스타방식,위탁관리,6,175,0,무,30,"노인정, 어린이놀이터",5분이내,,,,관공서(속초시청) 병원(속초의료원) 공원(영랑호) 기타(공설운동장),"초등학교(중앙초교) 중학교(속초여중,설악여중)",2,0,Y
