kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021873,삼호아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,2,0,Y
A10022666,영월LH천년나무아파트,위탁관리,3,(주)태성주택관리,,0,,자치관리,1,,위탁관리(직영+위탁),4,"도포식,분무식",철근콘크리트구조,900,단일계약,위탁선임,GR형,부스타방식,위탁관리,8,151,0,유,43,"관리사무소, 노인정, 주민공동시설",5분이내,,,,,,0,0,Y
A10024272,영월코아루에듀타운,위탁관리,6,대원에스테이트서비스(주),위탁관리,2,엑스퍼트원,자치관리(직영),2,차량수거방식,관리방식미정,3,분무식,철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,관리방식미정,8,230,135,유,79,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",15~20분이내,,,,,고등학교(),8,0,Y
A10020210,수정타운 아파트,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10021858,하송2차아파트자치관리소,자치관리,2,,,,,자치관리,2,차량수거방식,자치관리,4,,철골철근콘크리트구조,0,단일계약,상주선임,기타,수도직결식,,0,150,0,무,12,,5~10분이내,,,,,,0,0,Y
A10021880,대림다미아 아파트,위탁관리,1,광인산업(주),위탁관리,,(주)세연종합관리,자치관리,1,차량수거방식,위탁관리,2,분무식,철근콘크리트구조,964,단일계약,위탁선임,R형,부스타방식,위탁관리,3,64,59,유,24,"관리사무소, 자전거보관소",5분이내,,,,,,0,3,Y
A10024190,극동스타클래스영월아파트,위탁관리,3,주식회사 일택,위탁관리,2,(주)일택,자치관리(직영),3,차량수거방식,위탁관리,2,"도포식,분무식",철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,8,387,0,유,43,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,,관공서(영월군청) 병원(영월의료원),초등학교(영월초등학교) 중학교(석정여중) 고등학교(석정여고) 대학교(세경대학교),8,0,Y
A23071102,영월대선드림채,위탁관리,6,광인산업(주),위탁관리,2,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1360,단일계약,기타,기타,압력탱크식,위탁관리,9,371,0,유,45,"관리사무소, 노인정, 어린이놀이터",15~20분이내,,,,관공서(영월기상대) 기타(영월종합운동장),중학교(석정여자중학교) 고등학교(석정여자고등학교) 대학교(세경대학교),9,0,Y
A23071103,레스트힐주상복합,위탁관리,2,광인산업(주),위탁관리,2,엑스퍼트원,자치관리,1,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,1200,단일계약,위탁선임,GR형,부스타방식,위탁관리,5,26,119,무,37,"관리사무소, 자전거보관소",5~10분이내,,,,"관공서(영월군청, 영월경찰서, 영월소방서, 영월세무서) 병원(영월의료원) 대형상가(영월중앙시장, 영월서부시장) 공원(영월스포츠파크)","초등학교(영월초등학교) 중학교(영월중학교,석정여자중학교,봉래중학교) 고등학교(영월공업고등학교,영월고등학교, 석정여자고등학교) 대학교(세경대학교)",2,4,Y
A23080003,하송4주공아파트,위탁관리,4,(주)태성주택관리,자치관리,4,,자치관리(직영),2,차량수거방식,위탁관리,3,"분무식,독이식",철근콘크리트구조,700,단일계약,위탁선임,R형,부스타방식,위탁관리,22,266,0,무,45,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,,,,"관공서(농산물유통센터,읍사무소,경찰서,보건소,읍사무소,방송국) 병원(영월의료원) 대형상가(동우프라자.영월종합상가) 공원(운동장,동강둔치)","초등학교(영월,내성) 중학교(석정) 고등학교(영월공고,석정여고) 대학교(세경대학)",6,0,Y
A23080805,하송주공3차아파트,위탁관리,3,(주)태성주택관리,위탁관리,6,(주)태성주택관리,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,경량철골구조,700,단일계약,위탁선임,R형,부스타방식,위탁관리,6,215,0,무,39,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(농산물유통센터,읍사무소,경찰서,보건소,읍사무소,방송국) 병원(영월의료원) 대형상가(영월종합상가) 공원(운동장,동강둔치)","초등학교(영월,내성) 중학교(석정) 고등학교(영월공고,석정여고) 대학교(세경대학)",6,0,Y
A23080902,영월하송1차주공아파트,자치관리,2,,자치관리,0,,자치관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,0,단일계약,선정안함,기타,수도직결식,,0,150,0,무,25,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(농산물유통센터,읍사무소,경찰서,보건소,읍사무소,방송국) 병원(영월의료원) 대형상가(동우프라자.영월종합상가) 공원(운동장,동강둔치)","초등학교(영월,내성) 중학교(석정) 고등학교(영월공고,석정여고) 대학교(세경대학)",4,0,Y
A23071101,영월신아,자치관리,1,,자치관리(직영),1,,자치관리(직영),1,차량수거방식,자치관리,2,,프리케스트콘크리트구조,468,단일계약,위탁선임,P형,고가수조식,위탁관리,2,65,0,,8,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,"관공서(농산물유통센터,읍사무소,경찰서,보건소,읍사무소,방송국) 병원(영월의료원) 대형상가(동우프라자.영월종합상가) 공원(운동장,동강둔치)","초등학교(영월,내성) 중학교(석정) 고등학교(영월공고,석정여고) 대학교(세경대학)",2,0,Y
A10026100,영월코아루웰라움아파트,위탁관리,2,율산개발(주),위탁관리,2,(주)엑스퍼트원,위탁관리,1,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리,6,292,0,무,26,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,초등학교(영월초등학교 내성초등학교 봉래초등학교) 중학교(영월중학교 석정여자중학교 봉래중학교) 고등학교(영월고등학교 영월공업고등학교 석정여자고등학교) 대학교(세경대학교),0,0,Y
A23080201,영월금용아파트,자치관리,3,,위탁관리,2,(주)엑스퍼트원,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,386,단일계약,위탁선임,P형,고가수조식,위탁관리,8,200,50,무,25,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,5분이내,"관공서(농산물유통센터,읍사무소,경찰서,보건소,읍사무소,방송국) 병원(영월의료원) 대형상가(동우프라자.영월종합상가) 공원(운동장,동강둔치)","초등학교(영월,내성,봉래) 중학교(석정,영월중) 고등학교(영월공고,석정여고,영월고등학교) 대학교(세경대학)",5,0,Y
A10021178,영월주천고령자복지주택아파트,위탁관리,3,한국안전산업(주),,,,관리방식미정,1,차량수거방식,관리방식미정,,,철골철근콘크리트구조,1000,종합계약,위탁선임,R형,부스타방식,위탁관리,5,59,0,유,30,,5분이내,,,,,,1,0,Y
