kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020208,두산위브더제니스센트럴원주아파트,위탁관리,9,(주)케이티팝스,위탁관리,,(주)에스씨월드,위탁관리,13,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,5650,종합계약,상주선임,R형,부스타방식,관리방식미정,33,114,1419,유,497,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",,,,,,,36,0,Y
A22006001,원동현진아파트,위탁관리,3,(주)태성주택관리,위탁관리,2,(주)태스,자치관리(직영),2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,600,단일계약,위탁선임,P형,고가수조식,위탁관리,4,75,86,무,36,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(원인동사무소,교육청,보건소) 병원(원주세브란스기독병원) 대형상가(하나로마트)","초등학교(교동,일산) 중학교(원주여중)",4,0,Y
A22006002,한주아파트,자치관리,3,,위탁관리,2,중부보안공사(주),위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,700,단일계약,위탁선임,P형,고가수조식,위탁관리,4,64,97,무,30,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,서해선,,,"관공서(원인동사무소) 병원(원주기독병원) 백화점(AK백화점) 대형상가(원주 원예하나로마트) 공원(원주공설운동장) 기타(국민체육센터,따뚜공연장)","초등학교(일산초등학교) 중학교(원주여자중학교) 고등학교(원주고등학교) 대학교(연세대학교 원주의과대학,상지영서대학교,원주강릉대학교)",4,0,Y
A22006003,원동진로아파트,위탁관리,3,,위탁관리,2,(주)태스,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1173,단일계약,위탁선임,P형,부스타방식,위탁관리,7,106,127,무,64,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(원인동사무소,교육지원청) 병원(세브란스기독병원) 기타(치악체육관,치악예술관,따뚜공연장)","초등학교(교동,일산) 중학교(원주여중)",0,5,Y
A22006005,원동주공아파트,자치관리,8,,자치관리,2,,위탁관리(직영+위탁),4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,0,기타,기타,기타,고가수조식,,0,546,0,무,47,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(원인동사무소,교육청,보건소) 병원() 대형상가(하나로마트)","초등학교(교동,일산) 중학교(원주여중)",0,0,Y
A10022045,세경2차아파트,자치관리,2,,자치관리,,,자치관리,2,거점장비수거방식,자치관리,4,,철골철근콘크리트구조,5,단일계약,기타,기타,수도직결식,,0,70,0,무,16,기타,5~10분이내,,,,,,0,0,Y
A22011002,개운 서초아파트,위탁관리,2,(주)태성주택관리,위탁관리,2,(주)태스,위탁관리,1,거점장비수거방식,위탁관리,2,분무식,철근콘크리트구조,582,단일계약,위탁선임,R형,고가수조식,위탁관리,3,50,80,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,"관공서(개운동사무소,단구파출소) 병원(원주의료원,개인병원) 대형상가(롯데마트,남부상가) 공원(원주천둔치)","초등학교(명륜) 중학교(상지,원주중) 고등학교(상지,원주고,)",7,0,Y
A22072101,덕산아파트,위탁관리,1,(주)태성주택관리,위탁관리(직영+위탁),2,(주)태성주택관리,위탁관리(직영+위탁),1,거점장비수거방식,위탁관리,3,분무식,철근콘크리트구조,123,기타,위탁선임,P형,부스타방식,위탁관리,4,101,0,무,16,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,"1호선, 1호선, 1호선, 1호선, 2호선, 2호선, 3호선, 4호선, 부산-김해경전철, 1호선, 2호선, 3호선, 4호선, 5호선, 6호선, 7호선, 8호선, 9호선, 인천1호선, 분당선, 경의중앙선, 경춘선, 공항철도, 신분당선, 수인선, 의정부경전철, 용인에버라인",", , , , ",,"관공서(명륜파출소,개운동사무소,환경청,) 병원(개인병원) 대형상가(롯데마트) 공원(어린이공원,원주둔치)","초등학교(명륜,교동) 중학교(상지,원주중,) 고등학교(상지,원주고,원주여고,)",1,0,Y
A22072102,개운2단지3단지LH아파트,위탁관리,7,(주)태성주택관리,위탁관리,4,(주)태스,자치관리(직영),4,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,1250,단일계약,위탁선임,R형,부스타방식,위탁관리,13,262,229,무,77,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,4,2,Y
A22072103,개운휴먼시아1단지,위탁관리,5,(주)그린빌,위탁관리(직영+위탁),4,(주)그린빌,위탁관리(직영+위탁),4,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,14,130,427,유,121,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,,,,,,10,3,Y
A22093003,원주힐스테이트,자치관리,5,,자치관리,6,,자치관리,4,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,7,160,327,무,81,"관리사무소, 노인정, 주민공동시설, 자전거보관소, 기타",5~10분이내,,,,,"초등학교(명륜,교동) 중학교(상지,원주중,) 고등학교(상지,원주고,원주여고,) 대학교(상지대)",3,7,Y
