kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020351,궁전아파트,,,삼원(주),,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10020444,대윤아파트,자치관리,2,,,,,자치관리,0,차량수거방식,자치관리,,,철골철근콘크리트구조,0,기타,선정안함,기타,기타,,0,80,0,무,16,,,,,,,,2,0,Y
A10020502,선명5차아파트,위탁관리,3,삼원(주),,,,자치관리,1,음식물쓰레기종량제,관리방식미정,,,철골콘크리트구조,400,단일계약,위탁선임,P형,부스타방식,위탁관리,2,31,60,무,16,,,,,,,,2,0,Y
A10021042,유진3차아트빌아파트,위탁관리,2,삼원(주),,,,자치관리,1,차량수거방식,자치관리(직영),,,철근콘크리트구조,500,단일계약,선정안함,P형,부스타방식,위탁관리,4,100,10,무,35,,5분이내,,,,,,3,0,Y
A10021314,태백상장청록아파트,자치관리,1,,,,,자치관리,1,차량수거방식,자치관리,,,철근콘크리트구조,1,기타,선정안함,기타,기타,,0,80,0,무,12,,5~10분이내,,,,,,0,0,Y
A10021506,태백남청아파트,자치관리,2,,자치관리,,,자치관리,1,차량수거방식,자치관리,1,분무식,철근콘크리트구조,350,단일계약,위탁선임,P형,고가수조식,위탁관리,2,49,34,무,13,"관리사무소, 노인정, 휴게시설",5분이내,,,,,,0,0,Y
A10021768,태백에코빌아파트,위탁관리,,삼양관리주식회사,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10023047,태백 포레스트 애시앙 1단지,위탁관리,6,부강주택관리(주),위탁관리,4,(주)티에스산업,위탁관리,6,거점장비수거방식,관리방식미정,3,,철골철근콘크리트구조,3450,종합계약,상주선임,GR형,부스타방식,위탁관리,16,78,589,유,205,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,,,0,12,Y
A10023052,태백 포레스트 애시앙 2단지 사랑으로 부영아파트,위탁관리,6,부강주택관리(주),위탁관리,2,(주)티에스산업,위탁관리,4,차량수거방식,위탁관리,3,도포식,철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,13,101,487,유,165,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,5~10분이내,관공서() 병원(),초등학교() 중학교() 고등학교(),0,4,Y
A10028121,대산2차하이츠빌아파트,위탁관리,3,삼원(주),자치관리(직영),4,,자치관리(직영),3,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1205,단일계약,위탁선임,GR형,부스타방식,위탁관리,16,96,306,유,118,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서() 병원() 공원(),초등학교() 중학교() 고등학교() 대학교(),7,0,Y
