kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020372,평창스위트엠웰라움아파트,위탁관리,8,주식회사 서호,위탁관리,,이화솔루션,위탁관리,3,기타,관리방식미정,,,철근콘크리트구조,1400,종합계약,상주선임,R형,부스타방식,위탁관리,9,92,143,유,95,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",,,,,,,5,0,Y
A10021699,녹주한아름아파트,자치관리,2,,,,,관리방식미정,0,,자치관리,,,철골콘크리트구조,500,종합계약,위탁선임,P형,수도직결식,위탁관리,2,47,44,무,13,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,0,Y
A10022879,평창종부 고령자복지주택(햇살마을),위탁관리,3,세화종합관리(주),자치관리(직영),0,,위탁관리,1,기타,관리방식미정,,,철근콘크리트구조,715.47,종합계약,위탁선임,R형,압력탱크식,위탁관리,2,31,0,유,29,"관리사무소, 주민공동시설, 자전거보관소, 기타",5분이내,,,,,,2,0,Y
A10020381,평창엘리엇아파트,위탁관리,2,한국주택시설관리(주),,,,자치관리(직영),1,음식물쓰레기종량제,관리방식미정,,"도포식,분무식",철골철근콘크리트구조,900,종합계약,위탁선임,GR형,부스타방식,위탁관리,10,59,105,무,23,"관리사무소, 노인정, 어린이놀이터",,,,,,,0,0,Y
A10022024,해피밸리,위탁관리,1,한국주택관리(주),위탁관리,,(주)오석 에스피에스,자치관리,1,음식물쓰레기종량제,위탁관리,2,"기구부착식,기구설치식",철근콘크리트구조,580,단일계약,위탁선임,P형,고가수조식,위탁관리,2,93,22,무,12,"관리사무소, 노인정",15~20분이내,,,,,,3,0,Y
A23292301,코업스위트하우스,자치관리,3,,위탁관리,1,한국주택시설관리,위탁관리,1,음식물쓰레기종량제,관리방식미정,2,분무식,철근콘크리트구조,770,단일계약,위탁선임,GR형,부스타방식,위탁관리,2,70,47,무,12,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5분이내,,,,,,3,0,Y
A23292302,장웅파인힐아파트,위탁관리,2,한국주택시설관리(주),위탁관리,3,한국주택시설관리(주),자치관리(직영),1,차량수거방식,자치관리(직영),6,분무식,철근콘크리트구조,600,단일계약,위탁선임,P형,고가수조식,위탁관리,4,173,0,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,,초등학교(면온초교) 중학교(봉평중학교) 고등학교(봉평고등학교),0,0,Y
A10023022,평창진부웰라움더퍼스트,위탁관리,3,삼양관리주식회사,자치관리,2,,자치관리,2,음식물쓰레기종량제,자치관리,,,철근콘크리트구조,1200,종합계약,상주선임,R형,부스타방식,위탁관리,6,173,154,유,84,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간",10~15분이내,,,,관공서(진부면사무),초등학교(진부초등학교) 중학교(진부중학교) 고등학교(진부고등학교),0,0,Y
A23294101,평창하진부주공,위탁관리,4,주택관리공단,위탁관리,2,(주)건은,자치관리,1,음식물쓰레기종량제,자치관리,3,분무식,철근콘크리트구조,750,단일계약,위탁선임,R형,부스타방식,위탁관리,3,32,139,무,42,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(진부면사무소등),"초등학교(호명초등학교, 거문초등학교, 진부초등학교) 중학교(진부중학교) 고등학교(진부고등학교)",0,0,Y
A23294901,시대진부아파트,위탁관리,3,삼양관리주식회사,자치관리,1,,자치관리,1,차량수거방식,자치관리(직영),2,분무식,철근콘크리트구조,750,단일계약,위탁선임,P형,고가수조식,위탁관리,3,25,42,무,24,"관리사무소, 노인정",5~10분이내,,,,관공서(진부면사무소) 병원(진부한의원) 공원(),"초등학교(진부초교, 호명초교) 중학교(진부중학교) 고등학교(진부고등학교)",0,2,Y
