kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021754,가평블루핀아파트,위탁관리,,대성티엠씨 주식회사,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,3,Y
A10022813,힐스테이트 가평더뉴클래스,위탁관리,5,동우씨엠(주),위탁관리,5,동우씨엠(주),위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,3250,단일계약,상주선임,GR형,부스타방식,위탁관리,13,0,544,유,259,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,경춘선,,,"관공서(가평군청, 가평읍사무소, 가평등기소, 가평군법원, 가평교육지원청)",초등학교(가평초등학교) 중학교(가평중학교) 고등학교(가평고등학교),0,22,Y
A10023612,가평센트럴파크더스카이,위탁관리,4,(주)듀델코리아,,,,위탁관리,3,기타,위탁관리,5,분무식,철골철근콘크리트구조,1982,종합계약,상주선임,R형,부스타방식,위탁관리,6,166,45,유,79,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,경춘선,,5~10분이내,,,5,0,Y
A10024025,가평읍내코아루아파트,위탁관리,4,(주)경진관리,위탁관리,2,(주)경진관리,위탁관리,3,음식물쓰레기종량제,위탁관리,8,분무식,철골철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,8,118,154,유,78,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5분이내,경춘선,,15~20분이내,관공서() 병원() 공원() 기타(),초등학교() 중학교() 고등학교(),4,2,Y
A47771102,LH가평읍내2단지,위탁관리,4,주식회사 씨엠관리,위탁관리,2,(주)SG세콤,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1200,단일계약,위탁선임,R형,부스타방식,위탁관리,9,68,210,유,56,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,경춘선,,10~15분이내,관공서(가평군청) 병원(가평군보건소) 공원(자라섬체육) 기타(가평종합운동장),초등학교(가평) 중학교(가평) 고등학교(가평종합),0,0,Y
A47771105,가평읍내,위탁관리,4,,위탁관리,4,(주)대덕개발,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,725,단일계약,상주선임,R형,부스타방식,위탁관리,10,252,0,무,35,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경춘선,,20분초과,,,0,0,Y
A47780501,가평파란채,위탁관리,4,(주)동우개발,위탁관리,2,(주)혜진종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,8,144,106,무,42,"관리사무소, 노인정, 어린이놀이터",5~10분이내,경춘선,,5분이내,관공서(가평군청) 대형상가(보령프라자) 공원(자라섬체육) 기타(가평역),초등학교(가평) 중학교(가평) 고등학교(가평종합),0,5,Y
A10022657,e편한세상가평퍼스트원아파트,위탁관리,5,율산개발 유한회사,위탁관리,4,상우시스템,위탁관리,6,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,2000,종합계약,상주선임,R형,부스타방식,위탁관리,11,8,559,유,209,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,5분이내,관공서() 병원() 공원(),초등학교() 중학교() 고등학교(),0,3,Y
A10023002,가평자이아파트,위탁관리,5,제일에스테이트서비스 주식회사,위탁관리,4,(주)을지종합관리,위탁관리,5,음식물쓰레기종량제,위탁관리,12,독이식,철근콘크리트구조,2250,종합계약,상주선임,GR형,부스타방식,위탁관리,14,6,635,유,255,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",15~20분이내,경춘선,,,,,0,27,Y
A47770201,가평우림필유,위탁관리,3,(주)무림하우징,위탁관리,2,상우시스템,위탁관리,1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,900,종합계약,위탁선임,GR형,부스타방식,위탁관리,12,151,37,무,29,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경춘선,가평역,15~20분이내,관공서(가평군청) 병원(가평군보건소) 대형상가(농수산마켓) 공원(자라섬체육공원) 기타(가평종합운동장),초등학교(가평) 중학교(가평) 고등학교(가평),0,4,Y
A47770202,선힐하이뷰아파트,위탁관리,4,율산개발(주),자치관리,0,,위탁관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,930,단일계약,위탁선임,P형,부스타방식,위탁관리,6,100,93,무,32,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경춘선,경춘선,5~10분이내,"관공서(가평군청) 병원(가평군보건소) 대형상가(플러스마트, 농수산마트, 조은마트) 공원(가평군 생활체육공원, 자라섬체육공원) 기타(가평종합운동장)","초등학교(가평) 중학교(가평) 고등학교(가평종합) 대학교(강원대학교, 한림대학교, 춘천교육대학교, 송곡대학)",0,4,Y
A10021382,넥스빌 아파트,자치관리,1,,,,,자치관리,2,기타,관리방식미정,1,분무식,철골철근콘크리트구조,115,단일계약,위탁선임,P형,압력탱크식,위탁관리,3,110,0,무,6,,5분이내,,,5~10분이내,,,0,0,Y
A10020340,설악디엘본아파트,위탁관리,5,주식회사 한빛종합관리,위탁관리,,제이비에스,관리방식미정,5,음식물쓰레기종량제,관리방식미정,,,철골철근콘크리트구조,750,단일계약,상주선임,GR형,부스타방식,위탁관리,14,0,507,유,225,,,,,,,,0,12,Y
A10021644,청아빌라2차,위탁관리,2,팜스코 주식회사,,,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,0,단일계약,선정안함,기타,수도직결식,,0,0,124,무,18,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,0,Y
A47785101,북한강코아루,위탁관리,4,(주) 율산개발,위탁관리,2,(주)태양삼차원환경,위탁관리,1,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1550,단일계약,상주선임,GR형,부스타방식,위탁관리,8,87,154,무,59,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,,관공서(설악면사무소) 병원(청심국제병원),초등학교(미원초등학교) 중학교(설악중학교) 고등학교(설악고등학교),5,0,Y
A10021963,청수아파트,자치관리(직영),1,,,,,자치관리(직영),0,차량수거방식,자치관리(직영),,,철골철근콘크리트구조,104,단일계약,위탁선임,P형,수도직결식,위탁관리,3,32,11,무,21,"관리사무소, 주민공동시설, 자전거보관소",5~10분이내,,,15~20분이내,,,0,0,Y
A10026405,이안지안스 청평,위탁관리,4,주식회사 한길종합관리,위탁관리,2,,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리(직영+위탁),9,44,201,유,57,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,경춘선,청평역,15~20분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,5,Y
A47781101,청평삼성쉐르빌,위탁관리,5,우리관리(주),위탁관리,4,홈스웰(주),위탁관리,4,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,14,141,298,유,74,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,경춘선,,10~15분이내,관공서(청평면사무소),고등학교(청평고등학교),0,9,Y
A47781501,청평경남아너스빌,위탁관리,4,광인산업(주),위탁관리,2,광인산업(주),위탁관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1075,단일계약,위탁선임,R형,부스타방식,위탁관리,8,194,45,무,48,"관리사무소, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5~10분이내,경춘선,,15~20분이내,관공서(청평면사무소) 병원(청평우리) 기타(청평역),초등학교(청평) 중학교(청평) 고등학교(청평공업),7,5,Y
A47781502,청평세양청마루,위탁관리,4,광인산업(주),위탁관리,2,광인산업(주),위탁관리,2,음식물쓰레기종량제,위탁관리,8,"분무식,독이식",철근콘크리트구조,1530,단일계약,상주선임,R형,부스타방식,위탁관리,10,150,166,무,57,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,경춘선,청평역,10~15분이내,,,0,24,Y
A47781503,청평한일청구,위탁관리,4,대한종합관리(주),위탁관리,4,세계보안관리시스템,위탁관리,3,음식물쓰레기종량제,위탁관리,12,독이식,철근콘크리트구조,650,단일계약,위탁선임,R형,고가수조식,위탁관리,9,80,160,무,51,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,관공서(청평면사무소) 병원(청평우리) 기타(청평역),초등학교(청평초등) 중학교(청평) 고등학교(청평공업),0,5,Y
