kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021070,대동피렌체,위탁관리,3,(주)신성티엠,,,,위탁관리,1,,위탁관리,,,,,,,,,위탁관리,0,0,197,,49,,5분이내,,,,,,0,0,Y
A10021453,세창짜임주상복합아파트,위탁관리,2,(주)신화비엠씨,,,,위탁관리,3,차량수거방식,위탁관리,12,도포식,철골철근콘크리트구조,700,종합계약,기타,P형,부스타방식,위탁관리,6,0,203,유,32,"관리사무소, 노인정",5~10분이내,3호선,,5~10분이내,,,0,5,Y
A10024451,고양원당줌시티,위탁관리,8,우리관리(주),관리방식미정,0,,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식",철골철근콘크리트구조,2250,종합계약,상주선임,GR형,부스타방식,위탁관리,4,0,277,유,59,"관리사무소, 휴게시설, 자전거보관소",5분이내,3호선,,,관공서() 공원(),초등학교(),0,5,Y
A41201003,주교우인아파트,위탁관리,4,율산개발(주),위탁관리,4,율산개발(유),자치관리(직영),3,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1150,종합계약,상주선임,R형,부스타방식,위탁관리,9,116,186,무,72,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,3호선,,5~10분이내,"관공서(고양시청, 주교동우체국, 성사1동사무소) 병원() 공원(마상공원) 기타()","초등학교(성사초, 원당초) 고등학교(성사고)",0,6,Y
A41280902,주교벽산,위탁관리,4,신한영주택관리(주),위탁관리,5,(주)신세계보안,위탁관리,2,차량수거방식,위탁관리,12,,철근콘크리트구조,750,단일계약,위탁선임,P형,고가수조식,위탁관리,7,53,246,무,35,"관리사무소, 노인정",5분이내,3호선,원당,15~20분이내,"관공서(고양시청, 주교동우체국, 성사1동사무소) 병원() 공원(마상공원) 기타()","초등학교(성사초, 원당초) 고등학교(성사고)",0,6,Y
A41281001,주교우림루미아트,위탁관리,2,(주)태룡에스디,위탁관리,4,한영파트너스이에프,자치관리,1,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,500,종합계약,위탁선임,P형,부스타방식,위탁관리,5,54,110,무,28,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,3호선,원당,,"관공서(고양시청, 주교동우체국, 성사1동사무소, 주교동사무소, 덕양구보건소) 병원(늘푸른의원, 명지병원) 공원(마상공원)","초등학교(성사초, 원당초) 중학교(원당중학교, 성사중학교) 고등학교(성사고)",4,0,Y
A10020250,힐스테이트 삼송더카운티 ,위탁관리,,우리관리(주),,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10026357,신원마을10단지 삼송 동일스위트,위탁관리,8,우리관리(주),위탁관리,5,(주)두원에이엔씨,위탁관리,8,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,3750,단일계약,상주선임,R형,부스타방식,위탁관리,19,3,1093,유,158,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,3호선,"3호선(삼송역, 원흥역 10~15분)",15~20분이내,관공서(원신동주민센타),초등학교(오금초등학교) 중학교(신원중학교),0,22,Y
A10026855,신원마을7단지 동일스위트1차,위탁관리,8,우리관리(주),위탁관리,6,(주)이데아그룹,위탁관리,9,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,3750,단일계약,상주선임,R형,부스타방식,위탁관리,19,0,1267,유,194,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,3호선,"원흥역, 삼송역",10~15분이내,"관공서(신도파출소, 덕양구보건소, 고양등기소, 고양지축동 우편취급국, 원신동주민센타) 대형상가(스타필드) 기타(신원도서관)",초등학교(신원초등학교) 중학교(신원중학교) 고등학교(동산고등학교),0,26,Y
A10027395,고양 삼송A 4블럭 신원마을 4단지,위탁관리,9,광인산업(주),위탁관리,4,(주) 조현시스템,위탁관리,12,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,25,460,949,무,184,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,3호선,,15~20분이내,관공서(원신동 주민센터),,21,6,Y
A10027924,고양삼송우남퍼스트빌,위탁관리,6,(주)동우개발,위탁관리,5,(주)혜진종합관리,위탁관리,8,차량수거방식,위탁관리,12,"도포식,독이식",철근콘크리트구조,3150,단일계약,상주선임,R형,부스타방식,위탁관리,15,8,917,유,204,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,3호선,서울메트로,10~15분이내,대형상가() 공원(),초등학교() 중학교(),0,19,Y
A41207001,고양삼송호반베르디움9단지,위탁관리,5,우리관리(주),위탁관리,4,한영파트너스에프에이치,위탁관리,4,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,13,9,679,유,139,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",10~15분이내,3호선,삼송,10~15분이내,병원(명지 병원) 대형상가(롯데마트 이마트),초등학교(신원) 중학교(신원) 고등학교(신원) 대학교(농협),0,16,Y
A41207002,고양삼송아이파크,위탁관리,6,대원에스테이트서비스(주),위탁관리,6,듀델코리아,위탁관리,7,거점장비수거방식,위탁관리,12,도포식,철근콘크리트구조,3250,종합계약,상주선임,R형,부스타방식,위탁관리,14,14,1210,유,245,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5분이내,3호선,삼송,5~10분이내,,초등학교(신원) 중학교(신원) 고등학교(신원) 대학교(농협),0,25,Y
A41207003,삼송신원마을2단지,위탁관리,10,(주)세원관리,위탁관리,8,(주)이데아그룹,위탁관리,12,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,2900,단일계약,상주선임,R형,부스타방식,위탁관리,34,568,1052,무,192,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,3호선,삼송,,병원() 대형상가() 공원(),초등학교(신원) 중학교() 대학교(농협),0,79,Y
A41207004,신원마을5단지삼송우림필유브로힐,위탁관리,5,우리관리(주),위탁관리,4,한영파트너스FH,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2500,종합계약,상주선임,GR형,부스타방식,위탁관리,13,0,875,무,169,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,3호선,,10~15분이내,"관공서(원신동주민센터) 병원() 대형상가(스타필드, 이케아)",초등학교(신원초) 중학교(신원중) 고등학교(),0,18,Y
A41207005,삼송힐스테이트,위탁관리,5,에이제이대원 주식회사,위탁관리,4,삼우안전관리(유),위탁관리,6,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,2450,단일계약,상주선임,R형,부스타방식,위탁관리,13,6,551,유,141,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,3호선,삼송역,20분초과,관공서(신원동행정복지센타) 병원(은평성모병원) 백화점(롯데백화점 - 은평점) 대형상가(스타필드) 공원(신원동체육공원),초등학교(신원초) 중학교(신원중),0,20,Y
A41215001,삼송신원LH3단지,위탁관리,8,우리관리(주),위탁관리,6,(주)옥산개발,위탁관리,6,차량수거방식,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,1750,단일계약,상주선임,GR형,부스타방식,위탁관리,18,318,622,무,119,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,3호선,삼송,15~20분이내,공원(단지내공원),초등학교() 중학교(),0,3,Y
