kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020198,일산역이안아파트,,,율산개발 유한회사,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10021193,풍원아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,2,0,Y
A10021289,일산현대성우오스타,위탁관리,3,(주)경진관리,위탁관리,,경진관리,위탁관리,2,음식물쓰레기종량제,위탁관리,12,도포식,철골철근콘크리트구조,900,단일계약,상주선임,P형,부스타방식,위탁관리,30,9,231,유,126,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,,10~15분이내,,,0,11,Y
A10022069,미주7차아파트,자치관리,1,,,,,위탁관리,3,차량수거방식,위탁관리,12,,철근콘크리트구조,0,단일계약,선정안함,P형,부스타방식,,0,74,14,무,16,"관리사무소, 노인정, 어린이놀이터",10~15분이내,경의중앙선,,15~20분이내,병원(일산복음병원) 기타(일산재래시장),초등학교(현산초등학교) 중학교(현산중학교) 고등학교(일산고등학교),0,0,Y
A10023446,e편한세상 일산어반스카이,위탁관리,13,대원에스테이트서비스(주),위탁관리,6,새롬종합관리(주),위탁관리,8,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,5800,종합계약,상주선임,GR형,부스타방식,위탁관리,13,0,718,유,225,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,경의중앙선,,5분이내,,초등학교() 중학교(),0,21,Y
A41131001,일산메가시티2,위탁관리,1,율산개발(주),위탁관리,2,(유)율산개발,위탁관리,1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,875,단일계약,위탁선임,P형,부스타방식,위탁관리,3,2,95,무,16,"관리사무소, 어린이놀이터",5분이내,"3호선, 경의중앙선, 서해선",일산역,5~10분이내,"관공서(일산1동사무소, 일산2동사무소, 일산2동우체국) 병원(김진태소아과) 대형상가(디지털LG에이스프라자) 기타(경의선일산역, 일산구보건소)","초등학교(일산초) 중학교(일산종합중고교, 현산중) 고등학교(일산종합중고교)",0,2,Y
A41131002,일산월드메르디앙,위탁관리,4,율산개발(주),위탁관리,2,(주)옥산개발,위탁관리,2,차량수거방식,위탁관리,8,"도포식,분무식",철근콘크리트구조,600,종합계약,위탁선임,P형,고가수조식,위탁관리,4,0,229,무,44,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,일산역,5분이내,"관공서(일산1동동사무소, 일산2동동사무소, 일산2동우체국) 병원(성심치과의원) 대형상가(월마트) 기타(경의선일산역, 일산구보건소)","초등학교(일산초, 현산초) 중학교(일산종합중고교, 현산중, 중산중) 고등학교(일산종합중고교)",0,5,Y
A41131104,일산휴먼빌,위탁관리,7,광인산업(주),위탁관리,8,(주)코리아종합관리,위탁관리,8,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2851,단일계약,상주선임,R형,부스타방식,위탁관리,23,193,633,무,97,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",5분이내,"3호선, 경의중앙선",일산역,10~15분이내,"관공서(일산1동사무소) 병원(이해호치과) 대형상가(이마트) 기타(경의선일산역, 일산구보건소)",초등학교(일산초) 중학교(일산종합중고교) 고등학교(일산종합중고교),0,4,Y
A41131207,일산산들마을6단지대교,위탁관리,6,한국주택관리(주),위탁관리,4,(주)상우시스템,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1800,단일계약,상주선임,GR형,부스타방식,위탁관리,10,135,341,무,98,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"3호선, 인천1호선, 분당선",,,관공서(일산2동사무소) 병원(바오로내과) 공원(중산근린공원) 기타(경의선일산역),"초등학교(일산초, 안곡초) 중학교(신일중, 일산종합중고교) 고등학교(일산정보산업고)",10,4,Y
A41131211,일산산들마을3단지대림아파트,위탁관리,6,(주)덕우,위탁관리,6,(주)옥산개발,위탁관리,6,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1900,단일계약,상주선임,R형,부스타방식,위탁관리,12,301,575,무,114,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"3호선, 경의중앙선",일산역,10~15분이내,관공서(일산2동사무소) 병원(바오로내과) 백화점(그랜드백화점) 대형상가(월마트) 공원(중산근린공원) 기타(경의선일산역),"초등학교(일산초, 안곡초, 중산초) 중학교(신일중, 중산중) 고등학교(일산정보산업고교)",7,11,Y
A41131218,일산산들마을5단지동문,위탁관리,8,(주)신성티엠,위탁관리,8,(주0이데아그룹,위탁관리,9,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2550,단일계약,상주선임,R형,부스타방식,위탁관리,20,268,668,무,146,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,"3호선, 인천1호선, 분당선, 경의중앙선",일산역,5~10분이내,관공서(일산2동사무소) 병원(복음병원) 대형상가(롯데슈퍼) 기타(경의선일산역),"초등학교(일산초, 현산초) 중학교(일산종합중고교) 고등학교(일산종합중고교)",5,14,Y
A41131301,일산후곡마을5단지영풍한진,위탁관리,6,율산개발(주),위탁관리,8,(주)피누스이앤씨,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1450,단일계약,상주선임,P형,부스타방식,위탁관리,12,150,423,무,80,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"3호선, 경의중앙선","일산역, 주엽역",5~10분이내,"관공서(일산3동사무소) 병원(선인한의원) 백화점(그랜드백화점) 대형상가(이마트, 롯데마트) 공원(후동공원) 기타(경의선일산역)","초등학교(오마초, 신촌초, 신일초) 중학교(오마중, 신일중) 고등학교(일산정보산업고, 주엽고)",10,14,Y
A41131303,일산후곡마을8단지동신,위탁관리,6,서일개발(주),위탁관리,18,(주)세이프원,위탁관리,4,기타,위탁관리,4,"도포식,분무식",철근콘크리트구조,1660,단일계약,상주선임,P형,부스타방식,위탁관리,16,302,482,무,89,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"3호선, 경의중앙선","일산역, 주엽역",10~15분이내,"관공서(일산3동사무소) 병원(후곡크리닉의원) 백화점(그랜드백화점) 대형상가(월마트, 롯데마트) 공원(후동공원) 기타(경의선일산역)","초등학교(오마초, 신촌초, 신일초) 중학교(오마중, 신일중) 고등학교(일산정보산업고, 주엽고)",0,13,Y
A41131307,후곡3현대아파트,위탁관리,7,우리관리(주),위탁관리,10,(주)푸른안전산업,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1965,단일계약,상주선임,P형,부스타방식,위탁관리,17,270,623,무,105,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,"경의중앙선, 서해선","일산역, 주엽역",5분이내,"관공서(일산3동사무소) 병원(재생한의원) 대형상가(이마트, 롯데마트) 공원(후동공원) 기타(경의선일산역)","초등학교(오마초, 신촌초, 신일초) 중학교(오마중, 신일중) 고등학교(일산정보산업고, 주엽고)",0,18,Y
A41131310,일산후곡6단지건영동부,위탁관리,7,율산개발(주),위탁관리,10,㈜승학,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1250,종합계약,상주선임,P형,고가수조식,위탁관리,18,314,282,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"3호선, 경의중앙선","일산역, 주엽역",10~15분이내,"관공서(일산3동사무소) 병원(후곡크리닉의원) 백화점(그랜드백화점) 대형상가(월마트, 롯데마트) 공원(후동공원) 기타(경의선일산역)","초등학교(오마초, 신촌초, 신일초) 중학교(오마중, 신일중) 고등학교(일산정보산업고, 주엽고)",9,3,Y
A41131314,일산후곡마을7단지동성,위탁관리,7,(주)태룡에스디,위탁관리,11,(주)한영파트너스,위탁관리,6,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2700,단일계약,상주선임,P형,고가수조식,위탁관리,21,265,369,무,78,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5분이내,"3호선, 경의중앙선","일산역, 주엽역",10~15분이내,"관공서(일산3동사무소) 병원(후곡크리닉의원) 백화점(그랜드백화점) 대형상가(이마트, 롯데마트) 공원(후동공원) 기타(경의선일산역)","초등학교(오마초, 신촌초, 신일초) 중학교(오마중, 신일중) 고등학교(일산정보산업고, 주엽고)",0,0,Y
A41131315,후곡LG롯데9단지아파트,위탁관리,9,(주)신성티엠,위탁관리,12,(주)원스탑,위탁관리,6,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,1500,단일계약,상주선임,P형,고가수조식,위탁관리,22,377,491,무,87,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,"3호선, 경의중앙선",,5~10분이내,"관공서(일산3동사무소) 병원(이가정의학과) 백화점(현대백화점) 대형상가(하나로마트, 롯데마트) 공원(후동공원) 기타(경의선일산역)","초등학교(오마초, 신촌초, 신일초) 중학교(오마중, 신일중) 고등학교(일산정보산업고, 주엽고)",7,29,Y
A41131317,일산후곡1112단지공무원아파트,위탁관리,15,(주)신성티엠,위탁관리,40,예주산업(주),위탁관리,11,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2800,단일계약,상주선임,P형,고가수조식,위탁관리,24,555,509,무,173,"관리사무소, 노인정, 주민공동시설, 휴게시설, 자전거보관소",5~10분이내,"3호선, 경의중앙선","일산역, 주엽역",5~10분이내,"관공서(일산3동사무소) 병원(박임재소아과) 백화점(그랜드백화점) 대형상가(이마트, 롯데마트) 공원(후동공원) 기타(경의선일산역)","초등학교(오마초, 신촌초, 신일초) 중학교(오마중, 신일중) 고등학교(일산정보산업고, 주엽고)",0,0,Y
A41172607,일산2차휴먼빌,위탁관리,3,남경종합관리(주),위탁관리,4,(주)코리아종합관리,위탁관리,3,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,9,93,180,무,78,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"3호선, 경의중앙선",,10~15분이내,관공서(일산1동사무소) 병원(서울정형외과) 대형상가(이마트) 기타(),초등학교(한뫼초교) 중학교(일산중학교) 고등학교(일산공고),0,6,Y
A41172608,일산태영,위탁관리,7,(주)화신지엠에스,위탁관리,10,세계보안시스템,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2050,단일계약,상주선임,R형,부스타방식,위탁관리,17,207,435,무,77,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,,5~10분이내,"관공서(일산1동동사무소, 일산2동동사무소, 일산2동우체국) 병원(이성화한의원) 기타(경의선일산역, 일산구보건소)","초등학교(일산초, 현산초) 중학교(일산종합중고교, 현산중, 중산중) 고등학교(일산종합중고교)",0,24,Y
A41172609,일산유진스웰2차,위탁관리,5,우리관리(주),위탁관리,2,(주)듀델코리아,위탁관리,2,차량수거방식,위탁관리,4,"분무식,독이식",철근콘크리트구조,1150,종합계약,상주선임,R형,부스타방식,위탁관리,6,0,454,유,86,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,경의중앙선,일산,5분이내,"백화점(그랜드, 현대백화점)",초등학교(한뫼초) 중학교(일산중) 고등학교(일산고),0,9,Y
A41172610,일산푸르지오,위탁관리,6,에이제이대원 주식회사,위탁관리,4,(주)푸른안전산업,위탁관리,8,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,3250,단일계약,상주선임,GR형,부스타방식,위탁관리,18,26,689,유,185,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,경의중앙선,탄현역,20분초과,공원(중산중앙공원),초등학교(현산초등학교) 중학교(현산중학교) 고등학교(일산고등학교),0,44,Y
A41182202,일산에이스9차,위탁관리,4,율산개발(주),위탁관리,5,희망코리아,위탁관리,3,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,329,단일계약,위탁선임,R형,부스타방식,위탁관리,8,177,97,무,62,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,,,"관공서(일산1동사무소, 일산2동사무소, 일산2동우체국) 병원(소망의원) 대형상가(디지털LG에이스프라자) 공원(중산근린공원) 기타(경의선일산역, 일산구보건소)","초등학교(일산초, 현산초) 중학교(일산종합중고교, 현산중, 중산중) 고등학교(일산종합중고교, 중산고)",6,0,Y
A41182204,일산현대1차홈타운아파트,위탁관리,4,율산개발 유한회사,위탁관리,4,탄천산업,위탁관리,4,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,950,단일계약,위탁선임,기타,부스타방식,위탁관리,8,28,341,무,88,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,경의중앙선,일산역,5~10분이내,"관공서(일산1동사무소, 일산2동사무소, 일산2동우체국) 병원(김문방한의원) 대형상가(삼성디지탈프라자) 기타(경의선일산역, 일산구보건소)","초등학교(일산초, 현산초) 중학교(일산종합중고교, 현산중, 중산중) 고등학교(일산종합중고교)",3,4,Y
