kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022542,과천리오포레데시앙,위탁관리,6,경기진흥주택관리(주),위탁관리,,(주)로지앤제니스,위탁관리,7,음식물쓰레기종량제,위탁관리,12,분무식,철골구조,3050,단일계약,상주선임,R형,부스타방식,위탁관리,17,0,703,유,353,"관리사무소, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,4호선,,10~15분이내,,,0,35,Y
A10022631,과천린파밀리에아파트,위탁관리,7,(주)로이안H&F,위탁관리,5,(주)우송관리,위탁관리,8,차량수거방식,위탁관리,3,"분무식,독이식",철근콘크리트구조,4550,종합계약,상주선임,R형,부스타방식,위탁관리,14,6,792,유,311,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,4호선,인덕원,10~15분이내,,,0,40,Y
A10022791,과천포레드림아파트,위탁관리,7,남부공영(주),자치관리(직영),2,남부공영주식회사,자치관리(직영),5,거점장비수거방식,,,,철근콘크리트구조,2300,종합계약,상주선임,R형,부스타방식,관리방식미정,11,16,426,유,178,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,4호선,인덕원역,15~20분이내,관공서() 병원() 기타(),초등학교() 중학교(),0,18,Y
A10022794,과천수자인아파트,위탁관리(직영+위탁),3,(주)케이비아주,위탁관리(직영+위탁),2,(주)케이비아주,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철골철근콘크리트구조,1450,종합계약,위탁선임,GR형,부스타방식,위탁관리,5,0,220,유,61,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,4호선,,5~10분이내,관공서(과천시청) 병원(평촌 성심병원) 공원(과천서울대공원),초등학교(문원초등학교) 중학교(과천문원 중학교) 고등학교(과천중앙고등학교),0,5,Y
A10023171,과천그랑레브데시앙,위탁관리,5,중앙종합관리(주),위탁관리,3,탑스관리(주),위탁관리,5,음식물쓰레기종량제,위탁관리,18,"도포식,분무식,독이식",철골철근콘크리트구조,2700,단일계약,상주선임,GR형,부스타방식,위탁관리,14,0,571,유,191,"관리사무소, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",15~20분이내,4호선,,20분초과,관공서(과천시정) 병원(),초등학교(과천갈현초등학교) 중학교(과천율목초중학교) 고등학교(),0,29,Y
A10023180,과천푸르지오오르투스,위탁관리,5,(주)대우에스티,위탁관리(직영+위탁),3,(주)대우에스티,위탁관리(직영+위탁),6,,위탁관리(직영+위탁),16,"도포식,분무식,기구부착식,기구설치식,독이식",철골철근콘크리트구조,1750,종합계약,상주선임,GR형,부스타방식,위탁관리,10,0,748,유,298,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,4호선,,10~15분이내,,,0,15,Y
A10023264,르센토데시앙 아파트,위탁관리,8,우리관리(주),위탁관리,5,르센토데시앙아파트입주자대표회의,자치관리(직영),7,음식물쓰레기종량제,위탁관리,12,독이식,철골철근콘크리트구조,2475,종합계약,상주선임,R형,부스타방식,위탁관리,16,9,818,유,169,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,4호선,,5~10분이내,,초등학교(),0,17,Y
A10023570,과천푸르지오벨라르테,위탁관리,6,에이제이대원 주식회사,위탁관리,4,(주)듀델코리아,위탁관리,7,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,2250,종합계약,상주선임,R형,부스타방식,위탁관리,12,0,864,유,236,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,4호선,,15~20분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교(갈현초등학교) 중학교(),0,17,Y
A10023998,과천제이드자이,위탁관리,8,제일에스테이트서비스 주식회사,위탁관리,5,(주)태영,위탁관리,8,음식물쓰레기종량제,위탁관리,4,분무식,철골콘크리트구조,2650,단일계약,상주선임,R형,부스타방식,위탁관리,18,21,720,유,255,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,4호선,,5~10분이내,,,0,15,Y
A10024002,과천푸르지오라비엔오아파트,위탁관리,7,우리관리(주),위탁관리,6,케이티텔레캅(주),위탁관리,8,차량수거방식,위탁관리,12,도포식,철골철근콘크리트구조,3950,종합계약,상주선임,R형,부스타방식,위탁관리,34,8,951,유,273,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,4호선,인덕원역,10~15분이내,관공서(과천시청) 병원(한림대학병원) 대형상가(이마트),초등학교(문원초등학교) 중학교(문원중학교) 고등학교(중앙고등학교),0,20,Y
A10024885,센트레빌 아스테리움,위탁관리,4,(주)태룡에스디,위탁관리,1,(주)태룡에스디,위탁관리,1,거점장비수거방식,기타,,,철골철근콘크리트구조,1800,종합계약,상주선임,R형,부스타방식,,0,0,212,,80,,5분이내,,,5분이내,,,0,0,Y
A10024935,과천푸르지오써밋,위탁관리,23,(주)타워피엠씨,위탁관리,19,(주)에스텍시스템,위탁관리,22,기타,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,10250,종합계약,상주선임,R형,부스타방식,위탁관리,58,0,2781,유,932,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,4호선,,5분이내,공원(),초등학교() 중학교() 고등학교(),0,86,Y
A42780601,과천주공10단지,자치관리,8,,자치관리(직영),8,,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1500,단일계약,상주선임,기타,수도직결식,,0,632,0,무,36,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,4호선,과천,5분이내,관공서(중앙동주민센터 과천종합청사) 공원(중앙공원),초등학교(과천초등학교) 중학교(과천중학교) 고등학교(과천외국어고등학교 과천고등학교 과천여자고등학교),0,0,Y
A42780602,과천래미안에코팰리스,위탁관리,8,율산개발 유한회사,위탁관리,6,듀델코리아,위탁관리,9,거점장비수거방식,위탁관리,12,,철근콘크리트구조,2250,종합계약,상주선임,R형,부스타방식,위탁관리,25,49,825,무,231,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,4호선,과천,5~10분이내,관공서(중앙동사무소) 백화점(뉴코아백화점) 공원(과천중앙공원),초등학교(과천초등학교) 중학교(과천중학교) 고등학교(과천외국어고등학교),0,4,Y
A10024433,과천위버필드아파트,위탁관리,29,에이제이대원 주식회사,위탁관리,21,(주)듀델코리아,위탁관리,26,거점장비수거방식,위탁관리,4,독이식,철골철근콘크리트구조,9565,종합계약,상주선임,R형,부스타방식,위탁관리,50,3,3192,유,847,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,4호선,,5분이내,,,0,64,Y
A42703002,과천래미안슈르,위탁관리,27,(주)청원종합관리,위탁관리,26,(유)탄천산업,위탁관리,38,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,14000,종합계약,상주선임,R형,부스타방식,위탁관리,89,228,5284,유,744,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,4호선,정부과천청사,5~10분이내,관공서(갈현동사무소) 대형상가(킴스클럽) 공원(과천중앙공원),초등학교(문원초등학교) 중학교(문원중학교) 고등학교(과천중앙고교),0,301,Y
A10024059,과천자이아파트,위탁관리,17,(주)타워피엠씨,위탁관리,16,에스텍시스템,위탁관리,27,기타,위탁관리,,,철근콘크리트구조,11350,종합계약,상주선임,R형,부스타방식,위탁관리,65,0,3409,유,624,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,4호선,"과천역, 과천정부청사역",5~10분이내,관공서(과천시청) 대형상가(e-마트),초등학교(문원) 중학교(문원) 고등학교(과천),0,89,Y
A10025670,과천래미안센트럴스위트,위탁관리,7,(주)아주관리,위탁관리,4,에스원,위탁관리,7,음식물쓰레기종량제,위탁관리,12,"도포식,기구부착식,독이식",철골철근콘크리트구조,2400,종합계약,상주선임,R형,부스타방식,위탁관리,19,0,801,유,176,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,4호선,,5분이내,,초등학교(청계초등학교) 고등학교(과천고등학교),0,8,Y
