kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020377,광명센트럴아이파크,위탁관리,15,국제경보산업(주),위탁관리,,선우환경관리,위탁관리,22,거점장비수거방식,관리방식미정,,,철근콘크리트구조,,종합계약,상주선임,R형,부스타방식,위탁관리,0,,,유,,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",,7호선,,,,,0,0,Y
A10020862,트리우스광명 아파트,위탁관리,25,우리관리(주),위탁관리,,(유)탄천산업,위탁관리,41,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,3500,단일계약,상주선임,GR형,부스타방식,위탁관리,70,0,4158,유,1246,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,"1호선, 7호선","광명사거리역, 개봉역",5~10분이내,관공서(광명1동행정복지센터) 병원(광명성애병원) 공원(목감천) 기타(광명전통시장),초등학교(광명동초등학교) 중학교(광명북중학교) 고등학교(광명북고등학교),0,167,Y
A10021456,중앙하이츠3차아파트,위탁관리,1,태영건물종합관리 주식회사,위탁관리,,태영건물종합관리(주),자치관리,1,기타,위탁관리,4,분무식,철골콘크리트구조,682,종합계약,위탁선임,P형,고가수조식,위탁관리,2,4,126,무,31,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5분이내,7호선,,10~15분이내,,,0,3,Y
A10021702,호반써밋그랜드에비뉴아파트,위탁관리,10,(주)케이비아주,위탁관리,,(주)이데아그룹,위탁관리,13,기타,위탁관리,12,"도포식,분무식",철근콘크리트구조,6850,종합계약,상주선임,GR형,부스타방식,위탁관리,25,0,1275,유,516,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,7호선,,15~20분이내,,,0,26,Y
A10021882,상우3차아파트,자치관리,1,,자치관리,,,자치관리,1,음식물쓰레기종량제,위탁관리,6,독이식,철골철근콘크리트구조,450,종합계약,위탁선임,P형,고가수조식,위탁관리,2,33,85,유,24,"관리사무소, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,7호선,,10~15분이내,,,6,0,Y
A10022961,광명푸르지오포레나,위탁관리,10,(주)신화비엠씨,위탁관리,9,(주)한결에이엠,위탁관리,14,거점장비수거방식,관리방식미정,12,"도포식,분무식",철근콘크리트구조,6100,종합계약,상주선임,GR형,부스타방식,관리방식미정,32,9,1469,유,310,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,7호선,광명4거리,5~10분이내,관공서(광명시청 1688-3399) 병원(광명성애병원 2680-7114),초등학교(광명남초등학교 02-2612-0381) 고등학교(경기항공고등학교 02-2613-0024),0,36,Y
A10023536,광명푸르지오센트베르아파트,위탁관리,10,서림주택관리(주),위탁관리,9,(주)국보종합관리,위탁관리,13,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,7364,단일계약,상주선임,R형,부스타방식,위탁관리,25,0,1609,유,411,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,7호선,,5~10분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,81,Y
A10024531,광명아크포레자이위브아파트,위탁관리,16,세화종합관리(주),위탁관리,16,코리아이지텔(주),위탁관리,23,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,5500,종합계약,상주선임,R형,부스타방식,위탁관리,45,8,2432,유,633,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,7호선,광명사거리역,10~15분이내,"관공서(광명7동사무소, 광명시청) 대형상가(이마트 메트로 광명점) 기타(광명전통시장, 광명새마을시장)","초등학교(광문초등학교) 중학교(광문중학교) 고등학교(광문고등학교,명문고등학교, 경기항공고등학교)",0,50,Y
A42301001,광명팰리스필2차,위탁관리,1,한성세영비엔에이,위탁관리,2,한성세영,위탁관리,2,음식물쓰레기종량제,위탁관리,6,"도포식,분무식",철근콘크리트구조,750,단일계약,위탁선임,P형,부스타방식,위탁관리,8,10,160,유,56,"관리사무소, 노인정, 어린이놀이터",5분이내,7호선,광명사거리,10~15분이내,"관공서(광명7동 주민센터) 대형상가(광명새마을시장, 광명시장) 공원(도덕산공원) 기타(광명스피돔)","초등학교(광일, 광명남) 중학교(광문) 고등학교(명문)",4,0,Y
A42301002,광명현진에버빌,위탁관리,5,서일개발(주),위탁관리,7,웅산산업개발,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,2750,단일계약,상주선임,R형,부스타방식,위탁관리,16,173,476,무,105,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,7호선,광명사거리,15~20분이내,관공서(광명5동주민센터) 병원() 대형상가(광명새마을시장) 공원(꿈동산공원) 기타(광명스피돔),초등학교(광일) 중학교(광문) 고등학교(명문),0,12,Y
A42301501,광명월드메르디앙,위탁관리,5,우리관리(주),위탁관리,6,주식회사 경진이앤지,위탁관리,5,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,2705,단일계약,상주선임,R형,부스타방식,위탁관리,14,91,502,유,113,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5분이내,7호선,,15~20분이내,관공서(광명5동주민센터) 대형상가(광명새마을시장) 공원(꿈동산공원) 기타(광명스피돔),초등학교(광명서) 중학교(광문) 고등학교(명문),12,0,Y
A42370601,광명상우1차,위탁관리,4,,,,,자치관리,1,,자치관리,,,철골철근콘크리트구조,125,단일계약,위탁선임,P형,부스타방식,위탁관리,2,24,105,무,28,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,"1호선, 1호선, 1호선, 1호선, 2호선, 2호선, 3호선, 4호선, 부산-김해경전철, 1호선, 2호선, 3호선, 4호선, 5호선, 6호선, 7호선, 8호선, 9호선, 인천1호선, 분당선, 경의중앙선, 경춘선, 공항철도, 신분당선, 수인선, 의정부경전철, 용인에버라인",", , , , ",,,,3,3,Y
A42376401,광명해모로이연,위탁관리,10,광인산업(주),위탁관리,12,세계보안관리시스템,위탁관리,16,음식물쓰레기종량제,위탁관리,4,"도포식,독이식",철근콘크리트구조,6000,종합계약,상주선임,R형,부스타방식,위탁관리,28,138,1683,유,265,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,7호선,,15~20분이내,관공서(광명6동주민센터) 병원() 대형상가(광명새마을시장) 공원(꿈동산공원) 기타(광명스피돔),초등학교(광일) 중학교(광문) 고등학교(명문),0,37,Y
A42377301,광명영화아이닉스,위탁관리,4,신한영관리(주),위탁관리,4,(주)태영,위탁관리,2,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,950,종합계약,위탁선임,R형,부스타방식,위탁관리,9,89,218,무,106,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,7호선,광명사거리,15~20분이내,관공서(광명6동주민센터) 대형상가(광명새마을시장) 공원(꿈동산공원) 기타(광명스피돔),초등학교(광일) 중학교(광문) 고등학교(명문),3,0,Y
A42377601,광명제일풍경채,자치관리,3,,자치관리,2,,자치관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,기구부착식",철근콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,7,13,206,유,78,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,7호선,광명사거리,15~20분이내,관공서(광명6동주민센터) 대형상가(광명새마을시장) 공원(꿈동산공원) 기타(광명스피돔),초등학교(광일) 중학교(광문) 고등학교(명문),0,8,Y
