kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10024950,이룸넘버원리치안,위탁관리,3,우진관리주식회사,위탁관리,2,(주)미성종합개발,위탁관리,2,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,950,종합계약,위탁선임,P형,부스타방식,위탁관리,4,23,196,유,32,"관리사무소, 주민공동시설",5분이내,경춘선,갈매역,5~10분이내,관공서(갈매동 행정복지센터) 병원(구리 백병원) 백화점(구리 롯데백화점) 대형상가(모다아울렛) 공원(갈매중앙공원),초등학교(갈매초등학교 산마루초등학교) 중학교(갈매중학교) 고등학교(갈매고등학교),0,0,Y
A10026043,갈매6단지,위탁관리,9,율산개발 유한회사,위탁관리,7,주식회사 에스원,위탁관리,10,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,3500,단일계약,상주선임,GR형,부스타방식,위탁관리,23,103,983,유,222,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,경춘선,,10~15분이내,관공서(갈매행정복지센타) 대형상가(모다아울렛) 공원(),초등학교(갈매초등학교) 중학교(갈매중학교) 고등학교(갈매고등학교),5,17,Y
A10026309,갈매역 아이파크,위탁관리,10,에이제이대원 주식회사,위탁관리,7,남광개(주),위탁관리,15,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,4250,종합계약,상주선임,R형,부스타방식,위탁관리,27,192,1236,유,339,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,경춘선,,5~10분이내,관공서() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,10,Y
A10026703,갈매와이시티,위탁관리,5,광인산업(주),위탁관리,2,(주)태양삼차원환경,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철골콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,9,45,411,유,115,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,경춘선,,5~10분이내,관공서() 병원() 공원(),초등학교() 중학교() 고등학교(),9,0,Y
A10026724,구리 갈매 푸르지오아파트,위탁관리,8,율산개발 유한회사,위탁관리,6,(주)이엠피서비스,위탁관리,10,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,4250,종합계약,상주선임,GR형,부스타방식,위탁관리,20,71,1314,유,256,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,경춘선,갈매역,5~10분이내,"관공서(갈매주민센터) 병원(갈매보건지소, 서울의료원, 구리한양대병원) 백화점() 대형상가(별내이마트) 기타(갈매동 작은도서관, 국민은행(별내지점), 우리은행(별내지점),구리농협(갈매지점)기업은행(구리지점))","초등학교(갈매초등학교, 산마루 초등학교) 중학교(갈매중학교, 한별중학교, 한국삼육중학교) 고등학교(갈매고등학교, 한국삼육고등학교,)",0,28,Y
A10026867,구리갈매스타힐스,위탁관리,8,세화종합관리(주),위탁관리,6,(주)태양삼차원환경,위탁관리,9,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,4950,단일계약,상주선임,GR형,부스타방식,위탁관리,27,107,1114,유,275,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,경춘선,갈매역,5~10분이내,"관공서(건강보험공단, lh 갈매사업단 등) 병원() 대형상가(모다아울렛) 공원(갈매중앙공원)",초등학교(산마루초등학교) 중학교(갈매중학교) 고등학교(갈매고등학교),6,18,Y
A10027267,이스트힐아파트,위탁관리,11,한국주택시설관리(주),위탁관리,6,태양삼차원환경,위탁관리,12,차량수거방식,위탁관리,4,독이식,철골철근콘크리트구조,5100,종합계약,상주선임,R형,부스타방식,위탁관리,39,126,1149,유,244,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,경춘선,,5~10분이내,관공서() 병원() 대형상가() 공원() 기타(),초등학교() 중학교(),26,0,Y
A10027438,LH구리갈매1단지,위탁관리,11,대한종합관리(주),위탁관리,4,주.승학,위탁관리,13,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,2850,단일계약,상주선임,R형,부스타방식,위탁관리,21,284,892,무,154,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,경춘선,,5~10분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,73,Y
A10027511,갈매더샵나인힐스,위탁관리,10,대원종합관리(주),위탁관리,7,(주)백송종합고나리,위탁관리,8,차량수거방식,위탁관리,12,"도포식,독이식",철골철근콘크리트구조,4750,단일계약,상주선임,GR형,부스타방식,위탁관리,19,65,959,유,288,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,경춘선,갈매역,10~15분이내,,,22,0,Y
A10027574,한라비발디아파트,위탁관리,9,(주)태룡에스디,위탁관리,8,sk쉴더스,위탁관리,11,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,4000,단일계약,상주선임,R형,부스타방식,위탁관리,30,84,1210,유,262,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,경춘선,갈매역,10~15분이내,대형상가(모다아울렛),초등학교(산마루초등학교) 중학교(갈매중학교),0,26,Y
