kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021267,마빌르스위트아파트,위탁관리,1,,위탁관리,,태경종합관리,위탁관리,1,차량수거방식,위탁관리,12,분무식,철골콘크리트구조,115,종합계약,위탁선임,P형,부스타방식,위탁관리,4,58,56,유,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 4호선",,15~20분이내,,,3,0,Y
A10022491,당동쌍용스윗닷홈,위탁관리,4,(주)신원티엠씨(TMC),위탁관리,,주식회사 신원티엠씨,위탁관리,2,,위탁관리,2,분무식,철근콘크리트구조,500,단일계약,위탁선임,P형,부스타방식,위탁관리,4,38,78,무,21,,5~10분이내,,,5~10분이내,,,0,0,Y
A10023523,대흥아파트,위탁관리,2,한국주택시설관리(주),위탁관리,1,밝은티에스,위탁관리,2,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,550,단일계약,위탁선임,P형,부스타방식,위탁관리,4,0,170,무,45,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,1호선,,5분이내,관공서() 병원() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,4,Y
A10025073,군포당동덕산2차아파트,위탁관리,2,,위탁관리,2,신광환경,자치관리(직영),1,기타,위탁관리,12,분무식,철골콘크리트구조,605,단일계약,위탁선임,P형,부스타방식,위탁관리,3,16,69,,16,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,1호선,,5~10분이내,관공서() 병원() 공원() 기타(),초등학교() 중학교() 고등학교() 대학교(),0,0,Y
A10025200,동도센트리움,위탁관리,2,케이에프앤에스주식회사,위탁관리,2,케이에프앤에스주식회사,위탁관리,2,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,1200,단일계약,상주선임,R형,부스타방식,위탁관리,6,53,171,유,78,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,10~15분이내,"관공서(군포시청, 군포소방서, 군포2동주민센터, 군포경찰서,) 병원(군포샘병원, 군포보건소) 공원(당정동 근린공원, 당동체육공원)","초등학교(당동, 군포) 중학교(당동) 고등학교(용호) 대학교(한세)",4,0,Y
A43501002,당동무지개마을금강KCC,위탁관리,4,우리관리(주),위탁관리,2,(주)이레시스템,위탁관리,4,차량수거방식,위탁관리,12,분무식,벽돌구조,1400,단일계약,상주선임,GR형,부스타방식,위탁관리,7,42,265,무,91,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,군포,10~15분이내,"관공서(군포시청,문화센터) 병원(군포병원) 공원(당동체육공원)",초등학교(군포초) 중학교(당동중) 고등학교(용호고) 대학교(한세대),7,0,Y
A43501003,군포두산,위탁관리,4,에이제이대원 주식회사,위탁관리,4,새롬씨큐리티(주),위탁관리,3,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,950,종합계약,위탁선임,P형,부스타방식,위탁관리,16,112,72,무,58,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,1호선,,5~10분이내,"관공서(군포시청,문화센터) 병원(군포병원) 대형상가(삼성디지털프라자-군포점) 공원(당동체육공원)",초등학교(군포초) 중학교(용호중) 고등학교(용호고) 대학교(한세대),6,0,Y
A43501004,엘지신산본자이1차,위탁관리,6,한국주택시설관리(주),위탁관리,6,한국보안컨설팅,위탁관리,4,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,1900,단일계약,상주선임,P형,부스타방식,위탁관리,12,83,517,무,131,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,"1호선, 4호선","군포,당정",10~15분이내,"관공서(군포시청,문화센터) 병원(군포병원,원광대종합병원) 공원(당동체육공원)",초등학교(당동초) 중학교(당동중) 고등학교(용호고) 대학교(한세대),2,10,Y
A43501005,군포 동아,위탁관리,5,우리관리(주),위탁관리,6,현대관리시스템,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1280,종합계약,상주선임,P형,부스타방식,위탁관리,18,186,162,무,91,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,1호선,군포,5~10분이내,"관공서(군포시청,문화센터) 병원(군포병원,) 대형상가(삼성디지털프라자-군포점) 공원(당동체육공원)",초등학교(군포초) 중학교(옥천중) 고등학교(용호고) 대학교(한세대),7,0,Y
A43501006,당동주공2-1단지,위탁관리,5,대한산업개발(주),위탁관리,6,(주)조현시스템,위탁관리,4,차량수거방식,위탁관리,4,"분무식,기구부착식",철근콘크리트구조,1250,단일계약,위탁선임,R형,고가수조식,위탁관리,12,212,279,무,78,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,당정역,5~10분이내,"관공서(군포시청,문화센터) 병원(군포병원 지샘병원) 공원(당동체육공원)",초등학교(용호초) 중학교(용호중) 고등학교(용호고) 대학교(한세대),7,3,Y
