kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021104,김포동양파라곤2차아파트,위탁관리,2,서림주택관리(주),위탁관리,,옥산개발(주),위탁관리,2,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,700,단일계약,위탁선임,R형,부스타방식,위탁관리,6,0,159,유,69,,5분이내,,,15~20분이내,,,0,4,Y
A10021336,김포동양파라곤1차,위탁관리,2,율산개발 유한회사,위탁관리,,,위탁관리,2,차량수거방식,위탁관리,12,,,,,,,,,0,,,,,,5~10분이내,,,,,,6,0,Y
A10021460,현대아파트,위탁관리,,대아산업(주),,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A41503002,북변풍년마을영풍,자치관리,4,입주자대표회의,자치관리,5,,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1350,단일계약,위탁선임,P형,고가수조식,위탁관리,8,216,243,무,80,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,김포골드라인,,5분이내,관공서(김포시청) 병원(우리병원) 공원(근린공원),초등학교(금파초등학교) 중학교(금파중학교) 고등학교(김포고등학교),0,10,Y
A41503003,북변풍년마을동남,위탁관리,4,주식회사 푸른종합주택관리,위탁관리,3,코리아종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,800,단일계약,위탁선임,P형,부스타방식,위탁관리,8,194,108,무,54,"관리사무소, 노인정, 어린이놀이터",5분이내,김포골드라인,,5분이내,"관공서(김포시청) 병원(우리병원) 대형상가(이마트트래더스,홈플러스) 공원(근린공원)",초등학교(김포초등학교) 중학교(금파중학교) 고등학교(김포고등학교),3,3,Y
A41503004,북변풍년마을신일,위탁관리,4,우리관리(주),위탁관리,6,코리아종합관리,위탁관리,5,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1400,단일계약,상주선임,P형,고가수조식,위탁관리,10,248,382,무,65,"관리사무소, 노인정, 어린이놀이터",5~10분이내,김포골드라인,,,관공서(김포시청) 병원(우리병원) 공원(근린공원),초등학교(김포초등학교) 중학교(금파중학교) 고등학교(김포고등학교),13,0,Y
A41503005,북변풍년마을삼성,위탁관리,6,주식회사 푸른종합주택관리,위탁관리,9,(주)라포르,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2350,단일계약,상주선임,R형,고가수조식,위탁관리,12,331,453,무,91,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,김포골드라인,사우역(김포시청),20분초과,관공서(김포시청) 병원(우리병원) 대형상가(삼성디지털프라자) 공원(근린공원),초등학교(금파초등학교) 중학교(금파중학교) 고등학교(김포고등학교),6,10,Y
A41503007,김포북변대우,위탁관리,4,쌍용개발,위탁관리,6,주)희망코리아,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1270,단일계약,위탁선임,P형,부스타방식,위탁관리,18,180,114,무,91,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,김포골드라인,,,관공서(김포시청) 병원(우리병원) 대형상가(홈플러스),초등학교(김포서초등학교) 중학교(금파중학교) 고등학교(김포고등학교),4,4,Y
A41503008,풍년마을서광신안아파트,위탁관리,6,(주)화신지엠에스,위탁관리,8,원스타,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,16,320,345,무,105,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터",5~10분이내,김포골드라인,,,관공서(김포시청) 병원(우리병원) 대형상가(삼성디지털프라자) 공원(근린공원),초등학교(김포초등학교) 중학교(금파중학교) 고등학교(김포고등학교),14,0,Y
A41503009,풍년마을청구한라,위탁관리,6,대원에스테이트서비스(주),위탁관리,6,(주)세이프원,위탁관리,8,음식물쓰레기종량제,위탁관리,12,도포식,철골철근콘크리트구조,1800,단일계약,상주선임,R형,고가수조식,위탁관리,31,364,455,무,132,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",5분이내,"5호선, 9호선, 김포골드라인",,5~10분이내,,"초등학교(사우초등학교, 금파초등학교) 중학교(김포여중, 금파중학교) 고등학교(김포고등학교, 사우고등학교)",12,4,Y
A41503010,북변산호,위탁관리,10,서일개발(주),위탁관리,6,(주)동익,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2100,단일계약,상주선임,P형,부스타방식,위탁관리,21,361,210,무,93,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5분이내,"5호선, 9호선",,5~10분이내,"관공서(김포시청, 김포본동) 병원(우리병원) 대형상가(하이마트-북변점, 삼성홈플러스) 공원(걸포중앙공원)","초등학교(김포서초등학교) 중학교(김포중학교, 김포여자중학교, 금파중학교) 고등학교(김포고등학교, 김포제일고등학교) 대학교(김포대학교)",12,0,Y
A41571206,북변풍년마을대림,위탁관리,5,우리관리(주),위탁관리,4,(주)듀델코리아,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,2020,종합계약,상주선임,P형,부스타방식,위탁관리,12,259,235,무,90,"관리사무소, 노인정, 어린이놀이터",5~10분이내,김포골드라인,,5~10분이내,"관공서(김포시청) 병원(우리병원) 대형상가(삼성디지털프라자, ,이마트트레이더스) 공원(근린공원)",초등학교(금파초등학교) 중학교(금파중학교) 고등학교(김포고등학교),0,5,Y
A10024689,한강메트로자이 1단지,위탁관리,10,대원에스테이트서비스(주),위탁관리,7,(주)상일테크,위탁관리,12,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,6050,종합계약,상주선임,R형,부스타방식,위탁관리,25,0,1489,유,370,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,김포골드라인,걸포북변역,5분이내,대형상가(파인스타),초등학교(나진초등학교),0,74,Y
A10024755,한강메트로자이3단지,위탁관리,5,서림주택관리(주),위탁관리,4,국보종합관리,위탁관리,6,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,3000,종합계약,상주선임,R형,부스타방식,위탁관리,17,0,565,유,171,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,"3호선, 5호선, 공항철도",걸포북변역,5~10분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교(),0,36,Y
A10024763,한강메트로자이2단지 아파트,위탁관리,16,세화종합관리(주),위탁관리,15,(주)에스텍,위탁관리,28,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철골철근콘크리트구조,13250,단일계약,상주선임,R형,부스타방식,위탁관리,78,22,3199,유,895,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,김포골드라인,,5~10분이내,"병원(우리병원) 대형상가(파인스타) 공원(걸포공원(김포중봉청소년수련관), 걸포마루공원)",초등학교(나진초등학교),0,51,Y
A10025549,한강파크뷰 우방아이유쉘아파트,위탁관리,6,세화종합관리(주),위탁관리,4,(주)피누스이앤씨,위탁관리,6,음식물쓰레기종량제,위탁관리,6,,철근콘크리트구조,2935,기타,상주선임,R형,부스타방식,위탁관리,14,5,648,유,129,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,5분이내,관공서(김포시청) 병원(김포 우리병원) 백화점(현대아울렛) 대형상가(홈플러스) 공원(걸포중앙공원),"초등학교(걸포초등학교) 중학교(김포중학교, 금파중학교) 고등학교(사우고등학교) 대학교()",0,13,Y
