kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020635,동두천중흥S클래스,위탁관리,5,주식회사 우창개발,위탁관리,,(주)우창개발,위탁관리,4,음식물쓰레기종량제,위탁관리,,,철골철근콘크리트구조,3150,종합계약,상주선임,GR형,부스타방식,위탁관리,13,99,505,유,191,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",,1호선,,,관공서(동두천시청) 대형상가(롯데마트),,0,0,Y
A10024184,LH지행역더퍼스트,위탁관리,5,주식회사 케이비개발,위탁관리(직영+위탁),2,주식회사 케이비개발,위탁관리(직영+위탁),3,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,1850,종합계약,상주선임,GR형,부스타방식,위탁관리,8,94,250,유,108,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,10~15분이내,관공서(동두천시청. 동두천시평생학습관. 송내동 행정복지센타. 지행역. 송내지구대. 동두천소방서. 동두시보건소. 지행동우체국. 포천세무서 동두천지서.) 병원(동두천시보건소. 서울행복의원.),초등학교(이담초등학교.) 중학교(송내중앙중학교.) 고등학교(동두천중앙고등학교),0,4,Y
A48301003,송내3단지,위탁관리,9,주식회사 강남씨스템,위탁관리,8,선우환경관리,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2050,단일계약,상주선임,R형,부스타방식,위탁관리,29,415,373,무,102,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,5~10분이내,공원(근린공원),초등학교(송내) 중학교(송내),0,16,Y
A48373801,송내아이파크,자치관리,5,,위탁관리,6,동남시큐리티,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,10,158,475,무,104,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,지행,5~10분이내,관공서(동두천시청) 병원(동두천 성모 병원) 대형상가(동두천 롯데마트) 공원(시민근린공원),"초등학교(송내초등학교,이담초등학교) 중학교(송내중학교,생연중학교) 고등학교(중앙고등학교)",0,13,Y
A48375404,송내4단지주공,위탁관리,10,우리관리(주),위탁관리,12,(주)동남시큐리티,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2350,단일계약,상주선임,R형,부스타방식,위탁관리,40,751,303,무,108,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,지행,5~10분이내,공원(근린공원),초등학교(송내) 중학교(송내),0,22,Y
A48375502,송내주공5단지,위탁관리,6,대원에스테이트서비스(주),위탁관리,6,(주)동남시큐리트,위탁관리,4,기타,위탁관리,12,분무식,철근콘크리트구조,1150,단일계약,상주선임,R형,부스타방식,위탁관리,18,355,238,무,109,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,5~10분이내,대형상가() 공원(근린공원),초등학교(송내) 중학교(송내),3,9,Y
A10022959,지행역센트레빌파크뷰,위탁관리,5,서림주택관리(주),위탁관리,2,태영건물종합관리(주),위탁관리,3,거점장비수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2232,단일계약,상주선임,R형,부스타방식,위탁관리,10,62,334,유,121,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,5~10분이내,"관공서(보건소, 소방서, 송내지구대) 공원(시민평화공원)","초등학교(신천초등학교, 사동초등학교) 중학교(생연중학교)",0,8,Y
A10026546,동두천 에코 휴먼빌2차 아파트,위탁관리,5,우리관리(주),위탁관리,3,(주)덕우,위탁관리(직영+위탁),5,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2700,단일계약,상주선임,R형,부스타방식,위탁관리,18,55,490,유,130,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",15~20분이내,1호선,,15~20분이내,,초등학교() 중학교() 고등학교(),0,11,Y
A48302002,지행역휴먼빌,자치관리,5,,자치관리,3,,자치관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1560,단일계약,상주선임,GR형,부스타방식,위탁관리,10,70,305,유,53,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,"1호선, 경의중앙선",지행,5~10분이내,관공서(동두천시청) 병원(성모병원) 기타(동두천경찰서),초등학교(지행초) 중학교(중앙중) 고등학교(동두천외고) 대학교(한북대),8,0,Y
A48302004,동두천현대1차2차,위탁관리,3,율산개발 유한회사,위탁관리,4,엘림에스 주식회사,위탁관리,3,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1557,단일계약,위탁선임,GR형,부스타방식,위탁관리,10,76,263,무,43,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,5분이내,관공서(동두천시 법원) 기타(주유소),고등학교(동두천 중앙고등학교),0,6,Y
