kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020553,힐스테이트 소사역아파트,위탁관리,8,대승종합관리(주),위탁관리,,대승종합관리(주),위탁관리,7,음식물쓰레기종량제,위탁관리,24,분무식,철골철근콘크리트구조,3850,종합계약,상주선임,R형,부스타방식,위탁관리,16,0,815,유,238,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",,"1호선, 서해선",,,,,0,47,Y
A10021536,현대프라힐스소사역더프라임,위탁관리,3,주식회사 이진케어시스템,,,,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,2280,종합계약,상주선임,GR형,부스타방식,위탁관리,5,0,201,유,68,,5분이내,,,,,,0,4,Y
A10022436,소새울역신일해피트리아파트,위탁관리,1,(주)신원티엠씨(TMC),,,,위탁관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철골콘크리트구조,100,종합계약,상주선임,R형,부스타방식,위탁관리,1,20,180,유,52,,5분이내,,,,,,0,2,Y
A10022807,소사역 한라비발디 프레스티지,위탁관리,5,(주)신대한관리,,0,,위탁관리,3,거점장비수거방식,위탁관리,12,분무식,철골철근콘크리트구조,1997,종합계약,상주선임,R형,부스타방식,,5,0,208,유,182,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"5호선, 서해선",,5분이내,관공서() 병원(),,0,4,Y
A10023377,부천소사현진에버빌아파트,위탁관리,2,대성티엠씨 주식회사,위탁관리,2,(주)이엠피서비스,위탁관리,2,음식물쓰레기종량제,관리방식미정,,,철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,16,16,188,유,85,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"1호선, 서해선",,15~20분이내,"관공서(경찰서, 소사구청) 병원(세종병원) 공원(쌈지공원)",초등학교(부원초등학교) 중학교(진영중학교) 고등학교(진영고등학교) 대학교(서울신학대학교),5,0,Y
A10024871,부천한신더휴메트로,위탁관리,6,우리관리(주),위탁관리,2,크린서비스,위탁관리,5,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,1950,종합계약,상주선임,GR형,부스타방식,자치관리(직영),6,0,374,유,128,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"1호선, 서해선",,5분이내,관공서() 병원() 기타(),초등학교() 중학교(),0,20,Y
A42223002,소사주공3단지,위탁관리,4,율산개발 유한회사,위탁관리,4,유한회사 탄천산업,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철골철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,10,182,132,무,44,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"1호선, 서해선","소사역, 소새울역",15~20분이내,관공서(소사 구청) 병원(세종병원) 대형상가(E-마트),초등학교(창영 초등교) 중학교(일신중교) 고등학교(시온고교),0,0,Y
A42223003,부천소사역푸르지오,위탁관리,7,율산개발 유한회사,위탁관리,8,(주)예주산업,위탁관리,8,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철골철근콘크리트구조,3700,단일계약,상주선임,R형,부스타방식,위탁관리,19,1,994,유,192,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,"1호선, 서해선",소사,5분이내,"관공서(소사구청) 병원(세종병원, 성모병원) 대형상가(홈플러스(소사점)) 공원(소새울공원)","초등학교(소사초교, 창영초교, 범박초교) 중학교(부천일신중학교, 부일중학교, 범박중학교) 고등학교(시온고교, 범박고교, 소사고교) 대학교(서울신학대, 유한대학교, 가톨릭대학교)",0,10,Y
A42270606,소사양우,자치관리,2,,위탁관리,2,대승케이비엠,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"분무식,기구부착식",철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,7,85,167,유,53,"관리사무소, 노인정, 어린이놀이터",5분이내,1호선,소사역,5분이내,관공서(소사 구청) 병원(세종병원) 대형상가(E-마트),초등학교(복사초등교) 중학교(부일중교) 고등학교(소사 고교),5,0,Y
A42270607,소사풍림,위탁관리,7,씨에스케이(주),위탁관리,8,코리아종합관리(주),위탁관리,6,음식물쓰레기종량제,위탁관리,16,"분무식,기구부착식",철근콘크리트구조,1600,단일계약,상주선임,P형,고가수조식,위탁관리,20,303,308,무,145,"관리사무소, 노인정, 보육시설, 어린이놀이터",5~10분이내,1호선,,15~20분이내,관공서(소사 구청) 병원(세종병원),초등학교(복사초등교) 중학교(부일중교) 고등학교(소사 고교),0,2,Y
