kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022953,노루마을 건영빌라,위탁관리,2,한국주택시설관리(주),위탁관리,2,오석에스피에스(주),위탁관리,2,기타,위탁관리,12,분무식,철골철근콘크리트구조,81,단일계약,선정안함,기타,수도직결식,,0,9,136,무,58,"관리사무소, 노인정",5~10분이내,신분당선,,5분이내,,,0,4,Y
A10026832,풍림아이원빌라,위탁관리,4,(주)무림하우징,위탁관리,0,(주)무림하우징,위탁관리,1,차량수거방식,위탁관리,4,독이식,철근콘크리트구조,550,종합계약,위탁선임,P형,부스타방식,위탁관리,6,0,77,,32,"관리사무소, 휴게시설, 커뮤니티공간",5~10분이내,신분당선,,15~20분이내,,초등학교() 중학교(),0,0,Y
A46374703,분당샛별마을동성,위탁관리,7,세화종합관리(주),위탁관리,7,조은세이프,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,1715,단일계약,상주선임,P형,부스타방식,위탁관리,18,237,261,무,124,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,"분당선, 신분당선, 경강선","서현, 이매, 미금",15~20분이내,관공서(분당동사무소) 병원(분당재생병원) 공원(당골공원),"초등학교(당촌초교,서당초교,) 중학교(양영중교,장안중교) 고등학교(대진고교,양영디지탈고교)",9,15,Y
A46374805,분당샛별마을라이프,위탁관리,8,대원에스테이트서비스(주),위탁관리,9,(주)세이프원,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2100,단일계약,상주선임,P형,부스타방식,위탁관리,21,401,292,무,140,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,분당선,,15~20분이내,"관공서(분당동행정복지센터) 병원(분당제생병원, 분당차병원, 분당서울대학교병원) 백화점(서현역 AK프라자, 수내역 롯데백화점) 대형상가(이마트 분당점, 하나로클럽 성남점, 홈플러스 야탑점, 엔씨백화점 야탑점) 공원(중앙공원) 기타(불곡산(313m, 왕복 2시간 거리))","초등학교(당촌초교,서당초교,) 중학교(양영중교,장안중교) 고등학교(대진고교,양영디지탈고교) 대학교(가천대학교)",14,26,Y
A46374904,분당샛별마을삼부,위탁관리,7,(주)신대한관리,위탁관리,12,(주)나래종합관리,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1450,단일계약,상주선임,R형,고가수조식,위탁관리,18,244,307,무,107,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",5분이내,분당선,,10~15분이내,관공서(분당동사무소) 병원(이소아과의원) 공원(당골공원),"초등학교(당촌초교,서당초교,) 중학교(양영중교,샛별중교) 고등학교(대진고교,양영디지탈고교)",0,9,Y
A46375006,분당샛별마을우방,자치관리,8,,위탁관리,9,인앤인,위탁관리,7,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2400,단일계약,상주선임,P형,부스타방식,위탁관리,22,525,454,무,120,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",10~15분이내,분당선,,15~20분이내,관공서(분당동사무소) 병원(이소아과의원) 백화점(롯데백화점) 공원(분당중앙공원),"초등학교(당촌초교,서당초교,) 중학교(수내중학) 고등학교(수내고등학교)",0,5,Y
A46383201,분당건영두산빌라,위탁관리,3,한국주택시설관리(주),위탁관리,2,(주)조현시스템,위탁관리,3,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,190,기타,위탁선임,기타,수도직결식,,0,6,182,무,33,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15~20분이내,분당선,서현,20분초과,"관공서(분당동사무소) 공원(태현공원, 율동공원)","초등학교(장안초등학교) 중학교(양영중교,장안중교) 고등학교(대진고교,양영디지탈고교)",0,0,Y
A46383202,분당장안타운한신라이프,위탁관리,4,서림주택관리(주),위탁관리,2,서림주택,위탁관리,3,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,74,단일계약,위탁선임,기타,수도직결식,,0,18,263,무,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"분당선, 신분당선",서현,20분초과,관공서(분당동사무소) 병원(박상복치과) 공원(태현공원),"초등학교(당촌초교,서당초교,) 중학교(양영중교,장안중교) 고등학교(대진고교,양영디지탈고교)",0,5,Y
A46390707,분당장안타운건영2차,위탁관리,15,우리관리(주),위탁관리,31,(주)동익,위탁관리,15,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,3550,단일계약,상주선임,P형,부스타방식,위탁관리,50,789,1093,무,144,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원",5분이내,"분당선, 신분당선",,5~10분이내,"관공서(분당동사무소, 등기소) 병원(심스의원) 공원(태현공원, 율동공원)","초등학교(당촌초교,서당초교,) 중학교(양영중교,장안중교) 고등학교(대진고교,양영디지탈고교)",29,0,Y
A10023883,분당지웰푸르지오,위탁관리,5,(주)신화시스템즈,위탁관리,4,에스텍시스템,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"분무식,기구부착식,독이식",철골콘크리트구조,2100,종합계약,상주선임,R형,부스타방식,위탁관리,6,0,264,유,76,"문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,분당선,,5~10분이내,백화점(),초등학교(),0,6,Y
