kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021470,우찬셀레스빌,위탁관리,,(주)휴탑,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,5~10분이내,,,0,0,Y
A10022065,삼부르네상스파크1아파트,위탁관리,6,(주)무림하우징,,,,위탁관리,1,음식물쓰레기종량제,위탁관리,,분무식,철근콘크리트구조,1332,단일계약,위탁선임,P형,부스타방식,위탁관리,2,0,116,무,64,"관리사무소, 노인정",5~10분이내,8호선,,10~15분이내,,,0,3,Y
A10022077,삼부르네상스파크2,위탁관리,1,(주)무림하우징,위탁관리,,,위탁관리,2,음식물쓰레기종량제,위탁관리,18,분무식,철골철근콘크리트구조,600,단일계약,,R형,부스타방식,위탁관리,4,,136,유,,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,,,0,4,Y
A10022845,산성역자이푸르지오1단지,위탁관리,10,주식회사 케이비개발,위탁관리,8,주식회사 케이비개발,자치관리(직영),18,차량수거방식,관리방식미정,,,철골철근콘크리트구조,6500,종합계약,상주선임,R형,부스타방식,관리방식미정,45,17,2317,유,669,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,8호선,,15~20분이내,,초등학교(희망대초등학교),0,90,Y
A10022853,산성역 자이푸르지오2단지,위탁관리,9,국제경보산업(주),위탁관리,7,주식회사 에스원,위탁관리,13,기타,위탁관리,12,분무식,철골철근콘크리트구조,4750,종합계약,상주선임,GR형,부스타방식,위탁관리,31,8,1588,유,506,"관리사무소, 노인정, 커뮤니티공간, 자전거보관소",5분이내,,,15~20분이내,,,0,32,Y
A10022854,산성역자이푸르지오3단지,위탁관리,9,세화종합관리(주),위탁관리,6,(주)듀델코리아,위탁관리,10,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",콘크리트구조,3250,종합계약,상주선임,R형,부스타방식,위탁관리,19,8,1051,유,273,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,8호선,,10~15분이내,,,0,5,Y
A10022929,산성역자이푸르지오4단지,위탁관리,8,서일개발(주),위탁관리,5,(주)한울타리,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2250,종합계약,상주선임,R형,부스타방식,위탁관리,10,30,790,유,172,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",5분이내,8호선,,5~10분이내,관공서(수전구청 성남우체국) 병원(성남의료원 수정구보건소) 대형상가(이마트) 공원(희망대공원),초등학교(성남북초등학교) 중학교(서남서중) 고등학교() 대학교(신구대학교),0,16,Y
A10023197,성남샤르망아파트,위탁관리,1,(주)현대개발,위탁관리,2,현대개발,위탁관리,1,차량수거방식,위탁관리,5,도포식,철근콘크리트구조,695,종합계약,위탁선임,R형,부스타방식,위탁관리,2,21,131,유,40,관리사무소,5~10분이내,8호선,,10~15분이내,"대형상가(이마트, 건물내 대형슈퍼) 기타()",,0,0,Y
A10024631,산성역 포레스티아 아파트,위탁관리,41,(주)무림하우징,위탁관리,25,주식회사 이데아그룹,위탁관리,46,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,16250,단일계약,상주선임,R형,부스타방식,위탁관리,198,26,4972,유,1722,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,8호선,,5분이내,관공서(수정구청) 병원(차병원) 백화점(뉴코아백화점) 대형상가(이마트) 공원(영장산),"초등학교(신흥초등학교, 성남북초등학교) 중학교(성남여자중학교) 고등학교(성보경영고등학교) 대학교(신구대학교,성남기능대학교)",0,91,Y
A46170904,성남한신,위탁관리,8,(주)유원종합관리,위탁관리,10,삼우안전관리,위탁관리,6,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,1100,단일계약,상주선임,P형,부스타방식,위탁관리,14,420,0,무,76,,10~15분이내,8호선,,15~20분이내,관공서(수정구청) 병원(형부부치과) 대형상가(삼성디지털프라자) 공원(희망대공원),초등학교(희망대초등교),0,0,Y
