kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A44337202,매탄극동,위탁관리,2,더씨앤(주),위탁관리,3,드림안전씨스템(주),위탁관리,2,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,600,단일계약,위탁선임,P형,고가수조식,위탁관리,11,81,172,무,48,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(남부경찰서,매탄2동사무소) 병원(김광희치과의원, 나누리병원) 대형상가(까르푸) 공원(어린이공원) 기타(우체국)","초등학교(산남,원천) 중학교(매원,산남,동수원)",0,0,Y
A44370501,매탄이편한세상,위탁관리,7,(주)아주관리,위탁관리,8,그린코리아(주),위탁관리,7,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,2600,종합계약,상주선임,R형,부스타방식,위탁관리,15,0,872,유,210,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,분당선,,15~20분이내,"관공서(남부경찰서, 원천동주민센터) 공원(근린공원)","초등학교(원천초교, 산남초교) 중학교(동수원중교, 산남중교) 대학교(아주대학교)",0,18,Y
A44370903,매탄주공5단지,위탁관리,7,(주)무림개발,,,,,,,,,,철근콘크리트구조,3500,단일계약,상주선임,P형,고가수조식,,21,754,0,,0,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,분당선,,5분이내,"관공서(중부지방국세청) 병원(이진구치과) 백화점(갤러리아,뉴코아) 대형상가(홈플러스) 공원(효원공원) 기타(문화예술회관)","초등학교(동수원,매탄) 중학교(매원)",0,0,Y
A44371004,매탄현대힐스테이트,위탁관리,15,에이제이대원 주식회사,위탁관리,17,(주)미래환경,위탁관리,24,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,7850,단일계약,상주선임,R형,고가수조식,위탁관리,80,542,2012,유,463,"관리사무소, 노인정, 문고",5~10분이내,,,,관공서(매탄1동사무소) 병원(동수원) 공원(효원) 기타(동수원우체국),"초등학교(동수원,매탄) 중학교(매원)",0,51,Y
A44371204,매탄한국1차,위탁관리,5,경기진흥주택관리(주),위탁관리,4,(주)이데아그룹,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,919,기타,위탁선임,P형,부스타방식,위탁관리,25,378,232,무,107,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,분당선,,10~15분이내,관공서(남부경찰서) 병원(김광희치과의원) 대형상가(까르푸) 공원(매탄) 기타(매탄2동우체국),"초등학교(원일, 원천,산남) 중학교(산남,매원,동수원)",13,0,Y
A44371303,매탄현대,위탁관리,7,현대하우징(주),위탁관리,12,드림안전씨스템,위탁관리,6,거점장비수거방식,위탁관리,4,"분무식,독이식",철근콘크리트구조,1850,단일계약,상주선임,P형,부스타방식,위탁관리,23,641,0,무,77,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,"관공서(매탄4동사무소) 백화점(뉴코아) 공원(매탄,효원) 기타(경기도문화예술회관)","초등학교(동수원,매탄) 중학교(매원) 고등학교(매탄) 대학교(아주대학교)",7,0,Y
A44371607,매탄동남,위탁관리,6,현대하우징 주식회사,위탁관리,9,화성보안시스템(주),위탁관리,4,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,120,기타,위탁선임,P형,부스타방식,위탁관리,8,720,0,무,94,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,10~15분이내,,,14,0,Y
A44371608,매탄성일,위탁관리,6,현대하우징 주식회사,위탁관리,12,(유)미래환경,위탁관리,6,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,277,기타,위탁선임,P형,부스타방식,위탁관리,12,333,0,무,58,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,분당선,,,"관공서(매탄파출소) 병원(권택환치과의원) 백화점(뉴코아) 공원(매탄,효원) 기타(문화예술회관)","초등학교(동수원,매탄) 중학교(매원) 고등학교(매탄)",3,0,Y
A44371706,매탄원천성일,위탁관리,6,경기진흥주택관리(주),위탁관리,4,화성보안시스템(주),위탁관리,5,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,444,기타,위탁선임,R형,고가수조식,위탁관리,14,346,0,무,16,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,관공서(남부경찰서) 병원(박은하치과) 대형상가(까르푸) 공원(원천택지공원) 기타(동수원전화국),"초등학교(원일,원천,산남) 중학교(동수원,산남)",0,0,Y
A44371808,매탄삼성1차아파트,위탁관리,7,현대하우징 주식회사,위탁관리,10,드림안전씨스템,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",프리케스트콘크리트구조,2000,단일계약,상주선임,P형,부스타방식,위탁관리,14,356,0,무,71,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,분당선,수원시청역,15~20분이내,"관공서(영통구청, 수원지방법원) 병원(입구에 내과,치과, 한의원, 이빈후과 등 다수 있음) 백화점(NC백화정) 대형상가(홈플러스,이마트, GS마트) 공원(매탄공원, 효원공원) 기타(kbs수원센터, 수영장)","초등학교(매탄초) 중학교(매탄중, 매원중) 고등학교(매탄고, 효원고) 대학교(아주대)",8,0,Y
A44371902,매탄삼성2차,위탁관리,7,현대하우징(주),위탁관리,4,화성보안시스템(주),위탁관리,5,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,1400,단일계약,상주선임,R형,부스타방식,위탁관리,21,480,0,무,69,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(매탄2동사무소) 병원(김광회치과) 백화점(뉴코아) 공원(매탄,효원) 기타(경기도문화예술회관)","초등학교(동수원,매탄) 중학교(매원) 고등학교(매탄) 대학교(아주대학교)",6,0,Y
A44372005,한국2차,위탁관리,7,(주)디이씨오,위탁관리,7,그린코리아(주),위탁관리,3,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,0,기타,위탁선임,P형,부스타방식,,0,747,0,무,72,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,20분초과,"관공서(남부경찰서) 병원(아주대병원,동수원병원,성빈센트 병원) 대형상가(홈플러스) 공원(매탄) 기타(매탄2동우체국)","초등학교(원일, 원천,산남) 중학교(산남,매원,동수원)",15,0,Y
A44375504,매탄레이크파크아파트,위탁관리,6,경기진흥주택관리(주),위탁관리,6,화성보안(주),위탁관리,5,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1450,단일계약,상주선임,R형,부스타방식,위탁관리,16,323,391,무,106,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,,,,병원() 대형상가(홈플러스) 공원(원천택지공원),"초등학교(원천초,산남초,원일초) 중학교(산남중,) 고등학교(매원고)",10,5,Y
A44379205,매탄에듀파크시티1,위탁관리,7,(주)케이티팝스,위탁관리,6,(주)케이티팝스,위탁관리,5,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,2300,단일계약,상주선임,R형,고가수조식,위탁관리,20,399,274,유,110,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,10~15분이내,관공서(영통구청) 병원(삼인당한의원) 공원(효원공원) 기타(문화예술회관),"초등학교(효동,매탄) 고등학교(매탄,효원)",8,12,Y
A44379303,매탄주공그린빌2단지,위탁관리,6,우리관리(주),위탁관리,6,kt팝스,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1850,단일계약,상주선임,R형,고가수조식,위탁관리,17,336,238,무,84,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,신분당선,,15~20분이내,관공서(영통구청) 공원(매화공원 등),초등학교(효동) 중학교() 고등학교(매탄),0,0,Y
A44379404,매탄주공그린빌3단지,위탁관리,7,대한산업개발,위탁관리,6,드림안전씨스템,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2350,단일계약,상주선임,R형,고가수조식,위탁관리,18,401,266,무,78,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,신분당선,,5~10분이내,"관공서(영통구청) 병원(삼인당한의원) 백화점(뉴코아, 갤러리아) 공원(야외문화예술공원) 기타(문화예술회관)","초등학교(매현초,효원초,효동초) 중학교(매현) 고등학교(효원,매탄)",0,21,Y
A44379502,매탄그린빌4단지,위탁관리,5,현대하우징,위탁관리,4,화성보안시스템(주),위탁관리,3,차량수거방식,위탁관리,6,기구부착식,철근콘크리트구조,950,단일계약,위탁선임,R형,고가수조식,위탁관리,15,274,192,무,64,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,분당선,분당선 망포역,10~15분이내,"관공서(영통구청,남부소방서) 병원(삼인당한의원) 백화점(갤러리아백화점) 대형상가(홈플러스) 공원(야외문화예술공원) 기타(매탄3동우체국)",초등학교(매현초증학교) 중학교(매현중) 고등학교(효원고등학교) 대학교(아주대학교),0,3,Y
A44379606,매탄주공그린빌5단지,위탁관리,7,우리관리(주),위탁관리,4,드림,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,1300,단일계약,상주선임,R형,고가수조식,위탁관리,16,375,357,무,86,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,분당선,분당선,5분이내,관공서(영통구청) 병원(수도의원) 공원(야외문화예술공원) 기타(매탄3동사무소),초등학교(매현) 중학교(매현) 고등학교(화홍고),0,0,Y
A44379709,매탄주공그린빌6단지,위탁관리,6,주택관리공단,위탁관리,4,(주)태영,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,12,479,236,무,49,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,분당선,매탄권선역,5분이내,관공서(영통구청) 공원(야외문화예술공원) 기타(매탄3동사무소),초등학교(명당) 중학교(매현) 고등학교(화홍),0,0,Y
A44379801,매탄우남퍼스트빌,위탁관리,6,우리관리(주),위탁관리,4,(주)원광,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,13,256,497,무,119,"관리사무소, 노인정, 어린이놀이터",5~10분이내,신분당선,,10~15분이내,관공서(영통구청) 병원(삼인당한의원) 대형상가(뉴코아아울렛) 공원(야외문화예술공원) 기타(문화예술회관),"초등학교(매현초,효원초,효동초) 중학교(매현) 고등학교(효원,매탄) 대학교(아주대학교)",16,7,Y
A44380001,매탄우성,위탁관리,2,대한산업개발(주),위탁관리,2,드림안전씨스템(주),위탁관리,2,음식물쓰레기종량제,위탁관리,18,분무식,철골콘크리트구조,789,단일계약,위탁선임,P형,고가수조식,위탁관리,2,69,118,무,50,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,10~15분이내,,,0,0,Y
A44380103,매탄동남빌라,위탁관리,5,경기진흥주택관리(주),위탁관리,4,드림안전씨스템(주),위탁관리,3,거점장비수거방식,위탁관리,,"도포식,분무식",철근콘크리트구조,76,단일계약,위탁선임,기타,부스타방식,,0,403,0,무,50,"관리사무소, 노인정, 어린이놀이터",5~10분이내,"1호선, 분당선",,20분초과,"관공서(매탄1,2동사무소) 병원(장미꽃과나이팅게일의원) 대형상가(LG하이프라자) 공원(매탄공원)","초등학교(동수원,산남) 중학교(산남,매원)",3,0,Y
A44380201,매탄삼성3차,위탁관리,7,현대하우징,위탁관리,6,화성보안시스템(주),위탁관리,5,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,수도직결식,,0,342,0,무,46,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5분이내,신분당선,,,"관공서(영통구청,매탄4동사무소) 병원(최천일치과) 대형상가(LG하이프라자-매탄대리점) 공원(매탄공원)","초등학교(산남,원천,매탄,효동) 중학교(산남,매원) 고등학교(매탄)",7,0,Y
A44380407,매탄임광,위탁관리,9,현대하우징 주식회사,위탁관리,16,화성보안시스템(주),위탁관리,7,차량수거방식,위탁관리,4,독이식,철근콘크리트구조,2600,단일계약,상주선임,P형,부스타방식,위탁관리,44,1052,0,무,158,"관리사무소, 노인정, 문고, 어린이놀이터, 유치원, 자전거보관소",5분이내,분당선,,5~10분이내,"관공서(영통구청,중부지방국세청) 병원(수도의원) 백화점(갤러리아) 대형상가(홈플러스) 공원(야외문화예술공원 등) 기타(문화예술회관)","초등학교(매현,효원) 중학교(매현) 고등학교(효원)",13,0,Y
A44380701,매탄금성5차,위탁관리,3,대한산업개발(주),위탁관리,2,한국보안컨설팅,위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,171,기타,위탁선임,P형,기타,위탁관리,15,239,0,무,67,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,15~20분이내,관공서(남부경찰서) 병원(박치과의원) 대형상가(홈플러스) 공원(매탄) 기타(매탄2동우체국),"초등학교(원일, 원천,산남) 중학교(산남,매원,동수원)",5,0,Y
A44384808,매탄위브하늘채,위탁관리,23,우리관리(주),위탁관리,27,제일씨앤에스(주),위탁관리,32,음식물쓰레기종량제,위탁관리,12,,철근콘크리트구조,14500,단일계약,상주선임,R형,부스타방식,위탁관리,144,680,3293,무,628,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,분당선,수원시청역 및 매탄권선역,5~10분이내,"관공서(영통구청) 백화점(그랜드) 공원(효원,예술) 기타(경기도문화의전)","초등학교(효원,매탄,효동) 중학교(매원,산남) 고등학교(효원,매탄)",0,80,Y
A10022659,아주아파트,위탁관리,3,,위탁관리,2,무림하우징,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,100,기타,선정안함,P형,수도직결식,,0,61,0,무,17,,5분이내,,,20분초과,,,0,0,Y
A10022894,포레나 영흥숲 아파트,위탁관리,3,주식회사 신화피엠씨,위탁관리,2,(주)신화피엠씨,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1480,종합계약,위탁선임,R형,부스타방식,위탁관리,4,0,223,유,111,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,20분초과,공원(영흥숲공원),초등학교(원일초등학교),0,4,Y
A10023155,영흥숲푸르지오파크비엔,위탁관리,12,서림주택관리(주),위탁관리,8,(유)와이번스안전관리시스템,위탁관리,16,거점장비수거방식,위탁관리,12,분무식,철근콘크리트구조,7750,종합계약,상주선임,GR형,부스타방식,위탁관리,81,0,2129,유,552,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,"1호선, 수인선",,10~15분이내,관공서() 병원() 백화점() 대형상가() 공원() 기타(),초등학교() 중학교() 고등학교(),0,102,Y
A10024458,광교원천 행복주택아파트,위탁관리,4,주식회사 한울타리,자치관리(직영),0,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,5,분무식,철골철근콘크리트구조,1390,단일계약,위탁선임,R형,부스타방식,위탁관리,6,0,127,유,48,"관리사무소, 노인정, 문고, 자전거보관소",5분이내,,,5~10분이내,,,0,5,Y
A10025483,광교 중흥S-클래스 아파트,위탁관리,18,우리관리(주),위탁관리,14,에스원,위탁관리,28,기타,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,14000,종합계약,상주선임,R형,부스타방식,위탁관리,43,0,3511,유,624,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,신분당선,,10~15분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,0,Y
A10025537,경기행복주택 2차 (수원광교 공공실버),위탁관리,5,푸르지오서비스(주),관리방식미정,0,,위탁관리,1,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,500,단일계약,위탁선임,R형,부스타방식,위탁관리,3,3,41,유,52,"관리사무소, 노인정, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,신분당선,광교중앙역,10~15분이내,병원(아주대학교병원),,0,1,Y
