kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A44213001,교동풍림아이원,위탁관리,3,대원에스테이트서비스(주),위탁관리,2,디티에스코리아(주),위탁관리(직영+위탁),2,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,800,단일계약,위탁선임,P형,부스타방식,위탁관리,3,8,197,무,41,"관리사무소, 자전거보관소",5~10분이내,"1호선, 수인선",,5~10분이내,,,3,5,Y
A10023630,힐스테이트푸르지오수원아파트,위탁관리,23,우리관리(주),위탁관리,15,에스원(주),위탁관리,30,거점장비수거방식,위탁관리,12,분무식,철골철근콘크리트구조,12000,종합계약,상주선임,R형,부스타방식,위탁관리,182,0,3307,유,1323,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,"1호선, 신분당선",,10~15분이내,관공서() 병원() 공원(),,0,24,Y
A10023717,매교역 푸르지오 SK VIEW 아파트,위탁관리,27,대원에스테이트서비스(주),위탁관리,21,에스원(주),위탁관리,35,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,17747,종합계약,상주선임,GR형,부스타방식,위탁관리,115,0,4695,유,1152,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,5~10분이내,,,0,26,Y
A10026819,건영캐스빌,위탁관리,1,(주)무림하우징,위탁관리,2,(주)무림하우징,위탁관리,1,음식물쓰레기종량제,위탁관리,8,분무식,철골철근콘크리트구조,450,종합계약,위탁선임,P형,부스타방식,위탁관리,2,0,200,무,16,,5분이내,,,5~10분이내,,,0,8,Y
A44222001,매교문화맨션,자치관리,3,,자치관리,2,,자치관리,2,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,325,단일계약,위탁선임,P형,부스타방식,위탁관리,2,130,0,무,16,"관리사무소, 노인정, 어린이놀이터",5분이내,분당선,,5분이내,"관공서(매교동사무소,도청 등) 병원(권치과의원)",초등학교(세류초등학교) 중학교(수원) 고등학교(수원),3,0,Y
A44278301,대한대우,위탁관리,9,(주)신화시스템즈,위탁관리,14,(주)뉴맨테크,위탁관리,12,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,3300,단일계약,상주선임,R형,부스타방식,위탁관리,55,416,1399,무,414,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,1호선,수원,5~10분이내,"관공서(수원세무서,중부소방서,도청) 병원(내과소아과) 백화점(애경)","초등학교(매산초,세류초)",0,6,Y
A10022094,kcc파크타운,위탁관리,2,현대하우징 주식회사,위탁관리,,(주)현대하우징,위탁관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,750,단일계약,위탁선임,R형,압력탱크식,위탁관리,7,32,125,무,21,"관리사무소, 자전거보관소",10~15분이내,"1호선, 수인선",,15~20분이내,,,0,0,Y
A10023795,수원역 푸르지오 더 스마트,위탁관리,6,(주)대우에스티,위탁관리,3,상우시스템,위탁관리,4,음식물쓰레기종량제,위탁관리,,"도포식,분무식",철골철근콘크리트구조,1300,종합계약,상주선임,R형,부스타방식,위탁관리,9,10,400,유,135,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 수인선",,,백화점(),초등학교() 고등학교(),0,12,Y
A10024429,수원역푸르지오자이,위탁관리,28,우리관리(주),위탁관리,21,(주)에스씨월드,위탁관리,50,거점장비수거방식,위탁관리,12,,철근콘크리트구조,16000,종합계약,상주선임,GR형,부스타방식,위탁관리,112,0,5142,유,1208,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,,10~15분이내,관공서() 병원() 백화점() 대형상가() 공원() 기타(),초등학교() 중학교() 고등학교() 대학교(),0,93,Y
A10024465,수원고등LH2단지,위탁관리,5,(주)신대한관리,위탁관리,2,미래엠엔에스,위탁관리,4,음식물쓰레기종량제,위탁관리,12,,철근콘크리트구조,1100,종합계약,상주선임,P형,부스타방식,위탁관리,9,0,352,유,94,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,1호선,,,,,0,4,Y
A10024604,루체스타 도시형생활주택,위탁관리,4,주식회사 앰앰아이,위탁관리,2,주식회사 앰앰아이,위탁관리,1,차량수거방식,위탁관리,4,도포식,철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,2,24,217,무,86,"관리사무소, 휴게시설, 자전거보관소",5~10분이내,"1호선, 수인선",,5~10분이내,,,0,4,Y
A10021568,화서맨션,자치관리,1,,,,,자치관리,1,차량수거방식,자치관리,,,철골콘크리트구조,100,단일계약,선정안함,기타,부스타방식,,0,65,0,무,8,"노인정, 어린이놀이터",5분이내,1호선,,10~15분이내,,,0,0,Y
A10023237,민영루이스아파트,자치관리,1,,자치관리,1,,자치관리,1,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철골철근콘크리트구조,382,종합계약,위탁선임,P형,수도직결식,위탁관리,3,6,53,무,24,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간",5~10분이내,1호선,,10~15분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,0,Y
A44215213,화서위브하늘채,위탁관리,7,(주)무림하우징,위탁관리,6,드림안전씨스템(주),위탁관리,7,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,900,단일계약,상주선임,R형,부스타방식,위탁관리,41,152,764,무,167,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,1호선,,10~15분이내,병원(경기의료원) 공원(숙지산공원),초등학교(화홍처등학교) 중학교(영복여자중학교) 고등학교(영복여자고등학교) 대학교(성균관대학교),0,10,Y
