kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10024705,시흥 대야역 두산위브더파크 아파트,위탁관리,10,에이제이대원 주식회사,위탁관리,12,제일씨앤에스,위탁관리,13,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,5250,종합계약,상주선임,R형,부스타방식,위탁관리,39,0,1579,유,438,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,서해선,,5~10분이내,"관공서(대야동 주민센터(031-310-4304),시흥경찰서(123)) 병원(시흥시보건소(031-310-5815)) 백화점() 공원(소래산 산림욕장)","초등학교(대야초등학교(031-363-3006),은계초등학교(070-7096-7775)) 중학교(대흥중학교(070-7097-0916))",0,8,Y
A10024845,시흥센트럴푸르지오아파트,위탁관리,14,(주)타워피엠씨,위탁관리,8,(주)타워피엠씨,위탁관리,23,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철골철근콘크리트구조,6750,종합계약,상주선임,R형,부스타방식,위탁관리,40,0,2507,유,472,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,서해선,신천역,5분이내,"관공서(대야동행정복지센터) 병원(신천연합병원) 대형상가(롯대마트) 공원(비둘기공원,은행근린공원,뱀내어린이공원) 기타(스타벅스 대야점, 스타벅스 대야동점, 스타벅스 대야DT점)","초등학교(대야초등학교, 소래초등학교, 금모래초등학교) 중학교(대야중학교, 소래중학교) 고등학교(소래고등학)",0,51,Y
A10024989,이편한세상시흥센텀하임,위탁관리,6,우리관리(주),위탁관리,6,(주)듀델코리아,위탁관리,9,기타,위탁관리,12,분무식,철근콘크리트구조,2500,단일계약,상주선임,GR형,부스타방식,위탁관리,17,2,794,유,236,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,서해선,,5~10분이내,,,0,16,Y
A10025100,은계어반리더스아파트,위탁관리,9,율산개발 유한회사,위탁관리,8,(주)에스텍시스템,위탁관리,11,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식,독이식",프리케스트콘크리트구조,4450,단일계약,상주선임,R형,부스타방식,위탁관리,28,40,1239,유,371,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,5~10분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,28,Y
A10025179,시흥 은계 LH 2단지 아파트,위탁관리,6,(주)청원종합관리,위탁관리,4,(주)함께터,위탁관리,6,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,1600,종합계약,상주선임,GR형,부스타방식,위탁관리,11,251,331,유,110,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,서해선,,5~10분이내,,,0,2,Y
A10025979,시흥은계우미린레이크아파트,위탁관리,5,(주)아주관리,위탁관리,7,(주)코리아종합관리,위탁관리,6,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,2750,단일계약,상주선임,R형,부스타방식,위탁관리,10,4,600,유,125,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,10~15분이내,,중학교(),0,13,Y
A42980702,대야우남한신,위탁관리,3,주식회사화신지엠에스,위탁관리,2,(주)세계보안관리시스템,위탁관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,850,단일계약,상주선임,P형,고가수조식,위탁관리,4,46,97,무,33,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,서해선,시흥대야역,5분이내,"관공서(한국전력공사,시흥시보건소,대야파출소) 병원(연합병원,21세기병원외) 공원(비둘기공원) 기타(대야지역아동센터,소전미술관,시흥시체육관,평생학습센타)","초등학교(대야,은계) 중학교(은행,은계,대흥) 고등학교(소래,은행)",3,0,Y
A42980706,대야벽산1차,위탁관리,2,주식회사 푸른종합주택관리,위탁관리,3,(주)하늘종합관리,위탁관리,1,차량수거방식,위탁관리,4,도포식,철근콘크리트구조,150,기타,위탁선임,P형,고가수조식,위탁관리,9,165,0,무,29,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,서해선,,,"관공서(한국전력공사,시흥시보건소,대야파출소) 병원(교정재생한의원) 대형상가(전자랜드) 기타(대야지역아동센터,소전미술관,시흥시체육관)","초등학교(대흥,소래) 중학교(대흥)",0,0,Y
A42981308,대야늘푸른벽산,위탁관리,5,에이제이대원 주식회사,위탁관리,4,(주)파워시스템,위탁관리,3,거점장비수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,950,종합계약,위탁선임,R형,고가수조식,위탁관리,10,95,336,무,96,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 서해선",,20분초과,병원(신천연합병원),초등학교(은계초등학교) 고등학교(),4,5,Y
A42987403,서강1차아파트,위탁관리,2,율산개발 유한회사,위탁관리,2,(유)현대관리시스템,위탁관리(직영+위탁),1,차량수거방식,위탁관리,4,"도포식,분무식",콘크리트구조,800,단일계약,위탁선임,P형,고가수조식,위탁관리,2,63,35,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,서해선,,5~10분이내,"관공서(대야동 주민센터, 시흥소방서) 병원(신천연합병원) 대형상가(롯데마트) 공원(은행근린공원, 소래산 산림욕장)","초등학교(대야초등학교) 중학교(대흥중학교, 은계중학교) 고등학교(소래고등학교, 은행고등학교)",2,0,Y
A42987404,대야우성1단지,자치관리,2,,자치관리(직영),2,,자치관리(직영),2,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,800,단일계약,위탁선임,R형,고가수조식,위탁관리,10,121,174,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,서해선,,20분초과,관공서(대야동주민센타) 병원(연합병원) 대형상가(롯데마트) 공원(비둘기공원),"초등학교(은계, 은행) 중학교(은계, 은행) 고등학교(은행, 소래)",3,3,Y
A42987405,시흥은행동신,위탁관리,4,(주)동우개발,위탁관리,2,동신종합관리,위탁관리,2,기타,위탁관리,4,분무식,철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,6,47,213,무,42,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,병원(세화치과),초등학교(은계초등학교) 중학교(은계중학교) 고등학교(은행고등학교),6,0,Y
A42987409,대야청구1차,위탁관리,5,대원에스테이트서비스(주),위탁관리,4,하늘종합관리(주),위탁관리,3,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,1148,단일계약,상주선임,R형,고가수조식,위탁관리,9,252,171,무,58,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,5~10분이내,병원(소망치과) 대형상가() 공원(),초등학교(은계초등학교) 중학교(은계중학교) 고등학교(은행고등학교),5,5,Y
A42987413,대야청구2차,위탁관리,5,우리관리(주),위탁관리,4,(주)크린서비스,위탁관리,5,차량수거방식,위탁관리,12,분무식,콘크리트구조,1796,단일계약,위탁선임,P형,고가수조식,위탁관리,13,224,292,무,64,"관리사무소, 노인정, 어린이놀이터",5~10분이내,"인천1호선, 서해선",,10~15분이내,병원(미치과) 대형상가(롯데마트 시흥점) 공원(근린공원),초등학교(금모래초등학교),0,4,Y
A42987415,대야우성2차아파트,위탁관리,5,대원에스테이트서비스(주),위탁관리,2,하늘종합관리,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,1400,단일계약,상주선임,R형,부스타방식,위탁관리,11,113,206,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,서해선,"원시선, 수도권 전철1호선",5~10분이내,관공서(대야동주민센터) 병원(신천종합병원) 대형상가(롯데마트) 공원(비둘기공원),초등학교(은계초등학교) 중학교(은계중학교) 고등학교(은행고등학교),0,7,Y
A42987416,서강2차,위탁관리,5,우리관리(주),위탁관리,4,(주)대산시스템,위탁관리,5,음식물쓰레기종량제,위탁관리,4,분무식,콘크리트구조,1150,단일계약,상주선임,P형,고가수조식,위탁관리,15,273,239,무,61,"관리사무소, 노인정, 어린이놀이터",5~10분이내,1호선,,20분초과,병원(미치과) 공원(근린공원),초등학교(금모래초등학교),12,0,Y
A42987417,은행서해,위탁관리,5,세화종합관리(주),위탁관리,4,삼우안전관리(주),위탁관리,5,기타,위탁관리,12,"도포식,분무식",철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,14,276,341,무,57,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,서해선,,20분초과,병원(미치과) 공원(근린공원),초등학교(금모래초등학교),0,13,Y
