kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020889,안양어반포레 자연& e편한세상 1단지,위탁관리,2,(주)신대한관리,,,,위탁관리,1,기타,관리방식미정,,,철골철근콘크리트구조,950,종합계약,위탁선임,기타,부스타방식,관리방식미정,3,0,210,유,83,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,10~15분이내,,,0,10,Y
A10020899,안양어반포레자연앤e편한세상4단지,위탁관리,5,(주)신대한관리,,,,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2360,종합계약,상주선임,R형,부스타방식,위탁관리,8,0,442,유,210,,5분이내,,,10~15분이내,,,0,45,Y
A10020901,안양 어반포레 자연& e편한세상 3단지,위탁관리,13,(주)신대한관리,위탁관리,,(주)미래엠앤에스,위탁관리,16,음식물쓰레기종량제,관리방식미정,,,철근콘크리트구조,8200,종합계약,상주선임,R형,부스타방식,관리방식미정,41,0,2020,유,640,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,10~15분이내,,,0,141,Y
A10020950,안양역푸르지오더샵,위탁관리,15,에이제이대원 주식회사,위탁관리,,에스원,위탁관리,33,차량수거방식,위탁관리,,"도포식,분무식,독이식",철골철근콘크리트구조,13728,종합계약,상주선임,R형,부스타방식,위탁관리,77,0,3581,유,1308,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,,5~10분이내,,,0,184,Y
A10021017,안양성원아파트,위탁관리,2,주식회사 동우개발,위탁관리,,혜진종합관리(주),위탁관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,532,단일계약,위탁선임,P형,고가수조식,위탁관리,2,15,73,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,1호선,,10~15분이내,,,2,0,Y
A10021746,우성1차아파트,자치관리,5,,,,,자치관리,1,음식물쓰레기종량제,자치관리,6,분무식,벽돌구조,1500,단일계약,선정안함,기타,수도직결식,,0,80,0,무,18,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,5~10분이내,,,0,0,Y
A10022076,유일보노빌,위탁관리,3,(주)신원티엠씨(TMC),위탁관리,,남광개발,위탁관리,1,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,2,3,38,무,14,"관리사무소, 휴게시설",5분이내,1호선,,5~10분이내,,,0,0,Y
A10022915,뉴골든아파트,자치관리,5,,자치관리,2,없음,자치관리,1,음식물쓰레기종량제,자치관리(직영),수시,분무식,철골콘크리트구조,한전직영,단일계약,선정안함,P형,수도직결식,,0,120,0,무,26,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,안양역,15~20분이내,,,0,0,Y
A10023653,아르테자이,위탁관리,12,서림주택관리(주),위탁관리,6,국보종합관리,위탁관리,11,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,기구설치식,독이식",철골철근콘크리트구조,6234,종합계약,상주선임,GR형,부스타방식,위탁관리,28,0,1274,유,345,,5분이내,,,,,,0,26,Y
A10023738,두산위브더아티움,위탁관리,6,신한영주택관리(주),위탁관리,5,에스원,위탁관리,6,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,15,4,663,유,210,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,10~15분이내,,,0,18,Y
A10024178,광신프로그레스리버뷰,위탁관리,4,주식회사 미미,위탁관리,2,주식회사 미미,위탁관리,3,음식물쓰레기종량제,관리방식미정,,,철골철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,4,12,258,유,80,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 4호선",명학역(1호선) 범계역(4호선),15~20분이내,,,8,0,Y
