kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A48272401,양주한승,위탁관리,5,(주)세화종합관리,위탁관리,4,태백관리(주),위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,독이식",철근콘크리트구조,1800,단일계약,상주선임,GR형,부스타방식,위탁관리,18,364,140,무,64,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",10~15분이내,1호선,,10~15분이내,,초등학교(산북),5,5,Y
A10023262,양주고읍LH14,위탁관리,5,대한종합관리(주),위탁관리,2,승학,위탁관리,2,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,1900,종합계약,상주선임,R형,부스타방식,위탁관리,9,101,180,유,100,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,,20분초과,관공서(양주시청 양주경찰서) 병원(의정부성모병원),,0,0,Y
A10024838,양주고읍 LH 13단지 아파트,위탁관리,5,(주)주우관리,위탁관리,2,장천,위탁관리,4,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1550,단일계약,상주선임,GR형,부스타방식,위탁관리,8,165,224,유,80,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,,,6,2,Y
A48203002,대방노블랜드,위탁관리,5,대원종합관리(주),위탁관리,6,신화비엠씨,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,1720,단일계약,상주선임,R형,부스타방식,위탁관리,17,410,94,무,85,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,1호선,,10~15분이내,,초등학교(덕현) 중학교(덕현),8,3,Y
A48272201,신도브래뉴8차,위탁관리,4,(주)덕우,위탁관리,2,(주)덕우,위탁관리,5,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1200,단일계약,위탁선임,P형,압력탱크식,위탁관리,14,243,158,무,53,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,5~10분이내,,초등학교(덕현) 중학교(덕현),0,9,Y
A48272301,유승한내들9단지,위탁관리,5,대원에스테이트서비스(주),위탁관리,6,진성관리(주),위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,15,79,502,유,112,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,1호선,덕계,10~15분이내,병원() 공원(),초등학교(덕현초등학교) 중학교(덕현중학교),8,12,Y
A48272302,해동마을신도브래뉴,위탁관리,7,(주)덕우,위탁관리,5,(주)덕우,위탁관리,8,음식물쓰레기종량제,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,4400,종합계약,상주선임,R형,압력탱크식,위탁관리,24,0,1074,유,240,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",10~15분이내,1호선,양주,20분초과,,초등학교(광사초등학교) 중학교(덕현중학교),0,22,Y
A48272303,해동마을한양수자인3차,위탁관리,6,남경종합관리(주),위탁관리,6,남경종합관리(주),위탁관리,8,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,3800,종합계약,상주선임,R형,부스타방식,위탁관리,26,32,858,무,158,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,1호선,양주,10~15분이내,관공서(양주시청) 공원(중앙공원),초등학교(광사초등학교) 중학교(덕현중학교) 고등학교(덕현고등학교),0,6,Y
A48208001,은빛마을한양수자인2단지,위탁관리,6,(주)덕우,위탁관리,4,(주)덕우,위탁관리,4,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,12,73,596,유,143,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",10~15분이내,1호선,,15~20분이내,관공서() 병원() 대형상가() 공원(),초등학교(덕현초) 중학교(덕현중) 고등학교(만송고),0,14,Y
A48208002,은빛마을유승한내들,위탁관리,5,(주)덕우,위탁관리,4,(주)덕우,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1450,단일계약,상주선임,R형,부스타방식,위탁관리,12,79,339,유,96,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",10~15분이내,1호선,덕계,5~10분이내,,초등학교(만송초등학교) 중학교(덕현중학교) 고등학교(덕현고등학교),8,0,Y
A48208003,양주고읍휴먼시아8단지,위탁관리,8,(주)두온종합관리,위탁관리,10,(주)원앤원,위탁관리,8,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2400,단일계약,상주선임,R형,부스타방식,위탁관리,22,480,649,무,124,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,10~15분이내,,초등학교(덕현) 중학교(덕현) 고등학교(),24,0,Y
A48208004,고읍주공6단지,위탁관리,6,아산종합관리(주),위탁관리,4,(주)광운티엠에스,위탁관리,4,거점장비수거방식,위탁관리,12,도포식,철골철근콘크리트구조,1450,단일계약,상주선임,P형,부스타방식,위탁관리,10,216,291,무,59,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,"1호선, 인천1호선",,10~15분이내,,,0,11,Y
A48208005,고읍휴먼시아7단지,위탁관리,7,대한종합개발(주),위탁관리,8,대온관리(주),위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1450,단일계약,상주선임,R형,부스타방식,위탁관리,16,345,434,무,93,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,1호선,,15~20분이내,관공서() 병원() 공원(),초등학교(덕현) 중학교(덕현) 고등학교(),0,16,Y
A48208006,양주고읍휴먼시아5단지,위탁관리,6,대원에스테이트서비스(주),위탁관리,6,(주)백송종합관리,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1450,단일계약,상주선임,P형,부스타방식,위탁관리,28,252,286,무,61,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,양주역 ,15~20분이내,"관공서(양주2동사무소, 우체국) 병원(정형외과,치과,피부과)","초등학교(덕현,  만송) 중학교(덕현) 고등학교(덕현)",0,11,Y
A10023674,옥정역 로제비앙 메트로파크 2단지,위탁관리,5,율산개발 유한회사,위탁관리,2,율산개발 유한회사,위탁관리,4,차량수거방식,위탁관리,12,,철근콘크리트구조,2750,종합계약,상주선임,R형,부스타방식,위탁관리,10,33,400,무,117,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,"1호선, 7호선",,15~20분이내,,,0,22,Y
A10023675,옥정역 로제비앙 메트로파크 1단지,위탁관리,10,율산개발 유한회사,위탁관리,4,백송,위탁관리,11,거점장비수거방식,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,6500,종합계약,상주선임,R형,부스타방식,위탁관리,25,185,1189,유,320,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,"1호선, 7호선",,20분초과,,,39,30,Y
A48211001,양주TS푸른솔3차,위탁관리,4,인덕종합관리,위탁관리,4,인덕종합관리(주),위탁관리,3,음식물쓰레기종량제,위탁관리,12,도포식,철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,14,245,148,무,72,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 기타",5분이내,1호선,,5~10분이내,"관공서(양주2동사무소) 병원(예스병원) 대형상가(롯데마트,이마트)","초등학교(삼숭,덕현,광사,만송) 중학교(덕현,삼숭) 고등학교(덕계,덕현,삼숭,옥정) 대학교(경동대)",0,7,Y
A48211006,양주자이6단지,위탁관리,7,서일개발(주),위탁관리,6,태영건물종합관리(주),위탁관리,8,음식물쓰레기종량제,위탁관리,12,"분무식,기구부착식,기구설치식,독이식",철근콘크리트구조,3500,단일계약,상주선임,P형,부스타방식,위탁관리,25,453,286,무,96,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,20분초과,,초등학교(삼숭초등학교) 중학교(삼숭중학교) 고등학교(삼숭고교),25,12,Y
A48272508,양주자이1단지,위탁관리,7,세화종합관리(주),위탁관리,6,와이번스안전관리시스템,위탁관리,8,거점장비수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,3550,단일계약,상주선임,R형,부스타방식,위탁관리,27,317,484,무,119,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,1호선,,15~20분이내,공원(천보산) 기타(대장금 테마파크),초등학교(삼숭초등학교) 중학교(삼숭중학교) 고등학교(삼숭고교),0,4,Y
A48272604,양주자이2단지,위탁관리,5,(주)덕우,위탁관리,6,(주)덕우,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2000,단일계약,상주선임,R형,부스타방식,위탁관리,22,226,354,무,112,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,,초등학교(삼숭초등학교) 중학교(삼숭중학교) 고등학교(삼숭고교),0,12,Y
A48272707,양주자이3단지,위탁관리,7,율산개발 유한회사,위탁관리,6,(주)듀델코리아,위탁관리,8,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,3182,단일계약,상주선임,R형,부스타방식,위탁관리,25,418,332,유,102,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,10~15분이내,,초등학교(삼숭초등학교) 중학교(삼숭중학교) 고등학교(양주고등학교) 대학교(경동대학교),0,15,Y
A48272809,양주자이4단지,위탁관리,7,우리관리(주),위탁관리,6,(주)승학,위탁관리,9,거점장비수거방식,위탁관리,12,분무식,철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,29,515,338,유,163,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,양주역,15~20분이내,,초등학교(삼숭초등학교) 중학교(삼숭중학교) 고등학교(양주고등학교),5,38,Y
A48272905,양주자이5단지,위탁관리,6,세화종합관리(주),위탁관리,6,대한종합관리,위탁관리,6,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,23,324,335,무,107,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,20분초과,"관공서(양주시청,양주2동사무소) 병원(양주예스병원) 공원(고읍지구나리공원) 기타(근린생활시설)",초등학교(삼숭초등학교) 중학교(삼숭중학교) 고등학교(양주고등학교) 대학교(서정대학교),0,14,Y
A48273103,양주자이7단지,위탁관리,6,세화종합관리(주),위탁관리,6,(주)백송종합관리,위탁관리,6,거점장비수거방식,위탁관리,12,분무식,철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,19,418,191,무,66,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5분이내,1호선,양주역,20분초과,,초등학교(삼숭초등학교) 중학교(삼숭중학교) 고등학교(삼숭고교),19,12,Y
A48273302,양주나래,위탁관리,5,태림주택종합관리(주),위탁관리(직영+위탁),4,남경종합관리,위탁관리(직영+위탁),4,음식물쓰레기종량제,위탁관리(직영+위탁),12,분무식,철근콘크리트구조,1200,단일계약,상주선임,P형,부스타방식,위탁관리(직영+위탁),17,459,66,무,92,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,양주역,15~20분이내,관공서(양주2동사무소) 병원(예스병원) 대형상가(이마트 / 롯데마트) 공원(나리),초등학교(삼숭/덕현/광사/만송) 중학교(덕현) 고등학교(양주/덕현) 대학교(경동대학교),6,5,Y
A48273410,성우아파트아침의미소,위탁관리,7,태림주택종합관리(주),위탁관리,6,동남시큐리티,위탁관리,7,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,3000,단일계약,상주선임,P형,부스타방식,위탁관리,33,998,529,유,141,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,15~20분이내,"관공서(양주시청(820-2114), 양주2동주민센타(8082-7721)) 병원(삼숭보건소(847-1428))",초등학교(덕현초등학교) 중학교(삼숭) 고등학교(덕현고등학교) 대학교(경동대학교),27,19,Y
A48202002,양주 고읍 현대,위탁관리,4,대한종합개발(주),위탁관리(직영+위탁),4,,자치관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1197,단일계약,위탁선임,P형,부스타방식,위탁관리,9,257,113,무,48,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,15~20분이내,,초등학교(덕현) 중학교(덕현),8,0,Y
A48272101,TS 푸른솔2차아파트,위탁관리,2,(주) 보전종합관리,위탁관리,2,보전종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,12,독이식,철근콘크리트구조,850,단일계약,위탁선임,P형,부스타방식,위탁관리,6,117,87,무,50,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5분이내,1호선,,15~20분이내,,초등학교(덕현) 중학교(덕현) 고등학교(덕현),0,0,Y
A48272103,양주TS푸른솔1차,위탁관리,5,정우산업(주),위탁관리,4,(주)리더스,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1150,단일계약,상주선임,P형,부스타방식,위탁관리,15,281,218,무,87,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터",5분이내,1호선,양주역,10~15분이내,관공서(양주2동주민센타   파출소),초등학교(덕현) 중학교(덕현) 고등학교(덕현),6,4,Y
A48272104,산내들마을우미린아파트,위탁관리,6,우리관리(주),위탁관리,5,(주)크리서비스,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,17,89,539,유,132,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,,"관공서() 병원() 대형상가() 공원() 기타(단지내 헬스장, 골프연습장)",초등학교(덕현) 중학교(덕현) 고등학교() 대학교(),1,12,Y
