kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021801,해모로아파트,위탁관리,2,대한종합관리(주),위탁관리,,승학,위탁관리,2,음식물쓰레기종량제,위탁관리,10,분무식,철근콘크리트구조,800,단일계약,위탁선임,P형,압력탱크식,위탁관리,6,25,101,유,47,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,,5~10분이내,,,3,0,Y
A10022492,양평코아루리버팰리스아파트,위탁관리,3,서일개발(주),위탁관리,,(주)태영,위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,900,종합계약,위탁선임,GR형,부스타방식,위탁관리,6,0,210,유,65,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,경의중앙선,양평역,,,,0,5,Y
A10022783,더샵양평리버포레,위탁관리(직영+위탁),5,(주)케이티팝스,위탁관리,4,듀델코리아,위탁관리,6,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,2950,종합계약,상주선임,R형,부스타방식,위탁관리,18,7,637,유,322,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,경의중앙선,,10~15분이내,,,0,33,Y
A10022983,양평역 한라비발디아파트,위탁관리,15,(주)무림하우징,위탁관리,14,(주)겔럭시코리아,위탁관리,20,거점장비수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,7000,종합계약,상주선임,R형,부스타방식,위탁관리,46,165,1945,유,616,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,경의중앙선,,10~15분이내,"관공서(양평군청, 교육청, 경찰서) 병원(양평병원)",초등학교(양평초등학교) 중학교(양평중학교) 고등학교(양일고등학교),0,19,Y
A10023294,양평역센트럴시티,위탁관리,4,제일에스테이트서비스 주식회사,위탁관리,2,코리아종합관리(주),위탁관리,3,음식물쓰레기종량제,위탁관리,,분무식,철근콘크리트구조,1350,종합계약,위탁선임,GR형,압력탱크식,위탁관리,7,9,297,유,125,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,경의중앙선,,10~15분이내,관공서() 병원(),초등학교() 중학교() 고등학교(),0,7,Y
A10023918,센트럴파크 써밋 아파트,위탁관리,5,명신주택관리 주식회사,위탁관리,4,명신주택관리,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,1600,단일계약,상주선임,R형,부스타방식,위탁관리,12,147,418,유,110,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,,5분이내,관공서() 병원() 공원(),초등학교() 중학교() 고등학교(),0,11,Y
A47680107,양평일신건영휴먼빌,위탁관리,3,서일개발(주),위탁관리,2,서일개발,위탁관리,2,음식물쓰레기종량제,위탁관리,0,분무식,철근콘크리트구조,1150,단일계약,위탁선임,R형,부스타방식,위탁관리,6,41,132,무,48,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간",10~15분이내,경의중앙선,,5~10분이내,"관공서(양평군청,양평우체국,양평경찰서)","초등학교(양평초) 중학교(양일중,양평중) 고등학교(양일고)",0,4,Y
A47680110,현대성우오스타코아루,자치관리,5,,자치관리,2,,자치관리,3,음식물쓰레기종량제,위탁관리,5,분무식,철골철근콘크리트구조,2050,종합계약,상주선임,R형,부스타방식,위탁관리,5,244,191,유,180,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,경의중앙선,양평,5분이내,관공서(양평군청) 병원(양평병원),초등학교(양평초) 중학교(양일중) 고등학교(양일고),4,4,Y
A47680202,양평 에스케이뷰,위탁관리,3,광인산업(주),위탁관리,2,(주)태양삼차원환경,위탁관리,2,음식물쓰레기종량제,위탁관리,20,독이식,철근콘크리트구조,930,단일계약,위탁선임,P형,부스타방식,위탁관리,6,49,134,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,,5~10분이내,관공서(양평군청) 병원(양평길),"초등학교(양평) 중학교(양평) 고등학교(양평여, 남)",0,4,Y
A47680203,양평그린1차아파트,자치관리,4,,자치관리(직영),4,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",콘크리트구조,881,단일계약,위탁선임,P형,부스타방식,위탁관리,8,132,00,무,35,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,경의중앙선,,5분이내,관공서(양평군청) 병원(양평길),"초등학교(양평) 중학교(양평) 고등학교(양평여, 남)",0,0,Y
