kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021239,삼한아파트,자치관리,1,,,,,자치관리,,,위탁관리,,,,,,,,,,0,,,,,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,경강선,,,,,0,0,Y
A46970717,홍문현대,위탁관리,6,에이제이대원 주식회사,위탁관리,6,(유)미래환경,위탁관리,5,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,2300,단일계약,상주선임,P형,고가수조식,위탁관리,18,266,171,무,88,"관리사무소, 노인정, 어린이놀이터, 유치원",5분이내,,,15~20분이내,"관공서(여주읍사무소,보건소,여주지원) 병원(여주성심의원) 공원(공원)",초등학교(여흥초교),0,9,Y
A46971915,여주동원아파트,위탁관리,4,율산개발 유한회사,위탁관리,4,(유)원광,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,관리방식미정,15,273,141,무,71,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소, 기타",5분이내,경강선,여주역,,"관공서(여주시,보건소,여주지원) 병원(여주세종병원.연세새로운병원) 대형상가(이마트) 공원(황악산수목원,금모래은모래유원지)","초등학교(세종초,여흥초,여주초등학교) 중학교(세종중,여주여중,여주중학교) 고등학교(여주고,세종고등학교) 대학교(여주대학교)",9,0,Y
A46972008,상우1차,위탁관리,4,율산개발 유한회사,위탁관리,4,율산개발(유),위탁관리,2,기타,위탁관리,12,도포식,철근콘크리트구조,700,단일계약,위탁선임,P형,고가수조식,위탁관리,8,206,0,무,36,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경강선,,10~15분이내,"관공서(여주읍사무소,보건소,여주지원) 병원(고려병원) 대형상가(이마트) 공원(공원)","초등학교(세종초교) 중학교(세종중학교) 고등학교(여주고등학교, 세종고등학교) 대학교(여주대학교)",5,0,Y
A46970606,하리현대아파트,위탁관리,3,에이비엠(주),위탁관리,4,(유)미래환경,위탁관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,982,단일계약,위탁선임,R형,고가수조식,위탁관리,10,142,98,무,48,"관리사무소, 노인정, 어린이놀이터",5~10분이내,경강선,,,관공서(여주시청) 병원(여주세종병원) 대형상가(이마트) 공원(공원),초등학교(여주초교) 중학교(여주중교) 고등학교(여주자영농업고) 대학교(여주전문대),0,5,Y
A10022724,여주역센트레빌트리니체아파트,위탁관리(직영+위탁),5,대원에스테이트서비스(주),위탁관리(직영+위탁),3,(주)강수씨앤씨,위탁관리(직영+위탁),5,차량수거방식,위탁관리(직영+위탁),,분무식,철골철근콘크리트구조,2650,종합계약,위탁선임,R형,부스타방식,관리방식미정,13,35,497,유,177,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간",15~20분이내,경강선,,10~15분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,3,Y
A10023206,여주역휴먼빌아트라움,위탁관리,6,서림주택관리(주),위탁관리,3,(주)국보종합관리,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3150,종합계약,상주선임,GR형,부스타방식,위탁관리,22,10,839,유,200,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,경강선,,5~10분이내,"관공서(여주시청, 법원(여주지원)) 병원(세종병원,새로운병원) 공원(여주 이포보, 강천보, 금은모래 등)",초등학교(세종초등학교) 중학교(세종중학교) 고등학교(여주고등학교) 대학교(여주대학교),0,30,Y
A10023246,여주역 LH 3단지,위탁관리,7,아산종합관리(주),위탁관리,2,광운티엠에스,위탁관리,6,거점장비수거방식,위탁관리,4,분무식,철골철근콘크리트구조,3050,종합계약,상주선임,R형,부스타방식,위탁관리,15,118,489,유,196,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,경강선,,5분이내,,,0,28,Y
A10023274,여주역 우남퍼스트빌,위탁관리,6,서림주택관리(주),위탁관리,5,(주)강일기업,위탁관리,7,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,3500,종합계약,상주선임,GR형,부스타방식,관리방식미정,18,5,789,유,321,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,경강선,여주역,5~10분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,32,Y
A10023660,여주역 금호어울림 베르티스,위탁관리,6,율산개발 유한회사,위탁관리,5,주식회사 케도씨엔엠,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,4300,종합계약,상주선임,R형,부스타방식,위탁관리,16,563,247,유,157,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,경강선,,,대형상가(이 마트) 기타(치과 의원 동물병원 상가),초등학교(세종 초등학교) 중학교(세종 중학교) 고등학교(여주 고등학교) 대학교(여주 대학교),41,0,Y
