kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022699,연천수레울1단지,위탁관리,2,피에이아름다운관리(주),위탁관리,2,(유)원광,위탁관리,1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,900,단일계약,위탁선임,GR형,압력탱크식,위탁관리,4,111,0,유,25,"관리사무소, 노인정, 문고, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,,관공서() 공원(),,5,0,Y
A10023247,이편한세상연천웰스하임,위탁관리,5,(주)케이티팝스,위탁관리,4,(주)에스씨월드,위탁관리,5,음식물쓰레기종량제,위탁관리,12,분무식,철골콘크리트구조,2410,단일계약,상주선임,GR형,부스타방식,위탁관리,13,28,551,유,188,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,,10~15분이내,관공서(연천군청) 공원(연천종합운동장),초등학교(연천조등학교) 중학교(연천중학교) 고등학교(연천고등학교),0,24,Y
A48680201,연천조흥,위탁관리,3,신한영주택관리(주),자치관리(직영),2,,자치관리(직영),2,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,835,단일계약,위탁선임,P형,고가수조식,위탁관리,8,32,64,무,32,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,1호선,연천역,5~10분이내,관공서(연천군청) 병원(고려의원) 공원(망곡산 연인 공원),초등학교(연천초등학교) 중학교(연천중학교) 고등학교(연천고등학교),5,0,Y
A10020940,전곡 제일풍경채 리버파크,위탁관리,8,(주)세안텍스,위탁관리,,(주)세안텍스,위탁관리,9,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,5319,기타,상주선임,GR형,부스타방식,위탁관리,26,76,1074,유,497,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,지하철 1호선,15~20분이내,,,0,61,Y
A10021706,전곡조흥아파트,자치관리(직영),2,,,,,위탁관리(직영+위탁),2,음식물쓰레기종량제,자치관리,,,철근콘크리트구조,0,단일계약,선정안함,기타,수도직결식,,0,119,0,무,25,,5~10분이내,,,,,,2,0,Y
A10024746,전곡 석미모닝파크 3차 아파트,위탁관리,4,(주)덕우,위탁관리(직영+위탁),2,(주)덕우,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,950,단일계약,위탁선임,GR형,부스타방식,위탁관리,5,128,131,유,32,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,,"관공서(전곡읍사무소, 경찰서, 문화센터) 병원(보건소,효병원) 대형상가(농협 하나로마트, 농민마트) 공원(한탄강 공원) 기타(전곡시외버스터미널)",초등학교(전곡초등학교) 중학교(전곡중학교) 고등학교(전곡고등학교),5,0,Y
A48286901,연천전곡1단지휴먼시아,위탁관리,4,주택관리공단,위탁관리,4,(주)대덕개발,위탁관리,2,차량수거방식,위탁관리,3,분무식,철골철근콘크리트구조,1150,단일계약,위탁선임,R형,부스타방식,위탁관리,13,354,0,무,50,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,15~20분이내,,초등학교(),0,0,Y
A48690302,석미모닝파크아파트,위탁관리,2,서일개발(주),자치관리,2,,자치관리,2,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,964,단일계약,위탁선임,P형,부스타방식,위탁관리,5,147,27,무,29,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5분이내,1호선,,5분이내,관공서(전곡읍사무소) 병원(전곡백병원),초등학교(전곡초교) 중학교(전곡중교) 고등학교(전곡종고),5,0,Y
A48690303,전곡석미한아름,위탁관리(직영+위탁),3,서일개발(주),위탁관리,1,(주)서일개발,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,8,분무식,철근콘크리트구조,705,단일계약,위탁선임,P형,부스타방식,위탁관리,4,193,0,무,22,"관리사무소, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,1호선,,5분이내,관공서(전곡읍사무소) 병원(연천의료원) 공원(),초등학교(전곡초교) 중학교(전곡중교) 고등학교(전곡고등학교),3,0,Y
A48690304,전곡예일세띠앙,위탁관리,5,인덕종합관리(주),위탁관리,4,(주)동남시큐리티,자치관리(직영),2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1800,단일계약,상주선임,R형,부스타방식,위탁관리,11,136,230,유,55,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",10~15분이내,1호선,,10~15분이내,관공서(전곡읍사무소) 병원(연천의료원) 대형상가(농협 하나로마트),초등학교(전곡초교) 중학교(전곡중교) 고등학교(전곡고),10,8,Y
