kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10025967,오산 센트럴푸르지오,위탁관리,9,대원에스테이트서비스(주),위탁관리,5,주식회사 이데아그룹,위탁관리,9,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,5160,단일계약,상주선임,R형,부스타방식,위탁관리,20,0,1111,유,300,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,20분초과,"관공서(오산시청, 오산 경찰서) 병원() 공원()",초등학교() 중학교() 고등학교() 대학교(),0,22,Y
A44773302,운암대동,위탁관리,7,청원종합관리,위탁관리,8,(주)조현시스템,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,18,428,739,무,132,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,1호선,,10~15분이내,"관공서(시청,청소년회관) 병원(버팀병원,한국병원,성모의원) 대형상가(롯데마트) 공원(근린) 기타(오산시 보건소,오산 문화예술회관,오산문화공장)","초등학교(운산,운천) 중학교(운천,운암) 고등학교(운천,성호,운암) 대학교(오산대학교)",6,18,Y
A44773303,대동다숲주상복합,위탁관리,2,서림주택관리(주),위탁관리,2,(주)국보종합관리,자치관리(직영),2,기타,위탁관리,12,분무식,철근콘크리트구조,450,종합계약,위탁선임,R형,부스타방식,위탁관리,4,0,177,무,40,관리사무소,5분이내,1호선,오산,5~10분이내,"관공서(중앙동사무소,오산시청) 병원(버팀병원) 대형상가(롯데마트) 공원(근린) 기타(국민은행,우리은행)","초등학교(운암) 중학교(운암,성호) 고등학교(운암,성호)",0,4,Y
A44773304,운암주공2단지,위탁관리,10,(주)화신지엠에스,위탁관리,12,세계보안관리,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2600,단일계약,상주선임,GR형,고가수조식,위탁관리,25,483,574,무,150,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,1호선,,10~15분이내,"관공서(시청,청소년회관,예술회관) 병원(좋은병원) 대형상가(롯데마트, 콜마트) 공원(근린,오산천) 기타(농협,새마을금고)","초등학교(운산,운천) 중학교(운천) 고등학교(운천)",26,22,Y
A44773601,운암현대,위탁관리,6,대한산업개발(주),위탁관리,4,드림토탈씨스템,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,13,268,504,유,136,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소, 기타",5분이내,1호선,,5~10분이내,"관공서(시청,청소년회관,예술회관) 병원(오산서울병원) 대형상가(롯데마트) 공원(근린,오산천) 기타(운암교회)","초등학교(운산,운천) 중학교(운천) 고등학교(운천)",0,16,Y
A44780409,운암주공4단지,위탁관리,6,현대하우징(주),위탁관리,6,드림안전씨스템(주),위탁관리,4,음식물쓰레기종량제,위탁관리,6,"도포식,분무식",철근콘크리트구조,1150,단일계약,상주선임,R형,고가수조식,위탁관리,14,283,255,무,143,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5~10분이내,1호선,,15~20분이내,"관공서(시청, 청소년회관) 병원(버팀병원, 오산한국병원) 백화점(롯데) 대형상가(식자재마트, 콜마트) 공원(근린)","초등학교(운산, 성호) 중학교(운천, 운암) 고등학교(운천, 운암) 대학교(오산)",11,11,Y
A10025195,오산시티자이2차아파트,위탁관리,9,주식회사 푸른종합주택관리,위탁관리,7,드림안전씨스템(주),위탁관리,9,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,5562,단일계약,상주선임,R형,부스타방식,위탁관리,28,0,1342,유,365,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,1호선,,20분초과,병원() 기타(),초등학교(다온초등학교),0,27,Y
A10026708,오산시티자이2단지아파트,위탁관리,9,제일에스테이트서비스 주식회사,위탁관리,6,드림안전시스템,위탁관리,10,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,25,6,1133,유,250,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,,20분초과,관공서(오산시청) 병원(한국병원) 대형상가(오산 롯데마트),초등학교(다온) 대학교(오산대학교),0,23,Y
A10026716,오산시티자이1단지,위탁관리,11,제일에스테이트서비스 주식회사,위탁관리,7,(주)수도종합관리,위탁관리,10,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,3500,단일계약,상주선임,R형,부스타방식,위탁관리,29,6,1321,유,263,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,,15~20분이내,관공서() 병원() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,33,Y
A44771702,운암주공1단지,위탁관리,11,경기진흥주택관리(주),위탁관리,18,(주)드림토탈시스텝,위탁관리,15,거점장비수거방식,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,2700,단일계약,상주선임,GR형,고가수조식,위탁관리,43,549,1232,무,329,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",5분이내,1호선,,,"관공서(여성회관,오산시청,예술회관,오산경찰서) 병원() 대형상가(롯데마트) 공원(근린,오산천) 기타(은행)",초등학교(운천) 중학교(운천) 고등학교(운천),0,0,Y
