kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020193,고현마을 에센스빌,위탁관리,3,태림주택종합관리(주),,,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,8,"도포식,분무식",철골콘크리트구조,0,단일계약,선정안함,기타,부스타방식,,0,40,33,유,8,,,,,,,,0,0,Y
A10025253,이안 두드림기흥역,위탁관리,5,주식회사 나우비엠씨,관리방식미정,0,,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,5,"도포식,분무식",철근콘크리트구조,2100,종합계약,상주선임,R형,부스타방식,위탁관리,4,0,235,유,77,"관리사무소, 자전거보관소",5분이내,"분당선, 용인에버라인",기흥역,5~10분이내,"관공서(상갈파출소, 신갈우체국, 신갈동 행정복지센터, 기흥구보건소) 병원(강남병원) 백화점(AK&기흥) 대형상가(롯데마트상가) 공원(통산근린공원) 기타(백남준아트센터, 경기도박물관, 신갈천 산책길)","초등학교(신갈초등학교, 구갈초등학교, 보라초등학교, 상갈초등학교) 중학교(신갈중학교, 상갈중학교, 구갈중학교) 고등학교(신갈고등학교, 기흥고등학교) 대학교(루터대학교)",0,4,Y
A10025541,신흥덕 롯데캐슬레이시티,위탁관리,10,우리관리(주),위탁관리,7,(주)SK쉴더스,위탁관리,14,음식물쓰레기종량제,위탁관리,12,,철근콘크리트구조,5750,단일계약,상주선임,GR형,부스타방식,위탁관리,31,0,1804,유,673,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,분당선,기흥역,5~10분이내,,,0,37,Y
A10026093,용인기흥 우방아이유쉘 아파트,위탁관리,5,주식회사 신화피엠씨,위탁관리,4,(주)홈스웰,위탁관리,4,음식물쓰레기종량제,위탁관리,12,도포식,철골콘크리트구조,2100,종합계약,상주선임,GR형,부스타방식,위탁관리,13,89,345,유,83,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,분당선,,20분초과,관공서() 병원(),초등학교(),0,16,Y
A10026407,삼익리베리움,위탁관리,2,우리관리(주),위탁관리(직영+위탁),0,,위탁관리(직영+위탁),1,거점장비수거방식,위탁관리,3,분무식,철근콘크리트구조,1100,종합계약,위탁선임,R형,부스타방식,위탁관리,2,19,84,무,41,"관리사무소, 휴게시설, 자전거보관소",5분이내,분당선,,10~15분이내,,,0,0,Y
A44658412,갈현마을현대홈타운,위탁관리,6,우리관리주식회사,위탁관리,6,(주)에이스엠,위탁관리,4,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,24,298,291,무,103,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,신분당선,신갈역,5~10분이내,관공서(기흥구청) 대형상가(구갈스포츠센타) 공원(근린공원) 기타(운전면허시험장),초등학교(산양) 중학교(구갈) 고등학교(기흥) 대학교(강남),0,12,Y
A44658413,새천년그린빌주공3단지,위탁관리,6,주식회사 푸른종합주택관리,위탁관리,6,푸른안전산업,위탁관리,5,기타,위탁관리,12,,철근콘크리트구조,1150,단일계약,상주선임,R형,부스타방식,위탁관리,16,209,508,무,82,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,분당선,,5~10분이내,관공서(기흥구청) 대형상가(구갈스포츠센타) 공원(새천년기념공원) 기타(운전면허시험장),초등학교(역동) 중학교(구갈) 고등학교(기흥) 대학교(강남),0,15,Y
A44658414,기흥더샵프라임뷰,위탁관리,6,(주)무림하우징,위탁관리,4,현대방재시스템,위탁관리,6,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,4082.25,종합계약,상주선임,R형,부스타방식,위탁관리,15,0,775,유,137,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,분당선,신갈,5분이내,관공서(기흥구청) 병원(강남병원),"초등학교(산양초,구갈초) 중학교(구갈중,기흥중) 고등학교(기흥고)",0,10,Y
A44658415,기흥역롯데캐슬스카이,위탁관리,7,우리관리(주),위탁관리,6,에스케이 쉴더스(주),위탁관리,9,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,3250,종합계약,상주선임,R형,부스타방식,위탁관리,9,0,758,유,154,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"분당선, 용인에버라인",기흥역,5~10분이내,"관공서(기흥구청, 신갈파출소, 기흥구 보건소, 신갈 주민센터) 병원(강남병원) 대형상가(롯데마트)",초등학교(신갈초등학교),0,22,Y
A44658506,새릉골풍림,위탁관리,4,에이제이대원 주식회사,위탁관리,4,(주)태영,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골구조,850,종합계약,위탁선임,P형,부스타방식,위탁관리,10,160,181,무,53,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"분당선, 신분당선",,5분이내,"관공서(신갈동주민센터,용인시립기흥도서관) 병원(강남병원) 대형상가(구갈스포츠센타) 공원(만골근린공원) 기타(원져캐슬관광호텔)","초등학교(언남초,신갈초) 중학교(신릉중,구갈중,신갈중,기흥중) 고등학교(기흥고) 대학교(강남)",7,4,Y
A44658601,새천년그린빌주공2단지,위탁관리,4,경기진흥주택관리(주),위탁관리,2,유한회사 미래환경,위탁관리,2,거점장비수거방식,위탁관리,12,도포식,콘크리트구조,700,단일계약,위탁선임,R형,부스타방식,위탁관리,7,135,107,무,32,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,분당선,,5~10분이내,관공서(기흥구청) 병원(강남병원) 백화점(AK백화점) 대형상가(구갈스포츠센타) 공원(새천년기념공원) 기타(운전면허시험장),초등학교(신릉) 중학교(구갈) 고등학교(기흥) 대학교(강남),0,5,Y
A44658609,플랫폼시티더퍼스트아파트,위탁관리,5,대한산업개발(주),위탁관리,4,주식회사에스알피,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",콘크리트구조,750,단일계약,위탁선임,R형,부스타방식,위탁관리,10,198,232,무,98,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5~10분이내,분당선,,5분이내,관공서(기흥구청) 대형상가(구갈스포츠센타) 공원(새천년기념공원) 기타(운전면허시험장),초등학교(역동) 중학교(구갈) 고등학교(기흥) 대학교(강남),3,6,Y
A44658715,파크시엘아파트,위탁관리,8,우리관리(주),위탁관리,6,피엠피(주),위탁관리,9,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",콘크리트구조,2050,단일계약,상주선임,R형,부스타방식,위탁관리,29,332,619,무,192,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,분당선,,5~10분이내,관공서(기흥구청) 병원(강남병원) 대형상가(구갈스포츠센타) 공원(새천년기념공원) 기타(운전면허시험장),초등학교(역동) 중학교(구갈) 고등학교(기흥) 대학교(강남),19,0,Y
A44658807,용인신갈 푸르지오,위탁관리,5,(주)무림하우징,위탁관리,5,신한영관리(주),위탁관리,3,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,12,174,433,무,73,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,신분당선,신갈역,10~15분이내,관공서(기흥구청) 병원(강남병원) 공원(만골근린공원) 기타(기흥도서관),"초등학교(신릉초등학교, 언남초등학교) 중학교(신릉중학교)",13,7,Y
A44658814,기흥파크뷰(새천년그린빌5단지),위탁관리,8,에이제이대원 주식회사,위탁관리,8,예주산업,위탁관리,8,음식물쓰레기종량제,위탁관리,12,,콘크리트구조,1900,단일계약,상주선임,기타,기타,위탁관리,26,217,727,유,148,"관리사무소, 노인정",5~10분이내,분당선,,10~15분이내,관공서(기흥구청) 대형상가(구갈스포츠센타) 공원(새천년기념공원) 기타(운전면허시험장),초등학교(역동) 중학교(구갈) 고등학교(기흥) 대학교(강남),0,19,Y
A44658913,양현마을신안풍림,위탁관리,7,서일개발,위탁관리,8,에코그린티엠,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2250,종합계약,상주선임,P형,부스타방식,위탁관리,33,282,506,무,98,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5~10분이내,분당선,,5~10분이내,관공서(기흥구청) 대형상가(구갈스포츠센타) 공원(근린공원) 기타(운전면허시험장),초등학교(산양) 중학교(구갈) 고등학교(기흥) 대학교(강남),0,10,Y
A44659508,원대마을한신아파트,위탁관리,4,우리관리(주),위탁관리,4,(유)현대관리시스템,위탁관리,3,음식물쓰레기종량제,위탁관리,12,분무식,콘크리트구조,1400,단일계약,상주선임,P형,부스타방식,위탁관리,10,164,319,무,82,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(기흥구청) 병원(조경래치과의원) 공원(구갈공원) 기타(기흥우체국),초등학교(신갈) 중학교(기흥) 고등학교(기흥) 대학교(강남),6,6,Y
A44659803,인성마을현대,위탁관리,4,세화종합관리,위탁관리,3,현대관리,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식",콘크리트구조,700,단일계약,위탁선임,P형,부스타방식,위탁관리,7,166,49,무,38,"관리사무소, 노인정, 자전거보관소",5~10분이내,신분당선,,5분이내,"관공서(기흥구청) 공원(구갈공원, 만골공원) 기타(기흥우체국)","초등학교(산양초,신릉초) 중학교(구갈중,신릉중) 고등학교(기흥) 대학교(강남)",5,5,Y
A44673805,드림랜드,위탁관리,5,(주)신대한관리,위탁관리,2,(주)뉴맨테크,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",콘크리트구조,988,단일계약,위탁선임,P형,고가수조식,위탁관리,7,210,0,무,44,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,"분당선, 용인에버라인",,,"관공서(기흥구청) 병원(강남병원) 백화점(기흥역AK,) 대형상가(롯데마트) 공원(구갈공원.만석공원) 기타(신갈우체국)",초등학교(산양초.관곡초.구갈초) 중학교(기흥.신갈) 고등학교(기흥) 대학교(강남),4,0,Y
A44695211,도현마을현대,위탁관리,6,광인산업주식회사,위탁관리,6,한국보안시스템,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1700,단일계약,상주선임,P형,부스타방식,위탁관리,19,361,517,무,113,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,분당선,신갈역,5분이내,관공서(기흥구청) 대형상가(구갈스포츠센타) 공원(근린공원) 기타(운전면허시험장),초등학교(산양) 중학교(구갈) 고등학교(기흥) 대학교(강남),0,10,Y
A44696104,신갈삼익,자치관리,4,,자치관리(직영),4,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1110,단일계약,위탁선임,P형,고가수조식,위탁관리,9,112,116,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,분당선,,20분초과,관공서(기흥구청) 병원(강남병원) 공원(구갈공원) 기타(기흥우체국),초등학교(신갈) 중학교(기흥) 고등학교(기흥) 대학교(강남),0,5,Y
A44696202,신갈신미주,위탁관리,4,우리관리(주),위탁관리,2,베스트종합관리(주),위탁관리,2,거점장비수거방식,위탁관리,12,"도포식,분무식,기구부착식",콘크리트구조,650,단일계약,위탁선임,P형,고가수조식,위탁관리,12,77,72,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,"분당선, 용인에버라인",,15~20분이내,관공서(기흥구청) 병원(강남병원) 공원(구갈공원) 기타(기흥우체국),초등학교(신갈) 중학교(기흥) 고등학교(기흥) 대학교(강남),3,0,Y
A10021846,강남마을 힐스파크,위탁관리,3,주식회사 대한에프앤디,,,,위탁관리,2,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,425,단일계약,위탁선임,GR형,부스타방식,위탁관리,10,140,0,무,16,"관리사무소, 노인정, 어린이놀이터",5분이내,,,10~15분이내,,초등학교(성지초등학교) 중학교(성지중학교) 고등학교(성지고등학교) 대학교(강남대학교),3,0,Y
A10021890,세종그랑시아 1차아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,5,Y
A10025933,기흥역 더샵 아파트,위탁관리,10,우리관리(주),위탁관리,7,(주) 홈스웰,위탁관리,15,음식물쓰레기종량제,위탁관리,9,"도포식,분무식,독이식",철골철근콘크리트구조,6750,단일계약,상주선임,R형,부스타방식,위탁관리,26,0,1587,유,362,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"분당선, 용인에버라인",,5분이내,,,0,32,Y
A10026005,기흥역파크푸르지오아파트,위탁관리,7,우리관리(주),위탁관리,5,(주)미래환경,위탁관리,8,차량수거방식,위탁관리,12,독이식,철근콘크리트구조,7100,종합계약,상주선임,R형,부스타방식,위탁관리,22,135,791,유,273,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",15~20분이내,분당선,분당선,10~15분이내,관공서(기흥구청) 병원(강남병원),초등학교(한얼초) 고등학교(신갈고등학교) 대학교(강남대학교),19,0,Y
