kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022063,수지우성그린빌,자치관리,2,,위탁관리,,홈스웰,위탁관리,1,차량수거방식,위탁관리,12,"도포식,분무식",조적구조,495,단일계약,위탁선임,기타,부스타방식,,0,0,138,유,32,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,신분당선,,5~10분이내,,중학교(수지중) 고등학교(수지고),0,0,Y
A10025228,풍덕천동 한샘 더랜드마크,위탁관리,5,주식회사 태영E&C,,,,위탁관리(직영+위탁),2,거점장비수거방식,위탁관리,6,분무식,철근콘크리트구조,2500,종합계약,상주선임,R형,부스타방식,위탁관리,2,11,233,무,64,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소, 기타",5~10분이내,"분당선, 신분당선","분당선,신분당선",15~20분이내,관공서() 병원() 백화점() 대형상가() 공원() 기타(),초등학교() 중학교() 고등학교(),0,3,Y
A10025555,수지파크푸르지오,위탁관리,5,우리관리(주),위탁관리,5,굿모닝대양,위탁관리,5,거점장비수거방식,위탁관리,8,"도포식,분무식,독이식",철근콘크리트구조,1550,종합계약,상주선임,GR형,부스타방식,위탁관리,13,0,548,유,215,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,분당선,신분당선 수지구청역 인,10~15분이내,관공서(풍덕천1동 주민센터),초등학교(풍덕초등학교) 중학교(수지중학교) 고등학교(풍덕고등학교) 대학교(단국대학교),0,11,Y
A10026839,e편한세상 수지아파트,위탁관리,10,우리관리(주),위탁관리,10,에스원,위탁관리,15,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,4750,단일계약,상주선임,GR형,부스타방식,위탁관리,24,96,1292,유,256,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,신분당선,,5분이내,"관공서(용인시청, 수지구청) 병원(분당서울대병원) 백화점(신세계 백화점) 대형상가(이마트, 롯데마트) 공원(수지근린공원, 신봉공원)","초등학교(수지초등학교) 중학교(정평중학교) 고등학교(풍덕고등학교) 대학교(경기대, 단국대)",0,14,Y
A10027717,래미안수지이스트파크,위탁관리,9,(주)타워피엠씨,위탁관리,12,태영,위탁관리,11,거점장비수거방식,위탁관리,12,"도포식,분무식",철골콘크리트구조,4500,종합계약,기타,P형,부스타방식,위탁관리,26,0,1074,유,294,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,신분당선,,5~10분이내,,,0,12,Y
A44817001,수지동문,위탁관리,6,(주)범주종합관리,위탁관리,4,(주)YHINO,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,178,기타,위탁선임,P형,부스타방식,위탁관리,10,282,97,무,49,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,신분당선,,5~10분이내,"관공서(풍덕천1동사무소) 병원() 백화점(신세계) 대형상가(이마트) 공원(근린공원,체육공원) 기타(대성스포츠센타, 한국물류센타)",초등학교(풍덕) 중학교(수지) 고등학교(수지),8,0,Y
A44817003,진산마을삼성래미안7차,위탁관리,6,우리관리(주),위탁관리,9,sc월드,위탁관리,7,차량수거방식,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,2750,종합계약,상주선임,GR형,부스타방식,위탁관리,23,79,1201,무,205,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,"분당선, 신분당선",,5~10분이내,관공서(에너지관리공단) 대형상가(롯데마트) 공원(근린공원) 기타((주)녹십자),초등학교(풍천) 중학교(이현) 고등학교(풍덕),0,23,Y
A44817004,수지 진산마을 푸르지오,위탁관리,6,우리관리,위탁관리,5,현대관리시스템,위탁관리,5,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,2900,종합계약,상주선임,GR형,부스타방식,위탁관리,12,12,513,유,151,,5~10분이내,,,15~20분이내,"관공서(수지구청,에너지관리공단) 병원() 백화점(신세계) 대형상가(이마트,롯데마트) 공원(근린공원) 기타((주)녹십자)",초등학교(풍천) 중학교(이현) 고등학교(풍덕) 대학교(단국대학교),0,28,Y
A44817101,수지건영,자치관리,4,,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",콘크리트구조,645,단일계약,위탁선임,P형,부스타방식,위탁관리,6,111,84,무,38,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,신분당선,,,관공서(수지파출소) 병원() 백화점(신세계) 대형상가(이마트) 공원(근린공원) 기타(우리은행),"초등학교(토월,풍덕) 중학교(수지) 고등학교(수지)",4,1,Y
A44855001,태영데시앙2차,위탁관리,4,(주)삼호안전종합관리,위탁관리,3,미래환경,위탁관리,3,음식물쓰레기종량제,위탁관리,4,독이식,철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,8,9,240,무,68,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,신분당선,,,관공서(수지구청) 백화점(신세계) 대형상가(이마트) 공원(근린공원) 기타(온사랑교회),초등학교(수지) 중학교(정평) 고등학교(풍덕),0,5,Y
