kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022681,용인드마크데시앙,위탁관리,10,주식회사 신화피엠씨,위탁관리,13,(주)신화피엠씨,위탁관리,11,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,4250,단일계약,상주선임,R형,부스타방식,위탁관리,30,0,1536,유,945,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,0,40,Y
A10025935,스위트홈아파트,위탁관리,1,(주)청원종합관리,위탁관리(직영+위탁),2,(주)청원종합관리,위탁관리,1,음식물쓰레기종량제,위탁관리,12,도포식,철골콘크리트구조,1209,종합계약,위탁선임,R형,부스타방식,위탁관리,5,20,114,무,32,자전거보관소,5분이내,용인에버라인,,5~10분이내,,,0,3,Y
A10026022,웰메이드시티337,위탁관리,6,현대하우징 주식회사,위탁관리,2,,위탁관리,1,차량수거방식,위탁관리,4,"도포식,분무식,독이식",철골철근콘크리트구조,1354,종합계약,위탁선임,R형,부스타방식,위탁관리,5,76,81,유,76,"관리사무소, 휴게시설, 자전거보관소",5분이내,"분당선, 용인에버라인",운동장송담대,5~10분이내,관공서(용인시청 처인구청 한전 용인소방서) 병원(다보스 병원) 대형상가(이마트 하이마트) 공원(종합운동장공원) 기타(중앙시장),초등학교(용인초등학교) 중학교(용인중학교) 고등학교(용인고등학교) 대학교(송담대 용인대),0,2,Y
A10026993,유메이드,위탁관리,3,신현대관리,위탁관리,2,신현대관리,위탁관리,2,음식물쓰레기종량제,위탁관리,5,,철골철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,3,0,139,무,60,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소",5분이내,용인에버라인,김량장역,5~10분이내,,,0,0,Y
A44902002,삼환,위탁관리,2,(주)융성종합관리,위탁관리,2,주택관리업자 직접고용,위탁관리,1,음식물쓰레기종량제,위탁관리,12,분무식,콘크리트구조,830,단일계약,위탁선임,P형,압력탱크식,위탁관리,5,113,67,무,20,"관리사무소, 노인정, 어린이놀이터, 휴게시설",10~15분이내,용인에버라인,,15~20분이내,"관공서(용인교육청,처인구청,중앙동주민센터) 병원(다보스병원,서울병원) 대형상가(LG하이프라자) 공원(근린공원, 통일공원) 기타(한국전력, 용인문예회관)","초등학교(용인초등학교) 중학교(용인중학교, 태성중학교) 고등학교(용인고등학교, 태성고등학교)",4,0,Y
A44902003,용인삼환나우빌아파트,위탁관리,5,(주)무림하우징,위탁관리,5,주)에코그린티엠,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,3000,종합계약,상주선임,R형,부스타방식,위탁관리,17,109,455,유,160,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,용인에버라인,,5~10분이내,"관공서(용인교육청, 처인구청) 병원(용인기독병원) 대형상가(LG하이프라자) 공원(근린공원, 통일공원) 기타(한국전력, 용인문예회관)","초등학교(용인) 중학교(용인여, 태성) 고등학교(용인여, 태성) 대학교(명지대, 용인대)",12,5,Y
A44970501,용인김량장주공2단지,위탁관리,5,주택관리공단,위탁관리,4,주식회사 이데아그룹,위탁관리,2,기타,위탁관리,3,"도포식,분무식,기구부착식",철근콘크리트구조,750,단일계약,상주선임,R형,부스타방식,위탁관리,8,192,313,무,76,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,용인에버라인,,,"관공서(용인교육청,처인구청) 병원(용인기독병원) 대형상가(LG하이프라자) 공원(근린공원, 통일공원) 기타(한국전력, 용인문예회관)","초등학교(용인) 중학교(용인여중, 태성) 고등학교(용인여, 태성)",0,0,Y
A44970502,금호어울림아파트,위탁관리,5,현대하우징(주),위탁관리,4,화성보안시스템(주),위탁관리,5,음식물쓰레기종량제,위탁관리,6,"도포식,분무식",철근콘크리트구조,600,종합계약,상주선임,GR형,부스타방식,위탁관리,14,5,549,유,134,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,용인에버라인,,5분이내,관공서(용인시청) 병원(명주병원),초등학교(용인초등학교) 중학교(용인중학교) 고등학교(용인고등학교) 대학교(명지대학교),0,19,Y
A44970503,용인에스원스마트빌,,2,정도비엠씨(주),위탁관리,2,정도비엠씨(주),위탁관리,1,차량수거방식,위탁관리,5,분무식,철근콘크리트구조,1450,종합계약,위탁선임,R형,부스타방식,위탁관리,3,0,73,무,70,"커뮤니티공간, 자전거보관소",5분이내,용인에버라인,,5~10분이내,,,0,0,Y
A44970904,김량장동현대아파트,위탁관리,6,우리관리(주),위탁관리,6,(유)미래환경,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",콘크리트구조,2100,단일계약,상주선임,P형,고가수조식,위탁관리,18,204,286,무,118,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5~10분이내,용인에버라인,,,관공서(처인구청) 병원(용인신경외과의원) 대형상가(하나로마트) 공원(근린공원) 기타(용인공용버스터미널),"초등학교(용인초, 역북초) 중학교(용인중, 용신중) 고등학교(태성고) 대학교(송담)",0,3,Y
