kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021703,청자아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10023946,"창전현대아파트(1차, 2차, 직장조합)",자치관리,4,,자치관리,6,,자치관리,4,음식물쓰레기종량제,위탁관리,18,"도포식,분무식",철근콘크리트구조,1238,단일계약,위탁선임,P형,부스타방식,위탁관리,13,306,0,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,경강선,,20분초과,"관공서(시청, 경찰서) 병원(금강병원) 백화점(엔씨백화점) 대형상가(이마트) 공원(온천공원)",초등학교() 중학교() 고등학교() 대학교(동원대학교),2,0,Y
A46772601,산호2차,자치관리,1,,자치관리,2,,자치관리(직영),1,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,49,단일계약,위탁선임,P형,부스타방식,위탁관리,6,40,0,무,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경의중앙선,,10~15분이내,병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,0,Y
A46780702,대호2차,자치관리,2,,자치관리,2,,자치관리,1,음식물쓰레기종량제,자치관리,,,철근콘크리트구조,3500,단일계약,상주선임,P형,부스타방식,위탁관리,6,50,40,무,33,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,경강선,,,"관공서(이천경찰서, 창천동사무소) 병원(이천의료원) 백화점() 대형상가() 공원(공원)","초등학교(이천,설봉초등교) 중학교(설봉중학교) 고등학교(이천고교)",0,1,Y
A10021029,이천자이더파크,위탁관리,8,제일에스테이트서비스 주식회사,위탁관리,,(주)이엠피서비스,위탁관리,8,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,3700,종합계약,상주선임,GR형,부스타방식,위탁관리,29,0,998,유,505,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,경강선,,10~15분이내,,,0,49,Y
A46770301,관고동벽산블루밍,위탁관리,4,서림주택관리,자치관리(직영),2,,자치관리(직영),3,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1150,종합계약,위탁선임,R형,부스타방식,위탁관리,6,0,314,유,94,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,경강선,,10~15분이내,"관공서(관고주민센터,이천소방서) 병원(이천의료원) 백화점(NC백화점) 공원(설봉공원) 기타(관고시장)",중학교(양정여자중학교) 고등학교(양정여자고등학교),2,5,Y
A46770403,두산,자치관리,13,,자치관리,4,,자치관리,4,거점장비수거방식,위탁관리,12,분무식,철근콘크리트구조,2200,단일계약,상주선임,P형,부스타방식,위탁관리,13,127,312,무,67,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",10~15분이내,,,20분초과,관공서(이천소방서) 병원(이천의료원) 백화점(NC백화점) 공원(설봉공원),중학교(양정여중) 고등학교(양정여고),8,9,Y
A46770502,산호1차,위탁관리,2,,위탁관리,2,서림주택관리,위탁관리,2,음식물쓰레기종량제,위탁관리(직영+위탁),12,분무식,프리케스트콘크리트구조,58,종합계약,위탁선임,P형,부스타방식,위탁관리,4,66,0,무,38,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(이천소방소) 병원(이천의료원) 대형상가(),중학교(양정여중) 고등학교(양정여고),0,0,Y
A10020231,이천중리 우미린 트리쉐이드아파트,위탁관리,,우리관리(주),위탁관리,,(주)홈스웰,위탁관리,10,음식물쓰레기종량제,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A46771401,라온팰리스,위탁관리,4,세화종합관리(주),위탁관리,2,(주)이오티엔디,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,1100,종합계약,상주선임,P형,부스타방식,위탁관리,5,0,217,유,53,관리사무소,5~10분이내,경강선,,,병원() 대형상가(),초등학교(),0,0,Y
A10023128,이천중리LH아파트,위탁관리,6,(주)경포,위탁관리,2,911보안시스템,위탁관리,6,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,2500,단일계약,상주선임,GR형,부스타방식,위탁관리,11,281,362,유,115,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,경강선,,10~15분이내,관공서() 병원() 대형상가() 공원() 기타(),,0,13,Y
A46775501,이천역현대홈타운,위탁관리,6,(주)무림하우징,위탁관리,4,미래환경,위탁관리,5,거점장비수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1750,단일계약,상주선임,GR형,부스타방식,위탁관리,18,123,477,무,149,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",15~20분이내,경강선,,10~15분이내,"관공서(이천시청,이천 세무서,이천경찰서)",,0,6,Y
A10020443,이천센트레빌레이크뷰,위탁관리,5,(주)유청시스템,위탁관리,,(주)유청시스템,위탁관리,3,차량수거방식,관리방식미정,4,,철골콘크리트구조,2880,종합계약,상주선임,GR형,부스타방식,위탁관리,5,0,286,유,149,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",,,,,,,0,44,Y
A10023267,이천롯데캐슬페라즈스카이입주자대표회의,위탁관리,7,(주)이오티앤디,위탁관리,4,(주)이오티앤디,위탁관리,7,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,4900,단일계약,상주선임,R형,부스타방식,위탁관리,8,0,340,유,150,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,경강선,,5~10분이내,"관공서(이천시청,증포동사무소안흥출장소) 병원(이천 의료원, 바른병원,파티마병원) 백화점(NC백화점) 대형상가(롯데마트 롯데 프리미엄 아울렛) 공원(설봉공원 안흥지)","초등학교(안흥 초등학교) 중학교(이천 중학교) 고등학교(이천제일고등학교) 대학교(동원대학교, 청강대학교, 한국관광대학교)",0,4,Y
A10023654,이천코아루휴티스2단지아파트,위탁관리,4,서일개발(주),위탁관리,2,디티에스코리아(주),위탁관리(직영+위탁),1,거점장비수거방식,위탁관리,4,분무식,철골철근콘크리트구조,750,종합계약,위탁선임,GR형,부스타방식,위탁관리,4,0,182,유,80,"관리사무소, 주민공동시설",5~10분이내,경강선,이천역,15~20분이내,관공서(이천시청) 병원(효자원),,0,0,Y
A10024239,이천코아루휴티스1단지,위탁관리,5,대원에스테이트서비스(주),위탁관리,2,디티에스코리아(주),위탁관리,2,음식물쓰레기종량제,위탁관리,8,"도포식,독이식",철골철근콘크리트구조,3400,단일계약,상주선임,R형,부스타방식,위탁관리,12,0,324,유,182,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,경강선,,10~15분이내,관공서() 병원() 백화점() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,10,Y
A10025804,이천롯데캐슬골드스카이,위탁관리,8,세화종합관리(주),위탁관리,8,(주)에스씨월드,위탁관리,10,거점장비수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,6500,종합계약,상주선임,R형,부스타방식,위탁관리,16,0,847,유,312,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,병원() 대형상가() 공원(),초등학교() 중학교(),0,99,Y
A46705001,일성아파트,자치관리,2,,자치관리,2,,자치관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,785,단일계약,위탁선임,P형,고가수조식,위탁관리,5,57,103,유,36,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 대형상가(),초등학교(안흥초등교) 중학교(이천중학교) 고등학교(이천제일고교),0,2,Y
A46771202,주공,자치관리,8,,위탁관리,14,원광,위탁관리,9,거점장비수거방식,위탁관리,12,분무식,프리케스트콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,34,539,192,무,125,"관리사무소, 노인정, 보육시설, 어린이놀이터",5분이내,,,10~15분이내,대형상가(),초등학교(안흥초등교) 중학교(이천중교) 고등학교(이천제일고교),8,7,Y
A46771203,브라운스톤,위탁관리,4,현대하우징(주),위탁관리,2,화성보안시스템,위탁관리,2,거점장비수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,1399,단일계약,상주선임,GR형,부스타방식,위탁관리,7,5,260,유,57,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",20분초과,,,,,,0,0,Y
A10021379,큰산아파트,자치관리,2,,자치관리(직영),,,자치관리(직영),1,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,45,단일계약,위탁선임,P형,부스타방식,,0,100,0,무,32,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5분이내,,,,,,2,0,Y
A46707001,설봉1차푸르지오,자치관리,5,,자치관리,2,,자치관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1525,종합계약,상주선임,R형,부스타방식,위탁관리,9,39,328,유,103,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,20분초과,관공서(이천시교육청) 병원(이천의료원) 백화점(NC백화점) 공원(온천공원) 기타(이천재래시장),초등학교(설봉) 중학교(설봉) 고등학교(이현),8,5,Y
A46707002,신일해피트리,자치관리,3,,위탁관리,4,미래환경,위탁관리,2,거점장비수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,850,단일계약,위탁선임,P형,부스타방식,위탁관리,10,94,174,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(이천교육청) 대형상가(e-마트) 기타(미란다호텔),초등학교(한내초등학교) 중학교(증포중학교) 고등학교(이현고등학교),0,6,Y
