kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A46512001,창우마을,자치관리,2,,자치관리,2,,자치관리,2,거점장비수거방식,위탁관리,8,분무식,철골철근콘크리트구조,800,단일계약,위탁선임,P형,부스타방식,위탁관리,4,35,120,유,27,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원() 공원() 기타(),초등학교() 중학교() 고등학교(),0,12,Y
A46512002,하남은행,위탁관리,12,한국주택시설관리,위탁관리,40,(유)와이번스안전관리시스템,위탁관리,10,차량수거방식,위탁관리,4,분무식,콘크리트구조,2450,단일계약,상주선임,P형,부스타방식,위탁관리,40,903,781,무,284,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,5호선,,5~10분이내,관공서(하남시청) 백화점(하남스타필드) 공원(은방울공원),"초등학교(창우초교, 하남초교) 중학교(하남여중교) 고등학교(하남정보산업고교)",0,5,Y
A46571004,부영,자치관리,11,,위탁관리,30,미래관리주식회사,위탁관리,16,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",콘크리트구조,3750,단일계약,상주선임,P형,부스타방식,위탁관리,30,1175,959,무,176,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,5호선,,15~20분이내,관공서(하남시청) 공원(새나라공원),"초등학교(창우초교,하남초교) 중학교(하남여중) 고등학교(하남정보산업고교)",30,14,Y
A46571103,꿈동산 신안아파트,위탁관리,11,율산개발 유한회사,위탁관리,22,향우종합관리(주),위탁관리,13,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,3500,단일계약,상주선임,P형,부스타방식,위탁관리,48,740,839,무,165,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,5호선,,,,,0,52,Y
A10022293,동신아파트,자치관리,3,,위탁관리,,(주)더지엠에스,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,550,단일계약,위탁선임,P형,고가수조식,위탁관리,4,36,116,무,32,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,5호선,,5~10분이내,,,3,0,Y
A10022435,명지캐럿108,위탁관리,6,광인산업(주),위탁관리,,광인산업(주),위탁관리,2,,위탁관리,6,분무식,철근콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,3,0,126,유,48,,5분이내,,,,,,0,3,Y
A10024119,하남호반써밋에듀파크,위탁관리,8,우리관리(주),위탁관리,7,(유)탄천산업,위탁관리,12,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,3750,단일계약,상주선임,R형,부스타방식,위탁관리,25,5,1280,유,385,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,5호선,,10~15분이내,,,0,5,Y
A10025930,하남유시티대명루첸리버파크,위탁관리,9,한국주택시설관리(주),위탁관리,6,(주)시큐원,위탁관리,10,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,4750,단일계약,상주선임,R형,부스타방식,위탁관리,22,0,1120,무,365,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,5호선,,10~15분이내,관공서() 병원() 공원(),초등학교() 중학교() 고등학교(),0,56,Y
A10026837,하남유니온시티에일린의뜰아파트,위탁관리,8,우리관리(주),위탁관리,6,한국보안컨설팅(주),위탁관리,8,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,3750,종합계약,상주선임,GR형,부스타방식,위탁관리,17,18,926,유,189,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,5호선,,10~15분이내,관공서(하남시청) 대형상가(하남스타필드),초등학교(신장초등학교) 중학교(신장중학교) 고등학교(신장고등학교),0,30,Y
A46503001,동일하이빌,위탁관리,6,태림주택종합관리(주),위탁관리,8,우진관리(주),위탁관리,5,음식물쓰레기종량제,위탁관리,22,"도포식,분무식,독이식",콘크리트구조,1550,단일계약,상주선임,R형,고가수조식,위탁관리,11,156,439,무,96,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,5호선,,,관공서(하남시청) 병원(세인과정의학과) 백화점(신세계백화정. 스타필드) 대형상가(현대베스코아) 공원(새나라공원),초등학교(창우.신펑 초등학교) 중학교(신장중학교) 고등학교(신장고등학교.하남정보산업),17,12,Y
A46503002,에코타운2단지아파트,위탁관리,5,세화종합관리(주),위탁관리,5,한국보안컨설팅(주),위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,12,216,323,무,93,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,5호선,,,관공서(하남시청) 병원(하나의원) 대형상가(신장재래시장) 공원(),초등학교(신장초교) 중학교(남한중교) 고등학교(신장고등학교),9,2,Y
A46503003,에코타운3단지,위탁관리,6,서일개발(주),위탁관리,6,이데아그룹,위탁관리,6,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,2650,단일계약,상주선임,R형,부스타방식,위탁관리,14,314,727,무,103,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소",5분이내,5호선,하남시청역,,관공서(하남시청) 병원(미래이비인후과) 대형상가() 기타(시립도서관),초등학교(신장초교) 중학교(남한중학교) 고등학교(신장고교),0,11,Y
