kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A44532002,숲속마을모아미래도2단지,위탁관리,5,(주)무림하우징,위탁관리,3,(주)홈스텍,위탁관리,4,거점장비수거방식,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,10,14,596,무,105,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,병점역,10~15분이내,"병원(한림대학교 동탄성심병원) 공원(센트럴파크, 구봉산공원)","초등학교(한마음초등학교) 중학교(푸른중학교, 능동중학교) 고등학교(동탄고등학교)",0,11,Y
A44532004,능동역경남아너스빌아파트,위탁관리,5,(주)신화시스템즈,위탁관리,3,주식회사홈스텍,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,3500,단일계약,상주선임,R형,부스타방식,위탁관리,13,26,531,무,109,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(우체국,동사무서) 병원(한림대병원) 백화점(롯데백화점) 대형상가(이마트,홈플러스) 공원(손바닥공원,센트럴파크) 기타(동탄복합문화센타)",초등학교(한마음초등학교) 중학교(푸른중학교) 고등학교(능동고등학교),0,11,Y
A44532005,능동역이지더원,위탁관리,6,태원비앰씨(주),위탁관리,4,(주)시큐원,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,2000,단일계약,상주선임,R형,부스타방식,위탁관리,19,71,577,무,107,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,,"관공서(경기지방공사) 대형상가(홈에버,롯데마트) 공원(센트럴파크)",초등학교(능동) 중학교(능동) 고등학교(능동),0,13,Y
A44532006,동탄숲속마을 능동역 리체 더 포레스트,위탁관리,6,한국주택시설관리(주),위탁관리,5,주식회사피누스이앤씨,위탁관리,6,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,4000,단일계약,상주선임,R형,부스타방식,위탁관리,16,29,1014,무,160,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,병점역,5~10분이내,"공원(센트럴파크, 구봉산공원)","초등학교(안화초,장지초,삼리초,구봉초) 중학교(안화중, 반월중,) 고등학교(안화고, 기산고, 병점고)",0,21,Y
A44532007,능동역센트럴경남아너스빌아파트,위탁관리,6,(주)무림하우징,위탁관리,7,DTS코리아(주),위탁관리,5,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,4050,종합계약,상주선임,R형,부스타방식,위탁관리,19,33,748,유,198,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,병점,,관공서() 병원() 공원(),초등학교(숲속초) 중학교(푸른중) 고등학교(동탄고),0,16,Y
A44532009,상록예가,위탁관리,10,주식회사 한길종합관리,위탁관리,6,(주)푸른안전,위탁관리,6,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,3350,단일계약,상주선임,R형,부스타방식,위탁관리,16,36,787,무,184,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,"1호선, 1호선, 1호선, 1호선, 1호선",", , , , ",15~20분이내,관공서( 동탄3동주민센터) 병원(동탄한림대성심병원) 공원(개나리공원),초등학교(능동초) 중학교(능동중) 고등학교(능동고),0,17,Y
A44532011,동탄푸른마을신일해피트리,위탁관리,8,우리관리(주),위탁관리,6,주)엠엠아이,위탁관리,7,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철골철근콘크리트구조,3250,단일계약,상주선임,GR형,부스타방식,위탁관리,22,23,766,무,261,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,10~15분이내,관공서(동탄출장소) 병원(삼성본병원) 기타(나래울(복지회관)),초등학교(푸른초등학교) 중학교(푸른중학교) 고등학교(동탄고등학교),0,7,Y
A44532012,숲속마을모아미래도1단지,위탁관리,9,우리관리주식회사,위탁관리,2,듀델코리아,위탁관리,9,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,29,21,899,유,163,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,"병점,서동탄",,"대형상가(이마트에브리데이,하나로마트,) 공원(근린,센트럴파크)","초등학교(한마음,숲속) 중학교(능동,푸른) 고등학교(동탄)",0,5,Y
A44532013,푸른마을모아미래도,위탁관리,8,(주)신원티엠씨(TMC),위탁관리,7,홈스텍,위탁관리,8,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,3100,단일계약,상주선임,R형,부스타방식,위탁관리,27,48,885,유,123,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5~10분이내,"병원(한림대병원) 대형상가(홈플러스,메타폴리스, 이마트) 공원(센트럴파크)","초등학교(푸른,한마음) 중학교(푸른) 고등학교(동탄)",10,9,Y
A44532014,푸른마을포스코더샵2차,위탁관리,11,대원종합관리주식회사,위탁관리,10,시큐원,위탁관리,12,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,5250,단일계약,상주선임,R형,부스타방식,위탁관리,29,26,1524,유,350,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,서동탄역,5~10분이내,"관공서(경기지방공사) 대형상가(홈에버) 공원(근린,구봉산,센트럴파크)","초등학교(푸른,한마음) 중학교(푸른) 고등학교(동탄)",0,12,Y
