kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023807,화성우방아이유쉘메가시티2단지,위탁관리,7,(주)케이티팝스,위탁관리,5,드림안전씨스템(주),위탁관리,8,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,4500,종합계약,상주선임,GR형,부스타방식,위탁관리,24,8,914,유,256,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,수인선,,20분초과,관공서(기배동 행정복지센터),초등학교(기안초등학교),0,46,Y
A10023831,화성우방아이유쉘메가시티1단지,위탁관리,5,(주)성보티씨에스,위탁관리,3,드림안전씨스템(주),위탁관리,5,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철골콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,10,0,520,유,137,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서(기배동행정지원센터),초등학교(기안초등학교) 중학교(기안중학교) 대학교(수원대학교),5,21,Y
A44531002,우림그린빌리지,위탁관리,6,우리관리(주),위탁관리,5,삼우서비스(주),위탁관리,6,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1750,단일계약,상주선임,GR형,부스타방식,위탁관리,23,384,258,무,120,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,20분초과,관공서(기배동사무소) 대형상가(이마트) 기타(화성공구유통밸리),초등학교(기안초) 중학교(기안중) 대학교(수원대학교),13,13,Y
A44577204,신일해피트리1차,위탁관리,7,경기진흥주택관리(주),위탁관리,8,드림안전씨스템(주),위탁관리,8,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철골콘크리트구조,2400,단일계약,상주선임,R형,부스타방식,위탁관리,33,351,703,유,160,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,"1호선, 1호선, 1호선, 1호선, 1호선","병점역, 수원역, 병점역, 수원역, 병점역, 수원역, 병점역, 수원역, 병점역, 수원역",15~20분이내,관공서(기배동사무소) 대형상가(이마트 봉담점),"초등학교(기안초) 중학교(기안중) 대학교(수원대, 수원과학대, 홍익대(화성캠퍼스))",21,21,Y
A44577705,기안마을풍성신미주,위탁관리,9,현대하우징,위탁관리,8,드림안전씨스템(주),위탁관리,10,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,3250,단일계약,상주선임,GR형,부스타방식,위탁관리,45,473,697,무,231,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,20분초과,관공서(기배동사무소) 병원() 백화점() 대형상가() 공원() 기타(융건릉 문화재),"초등학교(기안초) 중학교(기안중) 대학교(홍익대(화성캠퍼스), 수원과학대, 수원대학교, 협성대학교, 한신대학교, 장안대학교,)",0,10,Y
A44599101,평생플러스빌,위탁관리,3,(주)무림하우징,위탁관리,2,(주)태영,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,900,단일계약,위탁선임,P형,부스타방식,위탁관리,11,131,147,무,70,"관리사무소, 노인정, 자전거보관소",5분이내,분당선,오목천역,20분초과,"관공서(기배동사무소) 병원(윤내과 외) 대형상가(삼성디지털프라자,이마트봉담점) 공원(나눔공원) 기타(화성공구유통밸리)","초등학교(기안초) 중학교(기안중) 고등학교(홍익디자인고등학교) 대학교(홍익대(화성캠퍼스),수원대학교)",0,6,Y
A44599103,광도와이드빌,위탁관리,7,율산개발(주),위탁관리,8,케이티팝스,위탁관리,8,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,1900,단일계약,상주선임,GR형,부스타방식,위탁관리,25,498,220,무,127,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,1호선,,10~15분이내,관공서(기배동사무소) 병원() 대형상가() 공원() 기타(화성공구유통밸리),"초등학교(기안초) 중학교(기안중) 대학교(농촌진흥청농업전문대,수원대, 수원과학대)",15,0,Y
A10022799,중흥에스클래스에듀시티,위탁관리,8,(주)신화시스템즈,위탁관리(직영+위탁),4,디티에스코리아,위탁관리(직영+위탁),8,,위탁관리,12,분무식,철근콘크리트구조,4720,단일계약,상주선임,R형,부스타방식,위탁관리,23,7,979,유,384,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 분당선",,20분초과,관공서(봉담읍행정복지센터) 대형상가(이마트 봉담점),,0,20,Y
A10022810,중흥S클래스에듀포레,위탁관리,7,(주)케이비아주,위탁관리,4,(주)HMC,위탁관리,9,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,3400,단일계약,상주선임,R형,부스타방식,위탁관리,16,10,1273,유,367,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,27,Y
A10023061,봉담 중흥S-클래스 에듀파크,위탁관리,9,세화종합관리(주),위탁관리,10,주식회사 동명씨앤아이,위탁관리,14,차량수거방식,관리방식미정,,,철근콘크리트구조,4600,단일계약,상주선임,R형,부스타방식,위탁관리,27,8,1359,유,486,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,10~15분이내,"관공서(봉담읍행정복지센터) 병원(동탄한림대병원, 나이스병원) 백화점(AK플라자)","초등학교(수연초) 중학교(수현중) 고등학교(봉담고) 대학교(장안대,협성대,수원대)",0,28,Y
