kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021622,한성사랑채 아파트,자치관리,1,,자치관리,,,자치관리,1,차량수거방식,자치관리,1,"도포식,분무식",철근콘크리트구조,0,단일계약,기타,기타,기타,위탁관리,5,100,48,무,6,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(거창군청) 공원(책읽는공원),초등학교(아림초등학교) 중학교(대성중학교) 고등학교(대성고등학교),0,0,Y
A67080703,거창상동주공,위탁관리,3,(주)승리주택관리,위탁관리,2,,위탁관리,2,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,850,종합계약,위탁선임,GR형,부스타방식,위탁관리,13,316,0,무,48,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5~10분이내,,,,"관공서(거창군청,경찰서,법원,세무서) 병원(거창적십자병원) 대형상가(스카이시티할인점) 공원(상림체육공원)","초등학교(거창초교, 아림초교) 중학교(거창대성중,거창여중) 고등학교(거창고교,거창중앙고,거창대성고) 대학교(거창전문대,거창승강기대학)",6,0,Y
A67080704,대경넥스빌,위탁관리,3,(주)승리주택관리,위탁관리(직영+위탁),3,승리주택관리(주),위탁관리(직영+위탁),2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1030,단일계약,위탁선임,P형,부스타방식,위탁관리,13,317,61,무,59,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(거창군청,경찰서,법원,세무서) 병원(거창적십자병원) 대형상가(대백마트) 공원(상림체육공원)","초등학교(거창초교, 아림초교) 중학교(거창대성중,거창여중) 고등학교(거창고교,거창중앙고,거창대성고) 대학교(거창전문대)",0,3,Y
A67080705,거창상림현대,위탁관리,3,남부건업(주),위탁관리,3,남부건업(주),위탁관리,2,음식물쓰레기종량제,위탁관리,3,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,975,단일계약,위탁선임,P형,부스타방식,위탁관리,16,398,20,무,45,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",5분이내,,,,"관공서(거창군청,경찰서,법원,세무서) 병원(거창적십자병원) 대형상가(하나로마트,대백마트) 공원(상림체육공원)","초등학교(거창초교, 아림초교) 중학교(거창중교,거창여중) 고등학교(거창고교,거창중앙고,거창대성고) 대학교(거창전문대)",0,0,Y
A67080103,거창하나로2차,위탁관리,1,(주)세운주택관리,위탁관리,2,,위탁관리,1,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,7,96,69,무,30,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(거창군청,경찰서,대동우체국) 병원(거창적십자병원) 대형상가(킹스할인마트)","초등학교(거창초교, 창동초교) 중학교(거창중학교, 거창여중) 고등학교(거창고, 거창중앙고, 대성고) 대학교(거창대학, 승강기대학)",0,0,Y
A67080301,베어스타운,자치관리,3,,자치관리,3,,자치관리,2,차량수거방식,자치관리,1,분무식,철근콘크리트구조,950,단일계약,위탁선임,R형,고가수조식,위탁관리,8,198,0,무,32,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,20분초과,"관공서(거창군청,경찰서,법원,세무서) 병원(거창적십자병원) 대형상가(탑마트) 공원(스포츠파크 체육시설)","초등학교(거창초교, 아림초교) 중학교(거창중교,거창여중) 고등학교(거창고교,거창중앙고,거창대성고) 대학교(거창전문대)",4,0,Y
A67080307,대동주공,자치관리,2,,자치관리,3,,자치관리,1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,0,단일계약,선정안함,기타,수도직결식,,0,209,0,무,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(군청,법원,읍사무소,세무소,경찰서,소방서,통계청,대평리동주민센터,보건소,우체국) 병원(거창적십자병원,서경병원) 대형상가(하나로마트) 공원(죽전공원,거창책읽기공원,거창스포츠파크) 기타(거창버스터미널)","초등학교(샛별초,아림초,거창초,창동초,창남초) 중학교(샛별중,대성중,거창중,거창여중,혜성여중) 고등학교(거창대성고,대성일고,거창여고,거창고,아림고) 대학교(거창전문대)",0,0,Y
A67080308,거창소만주공아파트,위탁관리,5,(유)에이치에스관리,위탁관리,3,(유)HS관리,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,기타철골철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,12,405,0,무,40,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(거창군청) 병원(거창적십자병원) 대형상가(필할인마트) 공원(),"초등학교(창동초교,거창초교, 아림초교) 중학교(거창중교, 거창여중) 고등학교(거창고,거창중앙고,거창대성고) 대학교(도립거창대학)",9,0,Y
A10027462,거창코아루에듀시티2단지아파트,자치관리,5,,자치관리,3,,자치관리,3,차량수거방식,위탁관리,3,"도포식,분무식,기구부착식",철골철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,24,92,320,유,77,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,,,9,0,Y
A67080104,거창코아루에듀시티,자치관리,5,,자치관리,4,,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2100,종합계약,상주선임,R형,부스타방식,위탁관리,13,88,383,유,76,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,"관공서(거창군청,우체국,주민센터,교육청,) 병원(거창병원,서경병원,적십자병원 그외 개인병원) 대형상가(하나로마트) 공원(만남의광장) 기타(거창시장)","초등학교(창남초교,샛별초교,아림초교,창동초교,거창초교) 중학교(거창중학교) 고등학교(거창여고 대성고 아림고 거창고) 대학교(거창대학)",0,0,Y
