kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022101,고성남외행복마을1단지,위탁관리,3,남부건업(주),위탁관리,,,위탁관리,1,음식물쓰레기종량제,위탁관리,0,,철골콘크리트구조,350,단일계약,위탁선임,R형,부스타방식,위탁관리,2,77,0,유,39,,5~10분이내,,,,,,1,0,Y
A10024357,고성서외LH아파트및실버주택,위탁관리,3,남부건업(주),위탁관리,4,남부건업(주),위탁관리,2,차량수거방식,위탁관리(직영+위탁),2,분무식,철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,10,172,0,무,74,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,5,0,Y
A63880401,태영아파트,위탁관리,1,경남산업주식회사,자치관리(직영),2,,자치관리(직영),1,음식물쓰레기종량제,자치관리,1,분무식,철근콘크리트구조,450,단일계약,위탁선임,P형,고가수조식,위탁관리,3,100,0,무,22,"관리사무소, 어린이놀이터, 자전거보관소",10~15분이내,,,,대형상가(탑마트),초등학교(고성초등학교),2,0,Y
A63880407,덕진5차휴먼빌,위탁관리,2,(주)남부건업,위탁관리,2,남부건업,위탁관리,2,음식물쓰레기종량제,관리방식미정,0,,철근콘크리트구조,1300,단일계약,위탁선임,R형,부스타방식,위탁관리,7,113,180,무,41,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,서해선,,,관공서(고성군청) 병원(서울병원) 대형상가(탑마트) 기타(공설운동장),초등학교(고성초등학교) 중학교(고성여중),6,0,Y
A10027333,고성코아루더파크,위탁관리,5,(주)하나종합관리,위탁관리(직영+위탁),2,(주)하나종합관리,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2550,종합계약,상주선임,R형,부스타방식,위탁관리,9,174,252,유,73,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서() 공원(),초등학교() 중학교() 고등학교(),9,5,Y
A63880001,동외주공아파트,위탁관리,4,(주)미래에이비엠,위탁관리,2,늘푸른주식회사,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,900,단일계약,위탁선임,P형,부스타방식,위탁관리,10,316,0,무,21,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,"관공서(고성경찰서) 병원(종합병원(강병원,더좋은병원)) 공원(남산공원) 기타(고성법원)",초등학교(대성초등) 중학교(고성여중고) 고등학교(고성여중고),0,0,Y
A63880002,고성아이존빌2차,위탁관리,3,남부건업(주),위탁관리,3,남부건업(주),위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,16,0,414,유,84,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",10~15분이내,,,,"관공서(고성경찰서, 고성군청, 고성교육청) 병원(강병원, 더조은병원) 공원(남산공원)","초등학교(고성초등학교, 대성초등학교, 철성초등학교) 중학교(고성여중, 고성중, 철성중) 고등학교(중앙고, 철성고, 항공고)",0,4,Y
A63880302,대동남산아파트,위탁관리,1,남부건업(주),,,,위탁관리,1,차량수거방식,관리방식미정,0,,철골철근콘크리트구조,300,단일계약,위탁선임,P형,부스타방식,위탁관리,2,50,24,무,16,"관리사무소, 노인정, 자전거보관소",5분이내,,,,,,2,0,Y
A63880306,정림무지개아파트,위탁관리,2,세운주택관리(주),위탁관리(직영+위탁),2,세운주택관리,위탁관리(직영+위탁),1,음식물쓰레기종량제,자치관리,2,도포식,철근콘크리트구조,250,단일계약,위탁선임,P형,고가수조식,위탁관리,4,114,0,무,26,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(고성경찰서) 병원(제정인내과소아과병원/ 강병원/ 더조은병원/ 삼성요양병원) 대형상가(삼성디지털프라자-고성점) 공원(),초등학교(),1,0,Y
A10020561,고성더리브스위트엠,위탁관리,5,남부건업(주),위탁관리,,남부건업(주),위탁관리,4,차량수거방식,관리방식미정,2,분무식,철골철근콘크리트구조,25000,단일계약,상주선임,GR형,부스타방식,관리방식미정,17,135,389,유,152,,,,,,,,20,0,Y
