kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10026577,캐슬아리스타궁,위탁관리,3,(주)하나종합관리,위탁관리(직영+위탁),2,하나종합관리,위탁관리(직영+위탁),2,차량수거방식,위탁관리,5,분무식,철근콘크리트구조,1323,종합계약,상주선임,R형,부스타방식,위탁관리,6,0,209,유,51,"관리사무소, 주민공동시설, 자전거보관소",5분이내,부산-김해경전철,,10~15분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,0,Y
A10026917,동상동 베스티움 아파트,위탁관리,2,남부건업(주),위탁관리,2,남부건업(주),위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1309,단일계약,위탁선임,R형,부스타방식,위탁관리,6,13,204,유,65,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,20분초과,,,4,4,Y
A62102001,김해롯데캐슬가야2단지,위탁관리,3,주우관리,위탁관리,3,(주)명가종합관리,위탁관리,3,음식물쓰레기종량제,자치관리,0,분무식,철근콘크리트구조,1100,단일계약,상주선임,R형,부스타방식,위탁관리,12,100,195,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,부산-김해경전철,,15~20분이내,"관공서(김해교육청,동상동사무소,왕릉파출소) 병원(김해중앙병원) 공원(호계공원)","초등학교(김해동광초,합성초) 중학교(김해여중) 고등학교(김해여자고,건설공업고)",0,6,Y
A62102002,한덕타워,위탁관리,3,(주)하나종합관리,위탁관리,2,주)하나종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,6,"도포식,분무식,기구부착식",철근콘크리트구조,1170,단일계약,위탁선임,R형,부스타방식,위탁관리,6,110,82,무,49,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,20분초과,"관공서(동상동사무소,왕릉파출소,김해시청) 공원(남산)",초등학교(김해동광초) 중학교(김해중) 고등학교(중앙여자고),0,4,Y
A62102003,김해롯데캐슬가야1단지,위탁관리,6,남부건업(주),위탁관리,4,남부건업(주),위탁관리,6,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2300,단일계약,상주선임,R형,부스타방식,위탁관리,24,383,490,무,173,"관리사무소, 노인정, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,20분초과,"관공서(김해교육청,동상동사무소,왕릉파출소) 공원(구지)","초등학교(김해동광초,합성초) 중학교(김해여중) 고등학교(김해여자고,건설공업고)",0,18,Y
A10025720,부원역 그린코아 더센텀 아파트,위탁관리,5,세신산업(주),위탁관리,2,(주)하나종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,5,,철골콘크리트구조,1800,종합계약,상주선임,R형,부스타방식,위탁관리,6,0,450,유,81,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5분이내,,,5분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,11,Y
A62178101,부원역푸르지오,위탁관리,8,남부건업(주),위탁관리,6,(주)남부건업,위탁관리,9,차량수거방식,위탁관리,3,,철골철근콘크리트구조,6000,종합계약,상주선임,GR형,부스타방식,위탁관리,20,0,1112,유,240,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,부산-김해경전철,,5분이내,관공서() 병원() 공원(),초등학교(),0,31,Y
A10020687,봉황동백조아파트1동,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,5분이내,,,0,0,Y
A10026919,e편한세상 봉황역아파트,위탁관리,7,남부건업(주),위탁관리,6,남부건업(주),위탁관리,9,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,5250,단일계약,상주선임,GR형,부스타방식,위탁관리,16,91,944,유,186,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,부산-김해경전철,,5분이내,,,0,22,Y
A10021988,가람아파트,위탁관리(직영+위탁),,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10020763,김해구산푸르지오파크테르아파트,위탁관리,,남부건업(주),,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,5~10분이내,,,0,0,Y
A62106010,광남백조,위탁관리,5,남부건업,위탁관리,4,남부건업,위탁관리,6,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,1210,기타,위탁선임,P형,고가수조식,위탁관리,35,466,0,무,101,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,부산-김해경전철,,,"관공서(연지우체국,김해학생체육관) 병원(부부치과의원) 백화점(신세계백화점) 대형상가(삼성홈플러스) 공원(연지공원) 기타(구산종합운동장,김해시문화예술회관,국립김해박물관)","초등학교(우암,구봉,구산) 중학교(김해서중,구산중) 고등학교(김해여,건설공업공고) 대학교(가야대학교, 김해대학교)",5,0,Y
A62106013,김해구산1,위탁관리,5,주택관리공단,관리방식미정,0,,위탁관리,1,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,0,단일계약,선정안함,P형,부스타방식,,0,154,0,무,31,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,10~15분이내,"관공서(구산우체국,김해학생체육회관) 병원(부부치과의원) 대형상가(홈플러스) 공원(연지공원) 기타(구산종합운동장,국립김해박물관,김해시문화예술회관)","초등학교(구봉,우암) 중학교(김해서) 고등학교(김해여,건설공) 대학교(인제대학교)",0,0,Y
A62175901,일동미라주,위탁관리,6,남부건업(주),위탁관리,4,(주)남부건업,위탁관리,7,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,3100,단일계약,상주선임,R형,부스타방식,위탁관리,22,0,603,유,218,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,부산-김해경전철,,10~15분이내,,"초등학교(동광초, 합성초) 중학교(김해여중) 고등학교(김해여고)",0,14,Y
