kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021297,풍국그린맨션,자치관리,0,,,,,자치관리,0,,자치관리,,,철근콘크리트구조,321,기타,위탁선임,기타,고가수조식,,0,70,0,무,1,,5~10분이내,,,,,,0,0,Y
A10021628,남동발전사원아파트,자치관리,4,,,,,자치관리,2,음식물쓰레기종량제,자치관리,,,철골철근콘크리트구조,0,기타,기타,기타,기타,,0,0,0,무,0,,5분이내,,,,,,0,0,Y
A10020236,e편한세상 삼천포오션프라임,위탁관리,,주식회사 서호,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10020830,노산아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,20분초과,,,0,0,Y
A10021386,피닉스센트럴마크,위탁관리,3,,,,,위탁관리,1,,자치관리,,,철골철근콘크리트구조,,,,,,위탁관리(직영+위탁),3,,,,,,5분이내,,,,,,0,4,Y
A10021399,한주비치맨션,자치관리,0,,자치관리,,,자치관리,1,,자치관리,1,도포식,철근콘크리트구조,0,기타,위탁선임,P형,고가수조식,위탁관리,0,100,0,무,6,,5~10분이내,,,,,,0,0,Y
A10021971,가양라끄빌5차아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10025149,삼천포예미지아파트,위탁관리,5,경남산업(주),위탁관리,4,경남산업(주),위탁관리,4,차량수거방식,위탁관리,3,분무식,철골철근콘크리트구조,3172,단일계약,상주선임,R형,부스타방식,위탁관리,17,64,620,유,148,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,병원(삼천포서울병원),고등학교(삼천포공업고등학교),14,0,Y
A10021825,서성파라토피아맨션,자치관리,1,,,,,자치관리,1,,자치관리,,,철근콘크리트구조,167,기타,위탁선임,P형,고가수조식,위탁관리,2,66,0,무,13,,5~10분이내,,,,,,0,0,Y
A66412001,동림현대,위탁관리,1,승리주택관리,위탁관리,2,,자치관리,1,차량수거방식,자치관리,1,분무식,철근콘크리트구조,141,기타,위탁선임,P형,고가수조식,위탁관리,2,87,0,무,16,"관리사무소, 어린이놀이터",5~10분이내,,,,"관공서(경찰서,교육청) 병원(삼천포서울병원) 대형상가(e마트, 홈플러스) 공원(노산공원)","초등학교(문선초교,노산초교,삼천포초교) 중학교(삼천포중교, 삼천포여중교) 고등학교(삼천포여고, 삼천포고교)",0,0,Y
A66416002,사천벌리1,위탁관리,4,주택관리공단,위탁관리,2,신서림에스앤에스(주),위탁관리,1,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,400,단일계약,위탁선임,R형,부스타방식,위탁관리,6,112,0,무,26,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(경찰서,교육청) 병원(삼천포서울병원) 대형상가(홈플러스) 공원(노산공원)","초등학교(문선초교,노산초교,삼천포초교) 중학교(삼천포중교, 삼천포여중교) 고등학교(삼천포여고, 삼천포고교)",0,0,Y
A66483301,사천벌리주공2단지,위탁관리,3,(주)세운주택관리,위탁관리,4,(주)세운주택관리,위탁관리(직영+위탁),3,음식물쓰레기종량제,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,400,기타,위탁선임,P형,부스타방식,위탁관리,6,305,0,무,64,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(경찰서,교육청) 병원(삼천포제일병원, 삼천포서울병원) 대형상가(이마트, 홈플러스) 공원(용두공원, 노산공원)","초등학교(용산초교, 문선초교,노산초교,삼천포초교) 중학교(중앙여중, 삼천포중교, 삼천포여중교) 고등학교(중앙고교, 삼천포여고, 삼천포고교)",0,0,Y
A10024285,사천 용강동 서희스타힐스,위탁관리,4,더그린 주식회사,위탁관리,3,더그린 주식회사,위탁관리,4,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,1800,종합계약,상주선임,R형,부스타방식,위탁관리,13,86,382,유,101,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",10~15분이내,,,,"병원(삼천포서울병원) 대형상가(아미트,홈플러스)","초등학교(대성초등학교) 중학교(삼천포제일중학교,삼천포여자중학교) 고등학교(삼천포중앙고등학교,삼천포여자고등학교)",0,10,Y
A66415001,삼보신우타운,위탁관리,4,경남산업(주),,,,자치관리(직영),2,음식물쓰레기종량제,자치관리,,,철근콘크리트구조,845,단일계약,위탁선임,P형,고가수조식,위탁관리,5,84,55,무,32,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(경찰서, 소방서, 주민센타) 병원(삼천포제일병원, 서울병원, 한마음병원, 보건센타) 대형상가(홈플러스, 이마트, 탑마트) 공원(용두공원, 망산공원, 동서공원, 노산공원) 기타(버스터미널, 문화예술회관, 청소년문화센타)","초등학교(문선초교,대성초교, 용산초교) 중학교(삼천포중교, 제일중교, 중앙여중) 고등학교(삼천포고교, 중앙고교, 마이스터교) 대학교(폴리택(항공))",3,0,Y
A66470603,용강주공,위탁관리,4,(주)세운주택관리,위탁관리,3,(주)세운주택관리,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,1050,단일계약,상주선임,R형,고가수조식,위탁관리,12,178,202,무,78,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(경찰서) 병원(삼천포제일의원) 대형상가(홈플러스) 기타(버스터미널),초등학교(용강초교) 중학교(삼천포중교) 고등학교(삼천포고교),8,0,Y
A66470604,용강2주공아파트,위탁관리,5,(주)진광,위탁관리,3,(주)진광,위탁관리,2,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,11,428,0,유,33,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(경찰서) 병원(삼천포서울병원) 대형상가(홈플러스) 공원(용두공원) 기타(버스터미널),"초등학교(문선초교,대성초교) 중학교(삼천포제일중) 고등학교(삼천포고교)",10,0,Y
A66470605,용강대경파미르,위탁관리,4,(주)경일씨엔에스,위탁관리,4,경일씨앤에스,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1950,단일계약,상주선임,R형,부스타방식,위탁관리,18,168,360,유,123,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(경찰서,법원) 병원(단과병원) 대형상가(하나로마트)","초등학교(문선초교) 중학교(삼천포제일중교,삼천포여중) 고등학교(삼천포고교)",0,4,Y
A66470702,용강현대,위탁관리,3,(주)승리주택관리,관리방식미정,4,,위탁관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,10,371,0,무,67,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(경찰서) 병원(삼천포제일의원) 대형상가(홈플러스) 기타(버스터미널),초등학교(문선초교) 중학교(삼천포중교) 고등학교(삼천포고교),4,0,Y
A66404001,웰뷰파크,위탁관리,2,경남산업,위탁관리(직영+위탁),2,경남산업,위탁관리,2,음식물쓰레기종량제,위탁관리,2,"도포식,분무식",철근콘크리트구조,1200,단일계약,위탁선임,P형,부스타방식,위탁관리,9,121,160,무,58,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5~10분이내,,,,"관공서(사천경찰서, 소방서) 병원(삼천포서울병원, 삼천포제일병원, 현대재활요양병원) 대형상가(삼천포중앙시장, E마트, 홈플러스, 탑마트, 일신마트) 공원(노산공원, 망산공원, 석류공원) 기타(유람선 선착장, 삼천포 대교)","초등학교(대방초교,삼천포초교) 중학교(삼천포중교,삼천포여중,중앙여중) 고등학교(삼천포고교,삼천포여고,중앙고,마스터고) 대학교(한국폴리텍항공대학)",6,0,Y
A10021822,남양현대아파트,자치관리,1,,,,,자치관리,1,,자치관리,,,철골철근콘크리트구조,342,종합계약,위탁선임,기타,수도직결식,위탁관리,1,96,0,무,3,,5분이내,,,,,,0,0,Y
A10022307,아리안아파트1단지 ,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A66411001,신우심포니,위탁관리,2,(주)승리주택관리,위탁관리,2,(주)승리주택관리,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,2,,철근콘크리트구조,1160,단일계약,위탁선임,P형,고가수조식,위탁관리,10,86,140,무,48,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(파출소) 병원(삼성의원) 공원(모충공원),초등학교(남양초교) 중학교(남양중교),3,2,Y
A66411002,사천죽림아리안2단지,위탁관리,1,남부건업(주),위탁관리,2,(주)남부건업,위탁관리,1,음식물쓰레기종량제,관리방식미정,1,분무식,철근콘크리트구조,1173,단일계약,위탁선임,R형,부스타방식,위탁관리,6,88,103,유,43,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,,,,"관공서(남양동주민센터, 남양119안전센터남양파출소) 공원(모충공원)",초등학교(남양초교) 중학교(남양중교),0,10,Y
A66480107,덕진봄,위탁관리,3,(주)하나종합관리,위탁관리,4,(주)하나종합관리,위탁관리,3,차량수거방식,위탁관리,3,분무식,철골콘크리트구조,1700,단일계약,상주선임,R형,부스타방식,위탁관리,14,117,245,무,55,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,"관공서(사천읍사무소, 등기소) 병원(중앙병원) 대형상가(탑마트) 공원(산성공원)",초등학교(사천초교) 중학교(사천여중) 고등학교(사천고교),0,0,Y
A66480301,전원맨션,위탁관리,1,승리주택관리(주),위탁관리,2,,위탁관리,1,차량수거방식,위탁관리,2,,철근콘크리트구조,172,기타,위탁선임,P형,부스타방식,위탁관리,5,51,54,무,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,"관공서(사천읍사무소, 등기소) 병원(중앙병원) 대형상가(탑마트) 공원(산성공원)",초등학교(사천초교) 중학교(사천여중) 고등학교(사천고교),2,0,Y
A66480304,대경파미르,위탁관리,2,경남산업(주),위탁관리,4,경남산업(주),관리방식미정,2,거점장비수거방식,자치관리,1,분무식,철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리,15,171,150,무,62,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(사천읍사무소, 등기소) 병원(하나병원) 대형상가(탑마트) 공원(산성공원)",초등학교(사천초교) 중학교(사천여중) 고등학교(사천고교),0,7,Y
A66480305,사천대경,위탁관리,5,경남산업(주),위탁관리,0,,위탁관리,3,음식물쓰레기종량제,위탁관리,3,,철근콘크리트구조,1160,단일계약,위탁선임,P형,부스타방식,위탁관리,6,260,60,무,49,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,"관공서(사천읍사무소, 등기소) 병원(중앙병원) 대형상가(탑마트) 공원(산성공원)","초등학교(사천초교) 중학교(사천여중) 고등학교(사천고교,자영고)",0,0,Y
A10021711,신우가든아파트,자치관리,0,,자치관리,,,자치관리,0,,자치관리,,,철근콘크리트구조,0,기타,선정안함,P형,고가수조식,,0,61,0,무,0,,5~10분이내,,,,,,0,0,Y
A10020831,신성아파트,자치관리,0,,위탁관리,,남부건업(주),위탁관리,1,,관리방식미정,2,,철골철근콘크리트구조,,,,,,위탁관리,9,,,,,,5~10분이내,,,20분초과,,,0,0,Y
A10025786,사천꿈에그린아파트,위탁관리,5,(주)승리주택관리,위탁관리,3,(주)승리주택관리,위탁관리,4,차량수거방식,위탁관리,3,"도포식,분무식",철골콘크리트구조,1650,단일계약,상주선임,R형,부스타방식,위탁관리,15,200,301,유,173,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,20분초과,관공서(읍사무소) 병원(우리메디칼) 공원(항공테마공원),초등학교(동성초등학교) 중학교(사천중학교) 고등학교(사천고등학교),7,3,Y
