kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A66026001,망경한보타운,위탁관리,6,승리주택,위탁관리,4,승리주택,위탁관리,6,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,2700,단일계약,상주선임,P형,부스타방식,위탁관리,23,335,396,무,156,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(경상남도 통계청) 병원(망경노인병원) 대형상가(할인마트) 공원(망진산공원),초등학교(망경초등학교) 중학교(진주남중학교) 대학교(국립경상대학교),10,5,Y
A10020310,철도문화공원극동스타클래스,위탁관리,,(주)디이씨오,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A66029001,현대성우트리팰리스,위탁관리,4,승리주택관리,위탁관리,2,승리주택관리(주),위탁관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2250,종합계약,상주선임,R형,부스타방식,위탁관리,6,0,320,무,96,,5분이내,,,,,,0,5,Y
A66029003,금호석류마을,위탁관리,5,경남산업(주),위탁관리,4,경남산업(주),위탁관리,6,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,2000,단일계약,상주선임,R형,고가수조식,위탁관리,20,274,600,무,135,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,,,,"병원(경상대병원, 고려병원, 제일병원) 대형상가(탑마트) 공원(고수부지, 석류공원)",초등학교(주약초교) 대학교(경상대의대),0,18,Y
A66077001,삼환나우빌,위탁관리,3,(주)승리주택관리,위탁관리(직영+위탁),3,(주)승리주택관리,위탁관리(직영+위탁),2,차량수거방식,위탁관리,2,"도포식,기구부착식",철골콘크리트구조,900,종합계약,위탁선임,GR형,부스타방식,위탁관리,6,75,320,유,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,"관공서(주민센터) 병원(경상대병원,제일병원) 대형상가(탑마트) 공원()","초등학교(주약초등학교) 대학교(경상대의대,진주산업대)",11,9,Y
A66077104,주약현대아파트,위탁관리,5,경남산업(주),위탁관리,8,경남산업(주),위탁관리,6,차량수거방식,위탁관리,3,,철근콘크리트구조,2050,단일계약,상주선임,R형,부스타방식,위탁관리,26,122,765,무,181,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,,,0,18,Y
A66077202,한보은빛마을,위탁관리,4,(주)세운주택관리,위탁관리,6,(주)세운주택관리,위탁관리,4,음식물쓰레기종량제,위탁관리,3,"도포식,기구부착식",철골철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,19,150,570,무,82,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,,,,"병원(경상대병원, 고려병원,제일병원) 대형상가(탑마트)",초등학교(주약초교) 대학교(경상대의대),0,3,Y
A66077305,한주럭키타운,자치관리,21,,자치관리,6,,자치관리,7,거점장비수거방식,자치관리,3,"도포식,분무식,독이식",철근콘크리트구조,2150,단일계약,상주선임,P형,부스타방식,위탁관리,35,451,0,무,120,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"병원(경상대병원, 고려병원,제일병원) 대형상가(탑마트)",초등학교(주약초교) 중학교(진주남중) 대학교(경상대의대),2,0,Y
A10022106,일진스위트포레강남,위탁관리,1,경남산업(주),위탁관리,,경남산업(주),위탁관리,1,음식물쓰레기종량제,자치관리,,,철골철근콘크리트구조,750,종합계약,위탁선임,R형,부스타방식,위탁관리,4,0,96,유,70,"관리사무소, 휴게시설, 자전거보관소",5분이내,,,,,,0,3,Y
A10024438,진주 일동미라주 아파트,위탁관리,6,남부건업(주),위탁관리,2,남부건업(주),위탁관리,3,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,3000,단일계약,상주선임,GR형,부스타방식,위탁관리,13,0,470,유,183,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원(),초등학교() 중학교() 대학교(),0,10,Y
