kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A63580101,현대맨션1차,자치관리,2,,,,,자치관리(직영),1,차량수거방식,자치관리(직영),4,분무식,철골철근콘크리트구조,1000,단일계약,위탁선임,P형,수도직결식,위탁관리,6,50,30,무,15,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(창녕군청) 병원(창녕군보건소) 대형상가(하나로마트) 공원(창녕문화공원) 기타(창녕시외버스터미널),초등학교(명덕),0,0,Y
A10022837,창녕삼평마을아파트,위탁관리,4,삼양관리주식회사,위탁관리,2,늘푸른(주),위탁관리,1,음식물쓰레기종량제,관리방식미정,,,철근콘크리트구조,720,종합계약,위탁선임,GR형,부스타방식,위탁관리,3,105,0,유,42,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,,,2,0,Y
A10025459,창녕 코아루더파크 아파트,위탁관리,4,(주)북성산업,위탁관리,2,(주)북성산업,위탁관리,3,거점장비수거방식,위탁관리,3,분무식,철골철근콘크리트구조,1800,단일계약,상주선임,GR형,부스타방식,위탁관리,9,282,131,유,92,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,관공서(),초등학교() 중학교() 고등학교(),4,5,Y
A63580503,창녕창녕,위탁관리,4,주택관리공단(주),위탁관리,2,명가종합관리,위탁관리,1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,775,단일계약,위탁선임,R형,부스타방식,위탁관리,5,234,0,무,18,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,"관공서(창녕읍사무소,창녕군법원)","초등학교(창녕초) 중학교(창녕중,창녕여중) 고등학교(창녕제일고)",5,0,Y
A10025781,넥센타이어사원아파트,위탁관리,2,주식회사 케이엔엔디앤씨,위탁관리,3,knn 디앤씨,위탁관리,2,음식물쓰레기종량제,위탁관리,2,분무식,철골콘크리트구조,800,종합계약,위탁선임,P형,부스타방식,위탁관리,11,34,148,무,64,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터",5분이내,,,,,,0,4,Y
A10027382,창녕신우희가로아파트,위탁관리,4,(주)북성산업,위탁관리,2,(주)북성산업,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철골콘크리트구조,1400,단일계약,상주선임,R형,부스타방식,위탁관리,22,92,334,유,129,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,21,Y
A63590102,동아더프라임,자치관리,5,,위탁관리,2,남부건업주식회사,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,2400,단일계약,상주선임,GR형,부스타방식,위탁관리,13,230,239,유,86,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",20분초과,,,,관공서(남지읍사무소) 공원(남지체육공원),"초등학교(남지초교) 중학교(남지여중,남지중) 고등학교(남지고)",6,4,Y
A63590301,남지대경아파트,위탁관리,1,승리주택관리(주),위탁관리(직영+위탁),2,승리주택관리(주),위탁관리(직영+위탁),1,음식물쓰레기종량제,관리방식미정,1,,철근콘크리트구조,300,단일계약,위탁선임,P형,부스타방식,위탁관리,3,119,0,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(남지읍사무소) 병원(함안우리병원),"초등학교(동포초등학교 ,남지초등학교) 중학교(남지중학교) 고등학교(남지고등학교)",0,0,Y
A63590302,남지 덕진6차휴먼빌,위탁관리,1,(주)진광,자치관리,2,덕진6차입대의,자치관리,1,음식물쓰레기종량제,자치관리(직영),2,분무식,철근콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,4,130,80,유,20,"관리사무소, 어린이놀이터, 자전거보관소",10~15분이내,,,20분초과,관공서(남지읍사무소) 병원(),초등학교(동포),0,5,Y
A63590303,푸른마을아파트,자치관리,1,,자치관리(직영),1,,자치관리(직영),1,음식물쓰레기종량제,자치관리(직영),2,,철근콘크리트구조,248,기타,위탁선임,R형,고가수조식,위탁관리,5,48,20,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서() 병원() 대형상가() 기타(),초등학교(동포),0,0,Y
