kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021937,건화그린맨션,관리방식미정,9,,,,,위탁관리,5,차량수거방식,자치관리(직영),,,철골콘크리트구조,,,,,,위탁관리,5,90,15,,9,,5분이내,,,,,,1,0,Y
A10022759,마창대교 반도유보라 아이비파크,위탁관리,7,(주)삼성씨에스,위탁관리,5,(주)삼성씨에스,위탁관리,9,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철골철근콘크리트구조,5750,단일계약,상주선임,GR형,부스타방식,위탁관리,20,0,1180,유,330,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,,,,0,22,Y
A10023019,창원가포 안단테,위탁관리,5,(주)삼성씨에스,위탁관리,2,(주)삼성씨에스,위탁관리,3,거점장비수거방식,위탁관리,3,분무식,철근콘크리트구조,1570,기타,상주선임,R형,부스타방식,위탁관리,12,0,402,유,232,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",20분초과,,,,관공서(합포구청:1889-1111),초등학교(가포초등학교(055-224-5241)) 중학교(구산중학교(055-221-0044)) 고등학교(가포고등학교(055-240-3600)) 대학교(경남대학교),0,1,Y
A10024212,가포금호어울림NHF아파트,위탁관리,6,(주)FS탄영,위탁관리,3,남부건업(주),위탁관리,6,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2450,단일계약,상주선임,GR형,부스타방식,위탁관리,20,70,645,유,215,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,10,9,Y
A10024554,창원가포LH아파트1단지,위탁관리,6,주식회사 세종종합관리,위탁관리,2,남부건업(주),위탁관리,4,기타,위탁관리,3,분무식,철골철근콘크리트구조,2050,단일계약,상주선임,GR형,부스타방식,위탁관리,11,168,299,유,125,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,,,,관공서() 공원(),초등학교(),9,6,Y
A10022949,창원푸르지오더플래티넘,위탁관리,15,남부건업(주),위탁관리,9,,위탁관리,16,음식물쓰레기종량제,,3,,철골철근콘크리트구조,7850,종합계약,상주선임,GR형,부스타방식,위탁관리,32,0,1859,유,635,,5분이내,,,,,,0,11,Y
A10024694,롯데캐슬프리미어아파트,위탁관리,8,(주)삼성씨에스,위탁관리,6,(주)삼성씨에스,위탁관리,9,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,5550,종합계약,상주선임,R형,부스타방식,위탁관리,28,0,1219,유,409,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,,,0,25,Y
A63175001,무학산벽산블루밍,위탁관리,6,하나종합관리,위탁관리,7,하나종합관리,위탁관리,9,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,4200,단일계약,상주선임,R형,부스타방식,위탁관리,21,158,790,유,168,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(교방동주민센터) 기타(무학산),초등학교(교방초) 중학교(마산여중) 고등학교(합포고),19,0,Y
A63185101,교방상록아파트,위탁관리,5,(유)에이치에스관리,위탁관리,4,,위탁관리,3,,위탁관리,3,분무식,철근콘크리트구조,1600,단일계약,상주선임,GR형,부스타방식,위탁관리,12,28,389,무,117,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,,초등학교(),0,7,Y
A63110001,마산무학자이,위탁관리,6,(주)경일씨엔에스,위탁관리,6,(주)세명엔터프라이즈,위탁관리,9,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,3000,종합계약,상주선임,R형,부스타방식,위탁관리,17,210,686,유,182,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,,관공서(교방동사무소) 병원(연세병원),"초등학교(교방초등학교) 중학교(의신여중,마산동중학교) 고등학교(합포고등학교)",0,10,Y
