kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022086,신우아파트,자치관리,1,,자치관리,,,자치관리,1,차량수거방식,위탁관리(직영+위탁),3,분무식,철근콘크리트구조,319,종합계약,위탁선임,P형,고가수조식,위탁관리(직영+위탁),2,40,64,무,32,,5~10분이내,,,,,,0,3,Y
A63075101,구암중앙하이츠,위탁관리,2,경일 씨앤에스,위탁관리,4,세명엔터프라이즈,위탁관리,3,음식물쓰레기종량제,자치관리,0,기구부착식,철근콘크리트구조,1177,단일계약,위탁선임,R형,부스타방식,위탁관리,9,18,255,유,48,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(구암1동사무소) 병원(삼성) 대형상가(삼성디지털프라자),초등학교(팔룡) 중학교(중앙) 고등학교(구암),6,6,Y
A63080101,구암대동2차,위탁관리,1,(유)에이치에스관리,위탁관리,4,에이치에스,위탁관리,1,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,6,54,123,유,52,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,13,Y
A63080102,구암대동타운,위탁관리,5,진광(주),위탁관리,6,(주)진광,위탁관리,5,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,21,316,224,무,113,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5분이내,,,,관공서(구암동사무소) 병원(삼성병원) 백화점(신세계백화점) 대형상가(삼성디지털프라자),"초등학교(중앙) 중학교(양덕중,양덕여중,중앙중) 고등학교(구암고) 대학교(창신)",11,5,Y
A10021813,푸르내아파트,위탁관리(직영+위탁),0,,,,,자치관리,1,음식물쓰레기종량제,관리방식미정,3,분무식,철근콘크리트구조,0,단일계약,선정안함,기타,고가수조식,,0,70,0,무,4,,5~10분이내,,,,,,0,0,Y
A63078901,봉암서광아파트,위탁관리,3,(주)진광,위탁관리,2,(주)진광,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,18,85,198,무,58,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,6,Y
A10025125,메트로시티석전,위탁관리,10,(주)삼성씨에스,자치관리(직영),8,,자치관리(직영),16,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,7250,단일계약,상주선임,GR형,부스타방식,위탁관리,35,0,2160,유,392,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서(회원구청) 병원(삼성병원) 백화점(신세계백회점) 대형상가(롯데마트 양덕점) 공원(근주공원),초등학교(석전초등학교),0,14,Y
A10026658,다움아파트,위탁관리,1,(주)로이안,자치관리(직영),0,,위탁관리,1,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,1395,종합계약,위탁선임,R형,부스타방식,위탁관리,2,60,17,유,50,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,0,Y
A63001001,동도센트리움,위탁관리,2,남부건업(주),위탁관리,2,남부건업,위탁관리,2,차량수거방식,위탁관리,2,"분무식,독이식",철근콘크리트구조,1600,단일계약,상주선임,GR형,부스타방식,위탁관리,4,2,236,유,51,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(국민건강보험공단) 병원(365병원) 대형상가(홈플러스) 공원(마산종합운동장) 기타(마산역),초등학교(석전초) 고등학교(한일전산여자고등),0,3,Y
A63080501,대동피렌체아파트,위탁관리,1,(주)삼성씨에스,위탁관리,2,(주)원종합관리,위탁관리,1,차량수거방식,위탁관리,2,도포식,철근콘크리트구조,682,단일계약,위탁선임,P형,고가수조식,위탁관리,4,51,132,무,31,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(석전동행정복지센터) 병원(동마산병원),초등학교(석전초등학교) 중학교(마산무학여중) 고등학교(마산무학여고),4,0,Y
