kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023881,성산 반도유보라아이비파크,위탁관리,8,(주)삼성씨에스,위탁관리,5,(주)에스원,위탁관리,13,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,6600,단일계약,상주선임,GR형,부스타방식,위탁관리,88,0,1498,유,435,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,0,36,Y
A64111001,소라아파트,위탁관리,3,유성안전시스템,위탁관리,2,유성안전시스템,위탁관리,2,음식물쓰레기종량제,자치관리(직영),5,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,자치관리(직영),8,255,0,무,34,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(성산구청) 병원(창원중앙병원) 백화점(대동백화점) 대형상가(가음정대상가) 공원(가음정장미공원),초등학교(남정초등학교) 중학교(창원남중학교) 고등학교(창원남고등학교),0,0,Y
A10021158,경남아파트,위탁관리,1,,,,,위탁관리,1,차량수거방식,자치관리,6,"도포식,분무식",철골철근콘크리트구조,15,기타,선정안함,기타,고가수조식,,0,50,0,무,14,,5분이내,,,,,,0,0,Y
A10021255,두산아파트,자치관리,0,,자치관리,,,자치관리,1,차량수거방식,자치관리,2,기구부착식,철근콘크리트구조,75,단일계약,위탁선임,P형,고가수조식,위탁관리,2,9,40,무,4,"관리사무소, 자전거보관소",5분이내,,,,관공서(소방소) 병원(창원병원) 공원(체육공원),초등학교(외동초등학교) 중학교(남중학교) 고등학교(남고등학교),0,0,Y
A10021262,창원외동대동아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10021387,한일유앤아이오르젠아파트,자치관리,4,,자치관리,,,자치관리,1,차량수거방식,자치관리,1,분무식,철근콘크리트구조,22900,단일계약,위탁선임,P형,부스타방식,위탁관리,5,44,76,무,25,,5~10분이내,,,,,,3,0,Y
A64102001,월드메르디앙이스턴애비뉴,위탁관리,4,(주)경일씨엔에스,위탁관리,4,(주)경일씨앤에스,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,2050,단일계약,상주선임,R형,부스타방식,위탁관리,13,112,411,무,104,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,0,Y
A64175307,개나리1차아파트,위탁관리(직영+위탁),6,(주)진광,위탁관리,2,(주)진광,위탁관리,5,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,1900,단일계약,상주선임,P형,부스타방식,위탁관리,13,560,46,무,64,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(사파동사무소) 병원(대방의원),초등학교(대방초등학교) 중학교(대방중학교),7,3,Y
A64176001,대방동성아파트,위탁관리,4,(유)에이치에스관리,위탁관리,6,세신산업,위탁관리,4,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1300,단일계약,상주선임,P형,고가수조식,위탁관리,14,227,183,무,72,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(성산구청) 병원(경상대학병원) 대형상가(농협유통센타) 기타(성산도서관),초등학교(대암초등학교) 중학교(안남중학교) 고등학교(대암고등학교),0,5,Y
A64176109,대방성원3차아파트,위탁관리,8,(주)경일씨엔에스,위탁관리,16,(주)경일씨앤에스,위탁관리,9,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,4600,단일계약,상주선임,P형,부스타방식,위탁관리,27,145,255,무,167,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,8,0,Y
A64180406,대방덕산타운,위탁관리,5,(주)유성안전시스템,위탁관리,16,(주)유성안전시스템,위탁관리,7,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,980,기타,위탁선임,P형,부스타방식,위탁관리,22,347,82,무,92,"관리사무소, 노인정, 보육시설, 어린이놀이터",5분이내,,,,관공서(사파동사무소) 병원(대방의원),초등학교(대방초등학교) 중학교(대방중학교),9,0,Y
A64180408,성원남산3차,위탁관리,6,남부건업(주),위탁관리,4,남부건업(주),위탁관리(직영+위탁),3,차량수거방식,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,2000,단일계약,상주선임,P형,고가수조식,위탁관리,16,90,50,무,32,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(사파동사무소),초등학교(대방초등학교),0,3,Y
A64180410,대방대동아파트,위탁관리,10,(주)진광,위탁관리,18,(주)진광,위탁관리,13,차량수거방식,위탁관리,7,"도포식,분무식",철근콘크리트구조,5600,단일계약,상주선임,P형,부스타방식,위탁관리,42,723,152,무,100,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,,,,"관공서(구청,소방서,경찰서) 병원(창원경상대학병원) 대형상가(남창원농협종합물류센터) 기타(성주도서관)","초등학교(대방초등학교,안남초등학교) 중학교(대방중학교,) 고등학교(대암고등학교)",13,5,Y
A64180502,대방덕산2차타운아파트,자치관리,4,,위탁관리,10,(주)북성산업,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1700,단일계약,상주선임,P형,고가수조식,위탁관리,16,175,257,무,66,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(성산도서관) 병원(단지 상가 내 개인병원 소재) 대형상가(단지입구 상가) 공원(삼정자공원) 기타(),"초등학교(대암초등학교) 중학교(안남중학교, 삼정자중학교) 고등학교(대암고등학교)",0,8,Y
A64180503,대동디지털황토,위탁관리,6,(주)북성산업,위탁관리,10,세명엔터프라이즈,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2100,단일계약,상주선임,GR형,고가수조식,위탁관리,18,350,364,무,87,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,대형상가(삼성디지털프라자),초등학교(대암초등학교 / 안남초등학교) 중학교(안남중학교) 고등학교(대암고등학교),13,0,Y
A64180504,대방대동황토방,위탁관리,6,남부건업(주),위탁관리,6,(주)가람티엠에스,위탁관리,5,차량수거방식,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,1500,단일계약,상주선임,P형,고가수조식,위탁관리,20,384,281,무,92,,5~10분이내,,,20분초과,,,0,14,Y
A64180505,대방그린빌아파트,자치관리,4,장복순,자치관리,5,,자치관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1900,단일계약,상주선임,P형,고가수조식,위탁관리,13,212,172,무,43,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,경춘선,,,"관공서(성산구청, 사파동사무소, 남양파출소(소방서), 대방우체국) 병원(경상대학병원, 창원중앙병원) 백화점(대동백화점, 롯데백화점) 대형상가(삼성디지털프라자, 더스퀘어상가) 공원(장미공원, 남산주구운동장, 대방체육공원) 기타()",초등학교(대암초등학교) 중학교(안남중학교) 고등학교(대암고등학교) 대학교(창원대학교),6,20,Y
