kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10025098,창원중동유니시티3단지,위탁관리,17,더그린 주식회사,위탁관리,7,에스원,위탁관리,16,음식물쓰레기종량제,관리방식미정,3,,철골철근콘크리트구조,5000,종합계약,상주선임,R형,부스타방식,관리방식미정,46,18,2873,유,1451,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,,,,관공서(의창구청),"초등학교(중동초등학교, 의창초등학교)",0,58,Y
A10025118,중동유니시티4단지,위탁관리,11,남부건업(주),위탁관리,8,(주)에스원,위탁관리,18,차량수거방식,위탁관리,3,,철근콘크리트구조,8250,종합계약,상주선임,GR형,부스타방식,위탁관리,50,20,3466,유,1846,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",10~15분이내,,,,관공서(의창구청) 병원(파티마병원) 공원(사화공원),초등학교(의창초등하교) 중학교(도계중학교),0,70,Y
A10025452,창원 중동 유니시티 2단지,위탁관리,8,남부건업(주),위탁관리,7,(주)하나종합관리,위탁관리,12,차량수거방식,위탁관리,5,"분무식,독이식",철근콘크리트구조,5000,종합계약,상주선임,GR형,부스타방식,위탁관리,30,0,2041,유,1040,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,"관공서(의창구청 : 055-212-2114, 서부경찰서 민원콜 : 182, 의창동주민센터 : 055-212-5400) 병원(창원삼성병원 : 055-290-6000) 대형상가(유니스퀘어,어반브릭스) 공원(중앙공원) 기타(경남에너지(도시가스) : 055-260-4000, 의창파출소 : 055-291-1112)","초등학교(중동초등학교) 중학교(도계중학교외 7학교) 고등학교(창원과학고등학교,창원고등학교) 대학교(창원대학교,경남대학교,창신대학교,문성대학교)",0,41,Y
A10025454,창원중동유니시티1단지,위탁관리,13,(주)삼성씨에스,위탁관리,8,에스원,위탁관리,20,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,8000,종합계약,상주선임,R형,부스타방식,위탁관리,55,26,3455,유,1810,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(의창구청) 병원(삼성창원병원, 파티마병원) 백화점(롯데백화점) 대형상가(어반브릭스, 홈플러스, 롯데백화점, 뉴코아아울렛) 공원(사화공원, 창원중동중앙공원)",초등학교(의창초등학교) 중학교(팔룡중학교) 고등학교(창원과학고등학교) 대학교(창원대학교),0,70,Y
A10022095,무학서문마을 아파트,자치관리,1,,자치관리,,,자치관리,1,차량수거방식,위탁관리,2,분무식,철근콘크리트구조,400,단일계약,위탁선임,P형,고가수조식,위탁관리,4,68,61,무,23,,5분이내,,,,,,2,0,Y
A64170001,중동대동다:숲,위탁관리,6,남부건업(주),위탁관리,5,sk쉴더스(주),위탁관리,6,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,23,232,455,무,171,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,병원(보람의원) 공원(남산),초등학교(중동) 중학교(창원여자) 고등학교(성민여고),0,19,Y
A10021224,보람아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10021409,상강한주맨션,자치관리(직영),3,,자치관리(직영),,,자치관리(직영),1,차량수거방식,위탁관리,4,,철골철근콘크리트구조,75,단일계약,위탁선임,P형,고가수조식,위탁관리(직영+위탁),5,70,47,유,26,"관리사무소, 노인정, 자전거보관소",5~10분이내,,,,,,0,0,Y
A64179601,한효한마음코아,위탁관리,1,(주)대현종합관리,위탁관리(직영+위탁),2,주)대현종합관리,위탁관리(직영+위탁),1,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,182,기타,위탁선임,P형,부스타방식,위탁관리,3,80,55,무,11,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,,"병원(모자병원) 대형상가(하이마트,전자랜드)",초등학교(도계),0,0,Y
A64179602,도계휴먼시아,위탁관리,6,유)에이치에스관리,위탁관리,4,유)에이치에스관리,위탁관리,1,차량수거방식,위탁관리,4,"분무식,독이식",철근콘크리트구조,1050,단일계약,상주선임,R형,부스타방식,위탁관리,12,180,265,무,72,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(의창구청, 명곡동주민센터, 서부경찰서) 백화점(롯데백화점) 대형상가(어반브릭스, 시티세븐, 뉴코아아울렛) 공원(사화공원) 기타(세코, 서부스포츠센타, 곰두리체육센터등)","초등학교(명도초등학교) 중학교(도계중학교) 고등학교(창원고등학교) 대학교(문성대,창원대)",0,9,Y
A10021164,동정무학아파트,자치관리,1,,자치관리,,,위탁관리,3,차량수거방식,자치관리(직영),,분무식,철골콘크리트구조,245,단일계약,위탁선임,P형,고가수조식,위탁관리,7,20,0,무,16,"관리사무소, 노인정, 자전거보관소",5분이내,,,10~15분이내,,초등학교(창원초등학교),0,0,Y
A64149001,남아그린타워,자치관리,1,,자치관리(직영),2,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,5,"도포식,분무식",철근콘크리트구조,545,단일계약,위탁선임,P형,고가수조식,위탁관리,5,24,94,무,32,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,5분이내,"병원(엘르메디산부인과, 힘찬병원, 참사랑, 윤병원)",초등학교(),3,0,Y
A64149002,동정오성아파트,자치관리(직영),2,,위탁관리,2,남부건업,위탁관리,2,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,700,단일계약,위탁선임,P형,고가수조식,위탁관리,8,59,105,무,40,"관리사무소, 노인정, 어린이놀이터, 기타",5분이내,,,,"관공서(의창동사무소, 소답119안전센타등) 병원(보람의원, 윤병원등) 기타()",초등학교(창원),4,5,Y
A64195903,흥한웰가,위탁관리,4,남부건업,위탁관리,3,남부건업(주),위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,11,174,316,유,107,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,병원(보람의원) 대형상가(롯데마트),초등학교(창원) 중학교(창원여중),0,10,Y
A64183301,소계럭키,위탁관리,1,(주)대현종합관리,위탁관리,2,,위탁관리,2,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,234,기타,위탁선임,P형,고가수조식,위탁관리,2,30,0,무,20,,10~15분이내,,,,,,0,0,Y
A64124201,봉림휴먼시아2단지,위탁관리,6,(주)진광,위탁관리,4,(주)진광,위탁관리,2,차량수거방식,위탁관리,3,"도포식,분무식",철골철근콘크리트구조,450,단일계약,상주선임,R형,부스타방식,위탁관리,12,251,264,무,69,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(봉림동주민센터) 병원(파티마병원) 백화점(롯데백화점) 공원(수변공원) 기타(창원C.C),초등학교(한들초등학교) 중학교(봉곡) 대학교(창원대학교),8,5,Y
A64124202,LH피닉스포레,위탁관리,5,(주)삼성씨에스,위탁관리,4,삼성씨에스,위탁관리,5,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,3050,단일계약,상주선임,R형,부스타방식,위탁관리,40,96,546,유,158,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,"관공서(주민자치센타) 병원(내과, 치과, 한의원) 대형상가(봉림상가 등) 공원(큰소나무공원) 기타(창원C.C)",초등학교(2016년 개교 예정) 중학교(봉곡),0,9,Y
A64124203,봉림휴먼시아1단지,위탁관리,7,피에이아름다운관리(주),위탁관리,6,PA아름다운관리(주),위탁관리,3,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,2300,단일계약,상주선임,R형,부스타방식,위탁관리,19,362,345,무,95,"관리사무소, 노인정, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,병원() 대형상가() 공원() 기타(창원C.C),초등학교() 중학교(봉곡),0,20,Y
