kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022111,성신아트빌라,위탁관리,,신서림에스앤에스(주),,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,2,Y
A64524001,대암그린비치아파트,위탁관리,1,신서림,위탁관리,2,신서림,위탁관리,1,기타,자치관리,1,,철근콘크리트구조,331,단일계약,위탁선임,P형,고가수조식,위탁관리,5,50,0,무,31,"관리사무소, 노인정, 자전거보관소",5~10분이내,,,,,초등학교(제황),2,0,Y
A64524002,평화그린파크,위탁관리,1,신서림,자치관리(직영),2,,자치관리(직영),1,음식물쓰레기종량제,위탁관리(직영+위탁),2,분무식,철근콘크리트구조,200,기타,위탁선임,P형,고가수조식,위탁관리,5,48,55,무,20,"관리사무소, 노인정, 어린이놀이터, 휴게시설",10~15분이내,,,,,초등학교(제황),0,1,Y
A10022205,진해 수창블루안아파트,자치관리,1,,자치관리,,,자치관리,1,차량수거방식,자치관리,,,철골철근콘크리트구조,400,단일계약,위탁선임,P형,부스타방식,위탁관리,5,24,67,무,28,"관리사무소, 자전거보관소",5~10분이내,,,,,,0,2,Y
A10027971,진해유진에코블루스카이아파트,위탁관리,2,남부건업(주),위탁관리,2,남부건업,위탁관리,1,음식물쓰레기종량제,자치관리(직영),2,분무식,철골철근콘크리트구조,1400,종합계약,상주선임,R형,압력탱크식,위탁관리,5,70,88,유,55,"관리사무소, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,,,,,,0,3,Y
A64508001,미진이지비아,위탁관리,2,늘푸른주식회사,위탁관리,2,늘푸른주식회사,위탁관리,1,차량수거방식,위탁관리,3,도포식,철근콘크리트구조,1700,단일계약,상주선임,R형,부스타방식,위탁관리,7,46,146,유,43,"관리사무소, 노인정, 자전거보관소",5분이내,,,,,,4,0,Y
A64517001,태영데시앙,위탁관리,3,남부건업,위탁관리,2,남부건업,위탁관리,3,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리,6,0,279,유,54,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,6,Y
A64580601,대광아파트,자치관리,1,,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,550,단일계약,위탁선임,P형,고가수조식,위탁관리,9,28,82,무,13,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,병원(신진한의원),중학교(진해여) 고등학교(진해여),3,0,Y
A10025934,경화베스티움,위탁관리,2,(주)하나종합관리,위탁관리,2,(주)하나종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,950,종합계약,위탁선임,R형,부스타방식,위탁관리(직영+위탁),10,66,278,유,92,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원(연세에스병원),"초등학교(경화초등학교) 중학교(진해남중학교) 고등학교(진해중앙고등학교,진해세화여자고등학교)",7,0,Y
A10027134,경화동 두산위브아파트,위탁관리,5,남부건업(주),위탁관리,2,남부건업,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,3350,단일계약,상주선임,GR형,부스타방식,위탁관리,17,93,484,유,157,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,"초등학교(경화초등학교) 중학교(진해남중학교) 고등학교(진해중앙고등학교, 진해세화여자고등학교)",4,8,Y
