kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021063,만복도천비치맨션 2차 아파트,자치관리,1,,위탁관리,,경비 경험차,위탁관리,1,차량수거방식,자치관리,,,철근콘크리트구조,380,기타,위탁선임,P형,고가수조식,위탁관리,4,55,0,무,13,"관리사무소, 노인정, 자전거보관소",5분이내,,,,"관공서(도천,명정 주민센타) 병원(통영적십자,최내과의원) 공원(윤이상테마공원) 기타(테마헬쓰목욕탕,일신마트)","초등학교(두룡,인평초등학교) 중학교(통영,충무여자중학교) 고등학교(통영여자고등학교) 대학교(경상대학교해양과학대학)",0,0,Y
A65011001,영생비치2차맨션,자치관리,1,,자치관리,2,,자치관리,1,차량수거방식,자치관리,24,분무식,철근콘크리트구조,700,단일계약,위탁선임,P형,고가수조식,위탁관리,6,63,108,무,33,"관리사무소, 노인정, 자전거보관소",5분이내,,,,관공서(도천동사무소) 병원(용하부부한의원) 대형상가(삼성디지털프라자-도천점) 공원(해저터널-입구),초등학교(두룡) 중학교(통영여) 고등학교(통영여),0,0,Y
A65075601,주영라이프,자치관리,4,,자치관리,3,,자치관리(직영),1,차량수거방식,자치관리,1,,철근콘크리트구조,605,단일계약,위탁선임,P형,고가수조식,위탁관리,10,130,50,무,25,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",10~15분이내,,,,관공서(중앙동사무소) 병원() 대형상가(LG하이프라자),초등학교(충무) 중학교(동) 고등학교(제일),8,0,Y
A10021179,만복동호비취맨션,자치관리(직영),3,,,,,자치관리,1,차량수거방식,자치관리,1,,철골철근콘크리트구조,10,단일계약,위탁선임,기타,기타,위탁관리,4,68,0,유,10,,5~10분이내,,,,,,2,0,Y
A65007001,동원비치맨션,자치관리,1,,자치관리,2,,자치관리,1,차량수거방식,위탁관리,1,,철근콘크리트구조,200,기타,위탁선임,P형,고가수조식,위탁관리,5,76,0,무,16,"관리사무소, 노인정, 어린이놀이터",10~15분이내,,,,,초등학교(충무),2,0,Y
A65007002,동원비치2차,자치관리,1,,자치관리,2,,자치관리,1,차량수거방식,자치관리,1,"도포식,분무식",철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,자치관리,20,27,129,무,32,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,,초등학교(충무),4,0,Y
A10020990,대도아파트,자치관리(직영),,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10021264,삼성타워,자치관리,0,,자치관리,,,자치관리,1,차량수거방식,자치관리,,,철골철근콘크리트구조,150,단일계약,위탁선임,P형,고가수조식,위탁관리,2,10,92,무,13,"관리사무소, 노인정, 휴게시설, 커뮤니티공간",5분이내,,,,,,0,0,Y
A10027807,정량동 동원로얄듀크,위탁관리,2,세운주택관리(주),위탁관리,2,세운주택,위탁관리,2,거점장비수거방식,위탁관리,2,"도포식,분무식,기구부착식",철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리,7,77,198,유,57,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(통영시청) 병원(세계로 병원) 대형상가(롯데마트) 공원(이순신 공원),초등학교(충무초등학교),7,2,Y
A65080601,대우정우협동빌라,자치관리,1,,자치관리,2,,자치관리,1,차량수거방식,,,,철근콘크리트구조,600,기타,위탁선임,P형,고가수조식,위탁관리,2,117,0,무,21,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,관공서() 병원(한사랑의원) 대형상가() 기타(),초등학교(충무) 중학교(동) 고등학교(제일),0,0,Y
