kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A78006001,경주우방명사마을,자치관리,3,자치관리,자치관리(직영),7,,위탁관리,2,차량수거방식,자치관리,3,분무식,철근콘크리트구조,1082,단일계약,상주선임,P형,부스타방식,위탁관리,26,501,0,무,74,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",10~15분이내,,,,"관공서(대구지방경찰청,경주시청) 병원(경주동산병원) 대형상가(LG하이프라자)",초등학교(계림초등학교),5,0,Y
A78094701,장미동산타워아파트,위탁관리,2,(주)경포,위탁관리,2,(주)경포,위탁관리,2,차량수거방식,관리방식미정,,,철근콘크리트구조,130,종합계약,위탁선임,P형,부스타방식,위탁관리,8,230,0,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,"관공서(경찰서, 법원) 병원(제일한의원, 큰마디병원, 맘존 여성병원등) 기타(경주세무서)",초등학교(계림초등학교) 중학교(신라중학교) 고등학교(계림고등학교),5,0,Y
A10023023,경주충효웰라움더테라스,위탁관리,2,주식회사 서호,위탁관리(직영+위탁),1,(주)세안텍스,위탁관리(직영+위탁),0,차량수거방식,,,,철근콘크리트구조,1830.5,종합계약,상주선임,R형,부스타방식,위탁관리,14,0,276,유,122,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(선도동행정복지센터) 병원(동국대학교 경주병원),중학교(문화중학교) 고등학교(문화고등학교),0,14,Y
A10028111,신원아침도시,위탁관리,3,(주)경포,위탁관리,2,(주)경포,위탁관리,2,차량수거방식,위탁관리,2,분무식,철골철근콘크리트구조,1300,단일계약,상주선임,R형,부스타방식,위탁관리,13,131,131,유,54,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,초등학교() 중학교() 고등학교() 대학교(),0,4,Y
A78025001,삼보2차아파트,자치관리,1,,자치관리(직영),2,,자치관리(직영),1,음식물쓰레기종량제,위탁관리(직영+위탁),1,분무식,철근콘크리트구조,565,종합계약,위탁선임,P형,부스타방식,자치관리,11,151,0,무,31,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(선도동주민센타,경주선거관리위원회,충효파출소)","초등학교(경주초등학교) 중학교(월성중학교) 고등학교(경주정보,신라고등학교) 대학교(서라벌대학)",4,0,Y
A78025002,충효대신그린타운,위탁관리,1,(주)경포,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,1,분무식,철근콘크리트구조,582,단일계약,위탁선임,P형,고가수조식,위탁관리,5,14,59,무,32,"관리사무소, 노인정, 어린이놀이터",10~15분이내,,,,관공서(충효파출소) 병원(충효치과),"초등학교(경주초등학교) 중학교(월성중학교) 고등학교(경주정보,신라고등학교) 대학교(서라벌대학)",0,0,Y
A78025003,충효에덴타운,위탁관리,2,(주)경포,위탁관리,2,,위탁관리,1,음식물쓰레기종량제,위탁관리,1,분무식,철근콘크리트구조,932,단일계약,위탁선임,P형,부스타방식,위탁관리,8,116,49,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,,,2,3,Y
A78025004,"삼정그린뷰 경주본가1,2단지",자치관리,4,,자치관리,5,,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1700,단일계약,위탁선임,P형,부스타방식,위탁관리,28,250,183,무,143,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(선도동사무소) 공원(흥무공원) 기타(충효파출소),"초등학교(경주초등학교) 중학교(월성중학교) 고등학교(경주정보,신라고등학교) 대학교(서라벌대학)",0,9,Y
A78025005,삼보1차마을아파트,자치관리,1,,자치관리,4,,자치관리,2,음식물쓰레기종량제,자치관리(직영),1,분무식,철근콘크리트구조,884,단일계약,위탁선임,P형,부스타방식,위탁관리,14,117,0,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(충효파출소) 병원(세연의원,공한의원,온누리한의원,참사랑병원) 공원(흥무공원)","초등학교(경주초등학교) 중학교(월성중학교) 고등학교(경주정보,신라고등학교) 대학교(서라벌대학)",3,0,Y
A78077206,충효대우2차아파트,위탁관리,3,(주)경포,위탁관리(직영+위탁),4,(주)경포,위탁관리,3,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,800,단일계약,위탁선임,P형,부스타방식,위탁관리,14,161,136,무,69,"관리사무소, 노인정, 어린이놀이터",10~15분이내,,,,관공서(충효파출소) 병원(충효치과),"초등학교(경주초등학교) 중학교(월성중학교) 고등학교(경주정보,신라고등학교) 대학교(서라벌대학)",6,0,Y
A78077207,충효대우1차아파트,위탁관리,3,(주)경포,위탁관리(직영+위탁),4,(주)경포,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1350,단일계약,위탁선임,P형,부스타방식,위탁관리,15,146,147,무,97,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(충효파출소.국민건강보험.선도동주민센터.경주시립송화도서관) 기타(KTX 역(10분거리)),초등학교(경주초등학교) 중학교(월성중학교.문화중학교) 고등학교(신라고등학교. 문화고등학교.경주정보고등학교.) 대학교(서라벌대학.경주대학),0,6,Y
A78077208,충효이안아파트,위탁관리,19,동우씨엠(주),위탁관리,4,동우씨엠(주),위탁관리,6,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,2750,종합계약,상주선임,R형,부스타방식,위탁관리,28,0,834,유,183,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,,관공서() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,17,Y
A78077209,경주충효현대,위탁관리,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A78024001,코아루그랑블,위탁관리,5,(주)경포,위탁관리,4,(주)경포,위탁관리,6,음식물쓰레기종량제,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,3000,단일계약,상주선임,R형,부스타방식,위탁관리,26,270,645,유,214,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설",5~10분이내,,,,,초등학교(동방초등학교),10,15,Y
A10020352,경주황성고령자복지주택,위탁관리,1,대성티엠씨 주식회사,,,,위탁관리,1,,관리방식미정,,,철근콘크리트구조,650,종합계약,위탁선임,R형,부스타방식,위탁관리,3,41,0,유,23,,,,,,,,2,0,Y
A10020574,청우2차102동아파트,자치관리,1,,자치관리(직영),,,자치관리(직영),1,차량수거방식,자치관리,3,분무식,철골콘크리트구조,103,기타,위탁선임,P형,부스타방식,자치관리,0,58,0,무,22,,,,,,,,0,0,Y
A10020783,힐스테이트황성,위탁관리,6,대승종합관리(주),관리방식미정,,,관리방식미정,7,,관리방식미정,,,철근콘크리트구조,3000,종합계약,상주선임,GR형,부스타방식,관리방식미정,0,3,912,유,417,,5~10분이내,,,,,,0,40,Y
A10021126,황성삼보108동,자치관리(직영),3,,,,,자치관리,1,차량수거방식,자치관리,2,분무식,철근콘크리트구조,196,단일계약,위탁선임,P형,고가수조식,위탁관리,3,16,47,무,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,0,0,Y
A10022408,경주황성베스티움프레스티지,위탁관리,4,(주)경포,위탁관리,,주)경포,위탁관리,3,차량수거방식,위탁관리,2,분무식,콘크리트구조,175,종합계약,상주선임,GR형,부스타방식,위탁관리(직영+위탁),12,0,389,유,174,,5분이내,,,,,,0,20,Y
