kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A74010001,항도아파트,자치관리,2,,자치관리,2,,자치관리,2,거점장비수거방식,위탁관리,2,"도포식,기구부착식",철근콘크리트구조,225,단일계약,위탁선임,기타,고가수조식,위탁관리,8,135,50,무,33,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원(권오영내과의원) 대형상가(하나로마트) 기타(시외버스터미널),중학교(김천여자중학교),4,0,Y
A74076101,한일장미타운,자치관리,3,,위탁관리,2,(주)제로시스템,위탁관리,2,음식물쓰레기종량제,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,100,기타,위탁선임,P형,고가수조식,위탁관리,3,135,0,무,16,"관리사무소, 노인정",10~15분이내,,,,"관공서(김천세무서) 병원(현대정형외과) 대형상가(하이마트-김천점) 공원(강변조각공원) 기타(김천역, 시립도서관)",,3,0,Y
A74076201,동보수정맨션,자치관리,3,,위탁관리,2,제로시스템,자치관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,830,단일계약,위탁선임,P형,부스타방식,위탁관리,7,172,54,무,40,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(양금동사무소) 공원(남산공원) 기타(황금시장),,6,5,Y
A74076302,한신아파트,자치관리,2,,자치관리,2,,자치관리,1,거점장비수거방식,자치관리,3,분무식,철근콘크리트구조,850,종합계약,위탁선임,P형,부스타방식,자치관리,10,150,0,무,45,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(양금동사무소,경찰서) 병원(황금의원) 대형상가(LG하이프라자) 공원(남산공원) 기타(황금시장)",,3,0,Y
A10025304,김천삼도뷰엔빌W아파트 2단지,위탁관리,5,동우씨엠(주),위탁관리,2,동우씨엠(주),위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,1650,단일계약,상주선임,R형,부스타방식,위탁관리,11,45,492,유,187,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",10~15분이내,,,,"관공서(시청, 김천소방서, 대신동주민센터, 북부파출소) 병원(김천의료원, 제일병원) 대형상가(이마트, 롯데마트) 공원(강변조각공원)","초등학교(동신초등학교, 신일초등학교) 중학교(김천중학교) 고등학교(김천고등학교) 대학교(김천대학교, 경북보건대학교)",5,11,Y
A10025314,김천삼도뷰엔빌W1단지,위탁관리,5,(주)상일종합관리,위탁관리,2,(주)상일종합관리,위탁관리,5,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철근콘크리트구조,2100,단일계약,상주선임,GR형,부스타방식,위탁관리,17,39,707,유,230,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,15,Y
A10025403,목련아파트,자치관리,2,,관리방식미정,0,,자치관리,1,차량수거방식,관리방식미정,,,철골철근콘크리트구조,5,단일계약,선정안함,기타,고가수조식,,0,30,0,,0,"노인정, 어린이놀이터",5분이내,,,,,,0,0,Y
A74075705,신음금류1차아파트,위탁관리,3,,위탁관리,3,(주)제산,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,982,단일계약,위탁선임,P형,부스타방식,위탁관리,7,93,123,무,57,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(김천시청) 병원(제일병원) 대형상가(E마트,롯데마트) 기타(김천보건소)",초등학교(신일초등학교),5,0,Y
A74075706,대신휴먼시아,자치관리(직영),4,,위탁관리,4,(주)에이치티에스,위탁관리,2,음식물쓰레기종량제,위탁관리,3,,철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리,9,177,171,무,41,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,관공서(김천시청) 병원(김천제일병원) 대형상가(E-마트),초등학교(동신초),0,0,Y
A74075802,김천우방1차아파트,자치관리,2,,자치관리,2,,자치관리,2,차량수거방식,위탁관리,2,분무식,철근콘크리트구조,580,단일계약,위탁선임,P형,부스타방식,위탁관리,6,110,68,무,47,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(김천시청) 병원(김천제일병원) 대형상가(E-마트 . 롯데마트) 기타(김천보건소),,2,2,Y
