kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021287,흥덕주공아파트,자치관리,1,,,,,자치관리,1,차량수거방식,자치관리,4,,철골콘크리트구조,99999,단일계약,상주선임,기타,수도직결식,,0,78,0,무,7,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,0,Y
A10022011,대화2차비둘기주택 ,자치관리,1,,,,,자치관리(직영),1,차량수거방식,자치관리,6,분무식,철근콘크리트구조,0,단일계약,기타,기타,수도직결식,,0,100,0,무,16,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,,,0,0,Y
A10022119,시영아파트,자치관리(직영),2,,,,,자치관리,1,거점장비수거방식,자치관리,2,분무식,철골콘크리트구조,3,단일계약,선정안함,기타,수도직결식,,0,70,0,무,12,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,,,0,0,Y
A10022169,창신그린연립주택,자치관리,423,,,,,자치관리,3,,자치관리,,,철골철근콘크리트구조,423,단일계약,선정안함,기타,수도직결식,,0,99,0,무,14,,5분이내,,,,,,0,0,Y
A10022211,황제맨션,자치관리,2,,,,,위탁관리,3,음식물쓰레기종량제,자치관리,1,,철골철근콘크리트구조,0,단일계약,선정안함,기타,수도직결식,,0,150,0,무,25,,5분이내,,,,,,3,0,Y
A10022737,e편한세상상무아파트,위탁관리,2,주택관리공단(주)상무주거지원사업소,,0,,,,,관리방식미정,,,철근콘크리트구조,582,,위탁선임,GR형,부스타방식,위탁관리,4,,,,,,5분이내,,,,,,0,0,Y
A10023848,흥덕천년나무아파트,위탁관리,3,세화종합관리(주),,,,위탁관리,2,기타,자치관리,,,철골콘크리트구조,650,단일계약,위탁선임,GR형,부스타방식,위탁관리,5,100,64,유,50,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,4,1,Y
A74588901,주은우방,위탁관리,2,(주)제산,위탁관리,2,(주)제산,위탁관리,2,차량수거방식,위탁관리,1,분무식,철근콘크리트구조,435,종합계약,위탁선임,P형,부스타방식,위탁관리,8,189,0,무,31,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(경찰서) 병원(제일병원),초등학교(호서남초교) 중학교(문경중교) 고등학교(문창고교),4,0,Y
A74588902,푸른숲,자치관리,3,,자치관리,2,,자치관리(직영),3,차량수거방식,위탁관리,3,"분무식,독이식",철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,10,83,154,무,39,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,3,2,Y
A10020493,성덕하이빌2차(모전동),자치관리,0,,,,,자치관리,0,차량수거방식,자치관리,,,철근콘크리트구조,145,단일계약,위탁선임,P형,부스타방식,위탁관리,4,49,0,무,8,"관리사무소, 자전거보관소",,,,,,,0,0,Y
A10022187,"모전주공아파트 101,102.",자치관리,1,,자치관리,,,자치관리,1,거점장비수거방식,자치관리,1,분무식,철골철근콘크리트구조,525,단일계약,위탁선임,P형,부스타방식,위탁관리,2,55,0,무,12,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,,,3,0,Y
A10023394,문경코아루노블36,위탁관리,4,(주)상일종합관리,위탁관리,2,상일종합관리,위탁관리,2,차량수거방식,위탁관리,3,도포식,철근콘크리트구조,2400,종합계약,상주선임,GR형,고가수조식,위탁관리,5,103,139,유,45,"관리사무소, 문고, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,2,2,Y
A10025202,문경점촌코아루아파트,위탁관리,1,서반플래닝,위탁관리,2,(주)태웅,위탁관리,1,음식물쓰레기종량제,관리방식미정,0,,콘크리트구조,950,종합계약,위탁선임,R형,부스타방식,위탁관리,4,99,87,유,25,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(문경시청) 백화점(홈플러스) 공원(시민운동장),"초등학교(모전초,점촌초) 중학교(문경여중,점촌중) 고등학교(문경여고,점촌고)",0,4,Y
