kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022487,영천시 보성스타팰리스 아파트,위탁관리,5,(주)휴먼피플,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10027826,영천인터불고코아루,위탁관리,5,(주)한보주택관리,위탁관리,4,(주)한보주택,위탁관리,4,거점장비수거방식,위탁관리,4,분무식,철근콘크리트구조,2345,단일계약,상주선임,R형,부스타방식,위탁관리,11,123,440,유,101,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,3,8,Y
A77075101,망정1주공아파트,위탁관리,3,(주)휴먼피플,위탁관리,2,(주)휴먼피플,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1150,단일계약,상주선임,R형,부스타방식,위탁관리,5,189,37,무,58,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,20분초과,"관공서(영천시청,장애인종합복지관,동부동사무소,동부파출소,문외동우체국,영천문화원) 병원(영천중앙병원) 대형상가(에스에스마트,트라이얼 마트,신우유통마트) 공원(도시자연공원,근린공원) 기타(새마을회관,근로자복지회)","초등학교(포은초,동부초) 중학교(영동중) 고등학교(영동고,영천고)",5,2,Y
A77075102,망정4주공아파트,위탁관리,3,(주)상일종합관리,자치관리,3,,자치관리(직영),2,차량수거방식,위탁관리,6,분무식,철근콘크리트구조,700,단일계약,위탁선임,GR형,고가수조식,위탁관리,5,134,139,무,41,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,"관공서(영천시청, 영천소방서, 장애인종합복지관, 동부동행정복지센터, 동부파출소) 병원(영천영남대병원 ) 대형상가(신우유통마트, 영천시장, 동부상가,동아마트) 공원(도시자연공원, 근린공원) 기타(새마을회관, 근로자복지회관,영천기상관측소)","초등학교(포은초, 동부초) 중학교(영동중) 고등학교(영동고, 영천고)",6,0,Y
A77075103,망정2주공아파트,위탁관리,3,(주)상일종합관리,위탁관리,3,(주)상일종합관리,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,13,320,66,무,63,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,"관공서(영천시청,장애인종합복지관,동부동사무소,동부파출소,문외동우체국,영천문화원) 병원(영천중앙병원, 영천영대병원) 대형상가(동아마트,동부상가,신우유통마트) 공원(도시자연공원,근린공원) 기타(새마을회관,근로자복지회관)","초등학교(포은초,동부초) 중학교(영동중) 고등학교(영천고,영동고) 대학교(폴리텍대학교 로봇캠퍼스)",0,8,Y
A77075105,망정3주공아파트,위탁관리,3,(주)휴먼피플,위탁관리,4,휴먼피플,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,950,단일계약,위탁선임,R형,고가수조식,위탁관리,11,229,125,무,52,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(영천시청,장애인종합복지관,동부동사무소,완산동사무소,동부파출소) 병원(영천영대병원) 대형상가(신우유통마트,영천시장,동부상가,s/s 마트,탑마트) 공원(도시자연공원,근린공원) 기타(새마을회관,근로자복지회관,영천기상관측소)","초등학교(포은초,동부초) 중학교(영동중) 고등학교(영동고,영천고)",0,8,Y
A77075106,영천청솔아파트,위탁관리,4,(주)신한종합관리,위탁관리,4,(주)신한종합관리,위탁관리,3,기타,위탁관리,4,분무식,철근콘크리트구조,1082,단일계약,위탁선임,P형,고가수조식,위탁관리,8,340,151,무,102,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(영천시청) 병원(영천중앙병원) 공원(도시자연공원,근린공원) 기타(새마을회관,드림마트)","초등학교(포은초,동부초) 중학교(영동중) 고등학교(영동고)",10,0,Y
A77075107,영천망정5단지,위탁관리,6,동우씨엠(주),위탁관리,4,동우씨엠(주),위탁관리,5,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,15,186,320,무,79,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(영천시청,장애인종합복지관,동부동사무소,완산동사무소,동부파출소) 병원(영천중앙병원) 공원(도시자연공원,근린공원) 기타(새마을회관,근로자복지회관,영천기상관측소)","초등학교(포은초,동부초) 중학교(영동중) 고등학교(영동고,영천고)",0,5,Y
A77075108,영천아이존빌스타,위탁관리,6,(주)동우라이프산업,위탁관리,6,동우라이프산업,위탁관리,7,기타,위탁관리,4,분무식,철근콘크리트구조,3250,종합계약,상주선임,R형,부스타방식,위탁관리,25,187,756,무,175,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,공원(우로지),초등학교(포은초교) 중학교(영동중) 고등학교(영동고),0,19,Y
A77075206,창신영천타운,자치관리,7,,위탁관리,8,(주)휴먼피플,위탁관리,6,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,3345,단일계약,상주선임,P형,부스타방식,위탁관리,20,703,348,무,160,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터",5분이내,,,,"병원(영천중앙병원) 공원(도시자연공원,근린공원) 기타(새마을회관,드림마트)","초등학교(포은초,동부초) 중학교(영동중) 고등학교(영동고)",30,8,Y
A77075304,영천청호아파트,위탁관리,3,(주)목성엔지니어링,위탁관리,3,(주)목성엔지니어링,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1150,단일계약,위탁선임,P형,부스타방식,위탁관리,7,280,0,무,45,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(영천시청,장애인종합복지관,동부동사무소,동부파출소,공공청사) 병원(참좋은요양병원) 대형상가(탑마트,동부상가,새야사시장) 공원(도시자연공원,근린공원) 기타(새마을회관,근로자복지회관)","초등학교(포은초,동부초) 중학교(영동중) 고등학교(영동고,영천고)",3,0,Y
A10021065,금성아파트,자치관리,1,,,,,자치관리,1,차량수거방식,위탁관리,2,,철골콘크리트구조,14,기타,선정안함,기타,수도직결식,,0,50,0,무,8,,5~10분이내,,,,,,0,0,Y
A10021223,주공1차아파트,자치관리,1,,,,,,,,,,,,,,,,,,0,96,,,16,,5분이내,,,,,,0,0,Y
A10021870,야사주공2차아파트,자치관리,2,,,,,자치관리,1,,자치관리(직영),,,철골철근콘크리트구조,747,단일계약,선정안함,기타,수도직결식,,0,137,0,무,26,,5분이내,,,,,,0,0,Y
A10022150,유성타워맨션,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,10~15분이내,,,,,,2,0,Y
A10027138,한신더휴영천퍼스트,위탁관리,9,(주)굿모닝ENC,위탁관리,6,(주)굿모닝이엔씨,위탁관리,12,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,5700,종합계약,상주선임,GR형,부스타방식,위탁관리,28,271,1221,유,274,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(영천시청 영천소방서 동부센타) 병원(영천영대병원) 대형상가(탑마트) 공원(창신우로지),"초등학교(포은초) 중학교(영천중, 영동중) 고등학교(영천고, 영동고)",30,77,Y
