kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10026310,예천이테크코아루,위탁관리,4,(주)상일종합관리,자치관리,0,,위탁관리,2,음식물쓰레기종량제,관리방식미정,,,철골콘크리트구조,1659,종합계약,상주선임,R형,부스타방식,위탁관리,8,136,207,유,49,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(예천군청),중학교(),0,3,Y
A10021492,덕흥장미아파트,자치관리,1,,,,,자치관리,0,,자치관리,,,철근콘크리트구조,0,기타,선정안함,P형,기타,,0,63,33,무,0,,5분이내,,,,,,0,0,Y
A75780602,예천 대심 국민임대아파트,위탁관리,4,(주)삼보종합관리,위탁관리(직영+위탁),4,,위탁관리(직영+위탁),2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,11,261,30,,28,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(예천군청, 예천경찰서) 병원(예천권병원, 예천군보건소) 기타(예천공설운동장)","초등학교(예천,예천동부) 중학교(예천, 대창) 고등학교(예천여, 대창) 대학교(경도대학)",6,0,Y
A75780701,예천세아101,위탁관리,1,동우씨엠(주),위탁관리,3,,위탁관리,3,음식물쓰레기종량제,위탁관리,1,도포식,철근콘크리트구조,500,단일계약,위탁선임,P형,고가수조식,위탁관리,4,199,34,무,26,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15~20분이내,,,,"관공서(예천군청,예천경찰서) 병원(예천권병원,예천군보건소) 공원(예천남산공원,한천공원) 기타(예천공설운동장)","초등학교(예천,예천동부) 중학교(예천,대창) 고등학교(예천여,대창) 대학교(경북도립대학교)",0,0,Y
A10023739,경북도청LH아파트,위탁관리,5,대신종합관리(주),위탁관리,2,대신종합관리(주),위탁관리(직영+위탁),4,차량수거방식,관리방식미정,3,분무식,철골철근콘크리트구조,1950,단일계약,상주선임,GR형,부스타방식,위탁관리,8,111,269,유,80,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),7,1,Y
A10025688,동일스위트더파크,위탁관리,10,동우씨엠(주),위탁관리,6,(주) 동우씨엠,위탁관리,14,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,7000,단일계약,상주선임,R형,부스타방식,위탁관리,100,107,1856,유,378,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(도청, 교육청, 경찰서, 군청) 병원(개인병의원) 대형상가(농협하나로마트) 공원()","초등학교(호명초등학교, 풍서초등학교) 중학교(풍천중학교) 고등학교(경북일고)",25,15,Y
A10026139,경북도청신도시 모아엘가에듀파크,위탁관리,5,(주)상일종합관리,위탁관리,2,(주)상일종합관리,위탁관리,7,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철근콘크리트구조,3750,단일계약,상주선임,R형,부스타방식,위탁관리,32,41,770,무,256,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,,,0,16,Y
A10026661,경북도청신도시 호반베르디움2차,위탁관리,9,(주)상일종합관리,위탁관리,5,(주)상일종합관리,위탁관리,11,음식물쓰레기종량제,관리방식미정,4,분무식,철근콘크리트구조,5336,단일계약,상주선임,R형,부스타방식,관리방식미정,74,164,1303,유,358,,5분이내,,,,관공서() 공원(),초등학교(호명초등학교) 중학교(풍천중학교) 고등학교(경북일고등학교),0,31,Y
A10026880,경북도청신도시 우방아이유셀3차 센텀,위탁관리,8,동우씨엠(주),위탁관리,6,동우씨엠(주),위탁관리,11,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,5350,단일계약,상주선임,GR형,부스타방식,위탁관리,31,236,1177,유,254,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서() 공원(),초등학교() 중학교(),0,5,Y
A10026887,경북도청신도시 호반베르디움 1차,위탁관리,7,(주)한보주택관리,위탁관리,3,(주)한보주택관리,위탁관리,9,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철근콘크리트구조,4026,단일계약,상주선임,R형,부스타방식,위탁관리,23,124,935,유,250,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,,,,,,22,0,Y
