kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020491,로얄맨션1차,자치관리,1,,,,,위탁관리,1,,위탁관리,1,,철근콘크리트구조,460,단일계약,선정안함,기타,수도직결식,,0,60,0,무,16,,,,,,,,0,0,Y
A10022236,왜관주공아파트,자치관리,1,,,,,자치관리,2,,위탁관리,,,철골철근콘크리트구조,0,단일계약,기타,기타,부스타방식,,0,152,0,무,25,,5분이내,,,,,,0,0,Y
A10025856,왜관태왕아너스 센텀아파트,위탁관리,6,(주)제산,위탁관리,3,(주)제산,위탁관리,7,차량수거방식,위탁관리,4,분무식,철골콘크리트구조,3600,종합계약,상주선임,R형,부스타방식,위탁관리,38,18,827,유,157,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",20분초과,,,20분초과,,,19,12,Y
A10026693,협성휴포레 칠곡왜관,위탁관리,6,(주)상일종합관리,위탁관리,2,(주)상일종합관리,위탁관리,7,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,3550,단일계약,상주선임,R형,부스타방식,위탁관리,13,132,597,유,131,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,0,15,Y
A71880014,이원리버빌,위탁관리,1,(주)이테크,위탁관리,2,(주)이테크,위탁관리,1,차량수거방식,자치관리(직영),2,분무식,철근콘크리트구조,985,단일계약,위탁선임,P형,부스타방식,위탁관리,7,163,51,무,27,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(칠곡 군청,왜관소방서) 병원(왜관병원) 기타(왜관역,칠곡도서관)","초등학교(왜관중앙초,)",4,0,Y
A71880015,칠곡왜관2,위탁관리,5,주택관리공단(주),위탁관리,3,(주)에이치티에스,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1150,단일계약,상주선임,GR형,부스타방식,위탁관리,12,350,0,무,32,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,"관공서(칠곡교육청,왜관읍사무소,왜관파출소,대구지방법원) 병원(칠곡군보건소)","초등학교(왜관초,동부초) 중학교(왜관중,순심남중) 고등학교(순심여고)",7,0,Y
A71880109,왜관우방아파트,위탁관리,6,주식회사 맨투맨써비스,위탁관리,4,(주)대연엠씨,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1500,단일계약,상주선임,P형,부스타방식,위탁관리,24,166,0,무,122,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,"관공서(칠곡교육청, 왜관읍사무소, 왜관파출소, 칠곡군청) 병원(칠곡군보건소, 왜관병원)","초등학교(왜관초등학교, 동부초등학교) 중학교(왜관중학교, 순심남자중학교, 순심여자중학교) 고등학교(순심여자고등학교)",0,0,Y
A71880503,오성빌라맨션,위탁관리,2,한국티씨엠,위탁관리,2,한국티씨엠,위탁관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,0,기타,기타,P형,수도직결식,,0,123,0,무,29,"관리사무소, 노인정, 어린이놀이터",10~15분이내,,,,"관공서(대구지방법원,칠곡교육청,왜관읍사무소,왜관파출소) 병원(칠곡군보건소)","초등학교(왜관초,동부초) 중학교(왜관중,순심남중) 고등학교(순심여고)",4,0,Y
A71880507,대동다숲아파트,위탁관리,6,(주)상일종합관리,위탁관리,4,한국공동주택관리(주),위탁관리,5,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,22,281,458,무,147,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소",15~20분이내,,,,"관공서(칠곡군청,칠곡군립도서관,칠곡소방서,칠곡경찰서,읍사무소) 병원(칠곡군보건소,왜관병원) 공원(왜관소공원)","초등학교(왜관동부초등학교,왜관초등학교) 중학교(왜관중,순심중) 고등학교(순심고)",0,6,Y
A71880516,칠곡왜관3,위탁관리,5,주택관리공단,위탁관리,6,부흥종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,300,단일계약,상주선임,R형,부스타방식,위탁관리,19,477,36,무,51,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(칠곡군청) 병원(칠곡군보건소) 기타(왜관역,)","초등학교(동부초,) 중학교(왜관중,순심중) 고등학교(순심고,)",3,0,Y
