kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021571,송정동 펠릭스골드,위탁관리,,주식회사 성호피엔씨,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A10021956,송정동 마이다스빌,위탁관리,1,주식회사 한솔티엠에스,위탁관리,,한솔티엠에스,위탁관리,1,차량수거방식,위탁관리,2,기구부착식,철근콘크리트구조,300,단일계약,위탁선임,P형,고가수조식,위탁관리,2,31,72,무,16,,5~10분이내,,,5~10분이내,,,3,0,Y
A10022120,송정역숲안애2차아파트,위탁관리,1,현대아미스(주),,,,위탁관리,1,,관리방식미정,,,철근콘크리트구조,736,종합계약,위탁선임,R형,압력탱크식,위탁관리(직영+위탁),0,54,125,유,42,,5분이내,,,5분이내,,,4,0,Y
A10026190,광주송정역모아엘가아파트,위탁관리,3,현대아미스(주),위탁관리,4,현대아미스(주),위탁관리,3,음식물쓰레기종량제,위탁관리,3,도포식,철근콘크리트구조,1464,단일계약,상주선임,R형,부스타방식,위탁관리,13,121,292,유,111,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,1호선,,5~10분이내,관공서(광산구청  도보로 20분 거리.) 병원(도보로 20분) 기타(광주송정역 도보 10분),초등학교(광주송정서초등학교 도보20분),0,3,Y
A50601001,광신프로그레스,위탁관리,1,목송산업개발(주),위탁관리,4,목송산업개발,위탁관리,1,음식물쓰레기종량제,위탁관리,2,독이식,철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,6,59,122,유,38,"관리사무소, 노인정, 자전거보관소",5분이내,1호선,,5~10분이내,관공서(송정2동사무소) 병원(성수의원) 대형상가(LG하이프라자),초등학교(송정초) 중학교(송정중) 고등학교(전산고),0,4,Y
A50601003,상아아파트,자치관리,2,,위탁관리,2,성원산업개발,위탁관리,1,차량수거방식,자치관리,2,독이식,철근콘크리트구조,251,기타,위탁선임,P형,고가수조식,위탁관리,7,74,64,무,9,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5~10분이내,관공서(광산경찰서) 병원(성수의원) 대형상가(서울프라) 기타(송정리역),초등학교(송정서초교) 중학교(송정),3,0,Y
A50601004,온세계아이조움,위탁관리,3,현대아미스(주),위탁관리,4,현대아미스,위탁관리,2,차량수거방식,위탁관리,3,독이식,철근콘크리트구조,1355,단일계약,위탁선임,P형,부스타방식,위탁관리,15,157,228,무,72,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5~10분이내,병원(송정사랑병원),초등학교(송정초교) 중학교(송광중교),12,5,Y
A50601005,대덕9차,자치관리,2,,자치관리,2,,자치관리,2,차량수거방식,위탁관리,2,분무식,철근콘크리트구조,419,기타,위탁선임,P형,고가수조식,위탁관리,7,140,32,무,32,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5~10분이내,"병원(송정사랑병원,열린병원)",초등학교(송정초교) 중학교(송광중교),7,0,Y
A50601007,송정라인1차아파트,위탁관리,2,현대아미스(주),위탁관리,2,현대아미스,자치관리,3,차량수거방식,위탁관리,2,독이식,철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,12,204,0,무,42,"관리사무소, 노인정, 어린이놀이터",5~10분이내,1호선,,15~20분이내,"관공서(송정1동사무소, 광산구청) 병원(사랑병원, 열린병원) 공원(송정공원) 기타(광산문화예술회관)",중학교(송정중교) 고등학교(전산고),0,0,Y
A50601008,모아아파트,위탁관리,3,현대아미스(주),위탁관리,2,현대아미스,위탁관리,3,차량수거방식,위탁관리,3,도포식,철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,12,163,91,무,48,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5~10분이내,1호선,,5~10분이내,,,5,0,Y
