kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10027100,서동 영무예다음 아파트,위탁관리,3,성원산업개발(주),위탁관리,2,성원산업개발(주),위탁관리,3,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철근콘크리트구조,1150,단일계약,상주선임,R형,부스타방식,위탁관리,11,114,265,유,103,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,10~15분이내,병원() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,8,Y
A50301101,아남프라자,자치관리,1,,자치관리,3,,자치관리,1,음식물쓰레기종량제,위탁관리,1,독이식,철근콘크리트구조,431,단일계약,위탁선임,P형,고가수조식,위탁관리,6,96,50,무,29,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,남광주역,15~20분이내,관공서(남구청.서동주민센터) 병원(기독병원) 백화점(롯데백화점) 대형상가(충금지하상가) 공원(사직공원) 기타(사직시립도서관),초등학교(대성초) 중학교(수피아여중) 고등학교(석산고등학교) 대학교(호남신학대학교),3,0,Y
A10020451,더 퍼스트 데시앙,위탁관리,5,서림주택관리(주),위탁관리,,열린서비스주식회사,위탁관리,6,음식물쓰레기종량제,관리방식미정,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10020913,힐스테이트 월산아파트,위탁관리,6,성원산업개발(주),위탁관리,,성원산업개발(주),위탁관리,9,음식물쓰레기종량제,위탁관리,3,독이식,철근콘크리트구조,5400,종합계약,상주선임,GR형,부스타방식,위탁관리,27,100,905,유,448,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,10~15분이내,,,0,30,Y
A10021101,진아리채리센츠,위탁관리,3,목송산업개발(주),위탁관리,,목송산업개발(주),위탁관리,2,음식물쓰레기종량제,위탁관리,2,"분무식,독이식",철근콘크리트구조,1500,종합계약,상주선임,R형,부스타방식,위탁관리,4,18,225,유,65,"관리사무소, 주민공동시설, 자전거보관소",10~15분이내,1호선,,20분초과,,,0,3,Y
A10021613,제일맨션,자치관리(직영),1,,자치관리,,,자치관리,1,음식물쓰레기종량제,자치관리,1,도포식,철골철근콘크리트구조,200,단일계약,위탁선임,P형,고가수조식,위탁관리,2,69,0,무,4,"노인정, 기타",5분이내,,,,,,0,0,Y
A10024138,반도 유보라 더 퍼스트 아파트,위탁관리,8,(주)대호안전관리공사,위탁관리,4,(주)대호안전관리공사,위탁관리,10,음식물쓰레기종량제,위탁관리,3,독이식,철골철근콘크리트구조,5600,종합계약,상주선임,GR형,부스타방식,위탁관리(직영+위탁),22,62,1049,유,263,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,,5분이내,병원(),초등학교(),0,22,Y
A10026876,월산동이스토리,위탁관리,1,현대아미스(주),위탁관리,2,현대아미스(주),위탁관리,1,음식물쓰레기종량제,위탁관리,2,도포식,철골철근콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,14,102,49,유,60,"관리사무소, 노인정, 어린이놀이터",5~10분이내,1호선,,5~10분이내,,초등학교() 중학교(),0,7,Y
A50323001,제일파크,자치관리,1,,자치관리,2,,자치관리,1,차량수거방식,자치관리,2,도포식,철근콘크리트구조,250,종합계약,위탁선임,R형,고가수조식,위탁관리,2,68,0,무,15,,10~15분이내,,,5~10분이내,병원(동신대한방병원) 기타(금호교육문화회관),"초등학교(농성초,월산초) 중학교(무진중)",2,0,Y
A50323002,월산라인,자치관리,2,,자치관리,2,,자치관리,1,차량수거방식,위탁관리,2,독이식,철근콘크리트구조,400,기타,위탁선임,P형,고가수조식,위탁관리,5,168,103,무,25,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,병원(서울연합내과) 기타(금호교육문화회관),초등학교(월산초) 중학교(무진중),0,2,Y
