kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020723,중흥프라임베르가 아파트,위탁관리,1,주식회사 케이비개발,,,,위탁관리,1,거점장비수거방식,위탁관리,5,도포식,철근콘크리트구조,800,종합계약,위탁선임,GR형,압력탱크식,위탁관리,3,25,100,유,38,,5분이내,,,10~15분이내,,,0,3,Y
A10022790,전남대모아미래도에듀파크아파트,위탁관리,2,현대아미스(주),위탁관리,2,현대아미스(주),위탁관리,2,차량수거방식,위탁관리,1,"분무식,기구설치식",철근콘크리트구조,1355,단일계약,위탁선임,GR형,부스타방식,위탁관리,4,74,186,유,99,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",5~10분이내,,,10~15분이내,"관공서(광주 북구청) 병원(광주병원) 백화점(롯데백화점, NC백화점)","초등학교(우산초) 중학교(우산중) 대학교(전남대학교,동강대)",5,0,Y
A10023935,제일풍경채 센트럴파크 2단지,위탁관리,4,건도기업(주),위탁관리(직영+위탁),3,건도기업(주),위탁관리,4,음식물쓰레기종량제,위탁관리,3,"도포식,독이식",철근콘크리트구조,3000,종합계약,상주선임,R형,부스타방식,위탁관리,20,7,634,유,201,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,20분초과,관공서() 병원() 백화점() 대형상가() 기타(),초등학교() 중학교() 고등학교() 대학교(),0,13,Y
A10023936,제일풍경채 센트럴파크 1단지,위탁관리,21,미래공영 주식회사,위탁관리,7,SK쉴더스,위탁관리,12,음식물쓰레기종량제,위탁관리,3,독이식,철골철근콘크리트구조,6750,종합계약,상주선임,R형,부스타방식,위탁관리,26,0,1420,유,486,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,"관공서(북구청, 중흥2.3동사무소) 대형상가(홈플러스) 공원(중흥동 어린이공원)",초등학교(효동초등학교) 중학교(전대사대부중) 고등학교(전대사대부고) 대학교(전남대학교),0,29,Y
A10025129,중흥동 동우아스트로아파트,위탁관리,1,경원문화(주),위탁관리,2,경원문화(주),위탁관리,1,음식물쓰레기종량제,관리방식미정,,,철골철근콘크리트구조,975,종합계약,위탁선임,R형,부스타방식,위탁관리,8,106,73,,37,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,2,Y
A10025325,광주역다사로움아파트,위탁관리,5,주택관리공단(주),위탁관리,4,신서림에스앤에스(주),위탁관리,4,음식물쓰레기종량제,위탁관리,3,독이식,철골철근콘크리트구조,1860,단일계약,상주선임,GR형,부스타방식,위탁관리,22,25,286,무,68,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,20분초과,"대형상가(이마트, 홈플러스)","대학교(전남대학교, 광주교육대,동강대)",0,7,Y
A10026420,중흥 프라임 아너팰리스,위탁관리,1,현대아미스(주),위탁관리,2,현대아미스,위탁관리,2,음식물쓰레기종량제,자치관리,2,,철골철근콘크리트구조,1060,단일계약,위탁선임,R형,부스타방식,위탁관리,10,126,74,유,52,"관리사무소, 자전거보관소",5분이내,1호선,광주광역시 도시철도,5분이내,,,1,3,Y
A10027860,중흥영무예다음아파트,위탁관리,3,성원산업개발(주),위탁관리,2,성원산업개발(주),위탁관리,3,음식물쓰레기종량제,위탁관리,3,,철근콘크리트구조,1700,종합계약,상주선임,R형,부스타방식,위탁관리,12,126,295,유,84,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(중흥3동 주민센터) 병원(은병원),중학교(동신중학교) 고등학교(동신고등학교),0,0,Y
A50004002,모아타운,자치관리,4,,자치관리(직영),8,,자치관리,4,차량수거방식,위탁관리,3,"기구부착식,독이식",철근콘크리트구조,0,단일계약,위탁선임,P형,고가수조식,위탁관리,23,566,0,무,60,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(북구청) 병원(대승치과의원) 대형상가(LG하이프라자-우성대리점) 기타(광주역),대학교(전남대학교),0,0,Y
A10023911,금남로 대광로제비앙,위탁관리,5,미래공영 주식회사,위탁관리,4,SK쉴더스,위탁관리,6,차량수거방식,위탁관리,3,"도포식,독이식",철근콘크리트구조,3650,종합계약,상주선임,R형,부스타방식,위탁관리,16,0,671,유,154,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5~10분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,7,Y
