kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021600,교대역푸르지오트레힐즈,위탁관리,8,주식회사 맨투맨써비스,위탁관리,,주식회사 맨투맨써비스,위탁관리,11,음식물쓰레기종량제,위탁관리,4,,철근콘크리트구조,5136,종합계약,상주선임,GR형,부스타방식,위탁관리,26,0,1209,유,451,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,"1호선, 3호선",,5~10분이내,,,0,40,Y
A10023044,대봉교역 금호어울림 에듀리버,위탁관리,5,(주)상일종합관리,위탁관리,4,(주)상일종합관리,위탁관리,5,기타,자치관리,6,분무식,철골철근콘크리트구조,2545,단일계약,상주선임,GR형,기타,위탁관리,10,0,559,유,192,,5분이내,,,,,,0,12,Y
A10023312,대봉교역태왕아너스,위탁관리,5,(주)명성티엠에스,위탁관리,4,(주)에스원,위탁관리,5,음식물쓰레기종량제,위탁관리,6,분무식,철골철근콘크리트구조,2200,종합계약,상주선임,R형,부스타방식,위탁관리,11,40,515,유,159,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,3호선,,5~10분이내,,,12,0,Y
A70501007,희망교대성유니드,위탁관리,5,동우씨엠(주),위탁관리,4,진성티에스,위탁관리,5,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1800,단일계약,상주선임,R형,부스타방식,위탁관리,17,218,520,유,100,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"1호선, 3호선",,15~20분이내,"관공서(도서관,소방서,남구청,파출소,보건소,우체국,대구광역시상수도사업본부) 병원(현대의원,외과의원) 백화점(대백프라자) 대형상가(나이스마트,하이마트,동일시장,봉덕시장,남산시장) 기타(대구가든호텔,진각문화회관,신천수영장)","초등학교(대봉초,영선초) 중학교(대구중)",5,0,Y
A70577201,이천뜨란채2단지,위탁관리,3,(주)굿모닝E&C,위탁관리,3,태광메니져먼트,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1050,종합계약,위탁선임,R형,고가수조식,위탁관리,8,113,185,무,51,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,3호선,,15~20분이내,"관공서(도서관,소방서,남구청,파출소,보건소,우체국,대구광역시상수도사업본부) 병원(현대병원,외과의원,보건소) 백화점(대백프라자) 대형상가(나이스마트,하이마트,동일시장,봉덕시장,남산시장) 기타(대구가든호텔,진각문화회관,조일테니스,신천수영장)","초등학교(대봉초,동성초,영선초) 중학교(대구중)",8,6,Y
A70577204,이천강변타운,자치관리,4,,위탁관리,3,(주)청하종합개발,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,300,기타,위탁선임,P형,부스타방식,위탁관리,8,232,88,무,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,3호선,대봉교역,5분이내,"관공서(도서관,소방서,동사무소,우체국,파출소,대구광역시상수도사업본부,국민연금관리공단 남대구지사) 백화점(대백프라자) 대형상가(홀마트) 기타(진각문화회관,신천수영장,대구은행본점)","초등학교(대봉초,) 중학교(대구중,대구동중,신명여중) 고등학교(남산고)",6,0,Y
A70577206,이천주공1단지,위탁관리,5,굿모닝 E&C,위탁관리,5,(주)태광메니져먼트,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,경량철골구조,1300,단일계약,상주선임,R형,고가수조식,위탁관리,14,145,322,무,90,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,3호선,,5~10분이내,"관공서(도서관,소방서,동사무소,우체국,파출소,대구광역시상수도사업본부,국민연금관리공단 남대구지사) 병원(인제병원,현대병원) 백화점(대백프라자) 대형상가(롯데슈퍼,봉덕시장.) 기타(대구향교,진각문화회관,신천수영장,대구은행본점)","초등학교(대봉초,동성초,영선초) 중학교(대구중,신명여중) 고등학교(남산고)",0,6,Y
A70577305,보성상아맨션,위탁관리,7,나라솔루션(주),위탁관리,10,나라솔루션(주),위탁관리,4,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,2200,단일계약,상주선임,P형,부스타방식,위탁관리,18,198,170,무,120,"관리사무소, 노인정, 어린이놀이터, 유치원",5~10분이내,"1호선, 3호선","명덕,교대,건들바위",5~10분이내,"관공서(도서관,소방서,남구청,파출소,보건소,우체국,상수도사업본부,대구시교육정보원,행정복지센터) 병원(대한내과의원,성심의원) 백화점(대백프라자) 대형상가(남문시장,영선시장) 기타(대구향교,진각문화회관)","초등학교(영선초,남대구초,명덕초,대봉초) 중학교(경상중,경구중,제일중,대구중,경대사대부중) 고등학교(대구고,경북여고,경북예고,경북여자상업고,대구여자상업고,경북공고,경대사대부고) 대학교(대구교대,대구가톨릭대학원,영남이공대)",1,3,Y
A70583603,"이천뜨란채3,4단지아파트",위탁관리,5,(주)굿모닝이엔씨,위탁관리,4,(주)태광메니져먼트,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,8,146,241,무,80,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,3호선,,5분이내,"관공서(남구청,우체국,119센터,지구대) 병원(경북대학병원) 백화점(대백프라자) 대형상가(봉덕시장)","초등학교(대봉초,동성초) 중학교(대구중,신명여중,사대부증) 고등학교(남산고,협성고,사대부고)",0,8,Y
A70583802,교대역월드메르디앙,위탁관리,3,동우씨엠(주),위탁관리,4,동우씨엠,위탁관리,3,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,22,226,224,무,80,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,교대,10~15분이내,"관공서(남대구우체국,동사무소,119안전센터) 병원(남구보건소,영대병원) 대형상가(LG하이프라자) 기타(고미술품거리)","초등학교(영선초) 중학교(경상중) 고등학교(대구고,경북예술고) 대학교(영남대의대, 대구교대)",0,3,Y
A10022601,힐스테이트앞산센트럴,위탁관리,5,(주)상일종합관리,위탁관리,2,상일종합관리,위탁관리,4,차량수거방식,위탁관리,5,분무식,철근콘크리트구조,2050,종합계약,상주선임,R형,부스타방식,위탁관리,12,33,424,유,208,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,20분초과,,초등학교() 중학교() 고등학교(),0,24,Y
A10022885,앞산서한이다음,위탁관리,3,(주)상일종합관리,,0,,위탁관리,2,차량수거방식,위탁관리,5,분무식,철골철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,3,34,127,유,48,"관리사무소, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,영대병원역,5~10분이내,관공서(남구청) 병원(경대병원) 백화점(대백프라자) 대형상가(훔플러스) 공원(우방랜드) 기타(기타),초등학교(봉덕초등학교) 중학교(협성중학교) 고등학교(협성고등학교) 대학교(경북대학교),4,0,Y
A10023447,봉덕2차화성파크드림,위탁관리,5,(주)상일종합관리,위탁관리,4,상일종합관리,위탁관리,6,거점장비수거방식,위탁관리,4,,철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,18,0,644,유,355,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,20분초과,"관공서(남구청,봉덕2동 주민센터) 병원(영남대병원,대구한의대한방병원) 백화점(대백프라자) 대형상가(홈플러스) 공원(신천수변공원,앞산공원,공룡공원,수성못) 기타(봉덕신시장,남구국민체육센터)","초등학교(봉덕초등학교) 중학교(협성경복중학교,경일여자중학교) 고등학교(대구고등학교,협성고등학교,경일여자고등학교)",0,13,Y
A10024350,앞산비스타동원,위탁관리,5,(주)명성티엠에스,위탁관리,4,(주)에스원,위탁관리,5,음식물쓰레기종량제,위탁관리,4,,철골철근콘크리트구조,2682,종합계약,상주선임,R형,부스타방식,위탁관리,12,43,538,유,178,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,,,,10,14,Y
A10024585,앞산봉덕영무예다음아파트,위탁관리,5,동우씨엠(주),위탁관리,4,동우씨엠(주),위탁관리,8,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,18,45,727,유,251,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,3호선,,20분초과,관공서(봉덕2동행정복지센터) 백화점(대백프라자) 대형상가(OK마트),초등학교(봉덕초등학교),16,1,Y
