kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021503,동서동산아파트,자치관리,5,,자치관리(직영),,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,5,분무식,철골콘크리트구조,29,단일계약,선정안함,기타,수도직결식,,0,142,82,무,50,"관리사무소, 노인정, 어린이놀이터",5분이내,1호선,,5분이내,,,3,0,Y
A10021508,천내우방맨션,자치관리,3,,,,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,0,단일계약,기타,기타,수도직결식,,0,174,0,무,41,,5분이내,,,5분이내,,,0,0,Y
A10021763,천내에덴타운아파트,자치관리,10,,자치관리,,,자치관리,1,차량수거방식,위탁관리,6,분무식,철근콘크리트구조,568,단일계약,기타,기타,수도직결식,,0,85,0,유,36,"관리사무소, 노인정, 어린이놀이터",10~15분이내,1호선,화원역,10~15분이내,병원(연세병원),초등학교(천내초등학교) 중학교(천내중학교) 고등학교(대원고등학교),0,0,Y
A10021774,천내보성타운,자치관리,1,,위탁관리(직영+위탁),,자체관리,위탁관리(직영+위탁),1,음식물쓰레기종량제,자치관리,,,철골철근콘크리트구조,0,단일계약,기타,기타,수도직결식,,0,130,43,무,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5~10분이내,관공서(합동청사) 병원(보강병원) 백화점(롯대백화점) 대형상가(이마트) 공원(송해공원) 기타(수목원),초등학교(화원초등학교) 중학교(화원중학교) 고등학교(대원고등학교) 대학교(계명대학교),4,0,Y
A10022165,영남맨션,자치관리,0,,,,,위탁관리,0,,위탁관리,,,철골철근콘크리트구조,0,단일계약,선정안함,기타,수도직결식,,0,59,0,무,20,,5분이내,,,5분이내,,,0,0,Y
A10023605,화원파크뷰 우방아이유쉘,위탁관리,5,(주)굿모닝ENC,위탁관리,4,(주)굿모닝이엔씨,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3570,단일계약,상주선임,R형,부스타방식,위탁관리,13,638,72,유,217,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,화원역,5~10분이내,,,15,8,Y
A10024734,천내평광2차,자치관리,1,,자치관리,2,,자치관리,2,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,0,단일계약,선정안함,P형,수도직결식,,0,199,0,무,52,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설",5~10분이내,1호선,,5~10분이내,관공서(화원읍사무소) 병원(화원연세병원),초등학교(천내초등학교) 중학교(천내중학교),2,0,Y
A10026726,화원이진캐스빌,위탁관리,8,(주)한보주택관리,위탁관리,4,(주)한보주택관리,위탁관리,9,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,4950,단일계약,상주선임,R형,부스타방식,위탁관리,18,309,867,유,248,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,5분이내,,,12,2,Y
A71176112,화원창신타운,자치관리,1,,자치관리,2,,자치관리,3,음식물쓰레기종량제,위탁관리,6,도포식,철근콘크리트구조,0,기타,기타,P형,수도직결식,,0,300,0,무,32,"관리사무소, 노인정, 어린이놀이터",10~15분이내,1호선,,5~10분이내,"관공서(화원읍사무소,화원파출소,화원우체국) 병원(달성복음병원) 대형상가(화원종합시장)","초등학교(천내초,화원초,화남초) 중학교(달성중) 고등학교(대원고 한남미용고)",6,0,Y
A71183013,화원역태왕리더스,자치관리,3,,위탁관리,6,(주)보광씨앤에스,위탁관리,3,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,30,15,407,무,77,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5분이내,"관공서(화원읍사무소,화원파출소,화원우체국) 병원(달성복음병원) 대형상가(화원종합시장)","초등학교(천내초,화원초,화남초,명곡초) 중학교(달성중) 고등학교(대원고 한남미용고)",3,7,Y
