kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020205,동서1차타운,자치관리,1,,자치관리,,,자치관리,1,차량수거방식,자치관리,4,분무식,철골철근콘크리트구조,0,단일계약,선정안함,기타,수도직결식,,0,160,0,무,12,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",,1호선,,,,,0,0,Y
A10021423,큰고개웰그린아파트,위탁관리,1,동우씨엠(주),위탁관리,,동우씨엠(주),위탁관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,455,단일계약,위탁선임,R형,부스타방식,위탁관리,4,31,96,무,32,"관리사무소, 노인정, 자전거보관소",5분이내,1호선,,5~10분이내,,,3,1,Y
A10022603,동대구역골드클래스,위탁관리,4,(주)목성엔지니어링,위탁관리,4,(주)에스원,위탁관리,4,음식물쓰레기종량제,위탁관리,6,분무식,철골철근콘크리트구조,1600,종합계약,상주선임,R형,부스타방식,위탁관리,11,0,436,유,129,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,10~15분이내,관공서(신암3동행정복지센터) 병원(파티마병원) 백화점(신세계백화점) 대형상가(이마트),초등학교(동대구초응학교) 중학교(동구지역),0,0,Y
A10022632,동대구역엘크루 더 센트럴,위탁관리,3,(주)굿모닝ENC,위탁관리,3,(주)정풍시큐리티,위탁관리,2,,위탁관리,5,,철골콘크리트구조,2805,종합계약,상주선임,R형,부스타방식,위탁관리,7,0,279,유,105,"관리사무소, 노인정, 어린이놀이터",5분이내,1호선,,10~15분이내,,,0,5,Y
A10022700,동대구역 센텀 화성파크드림,위탁관리,12,우리관리(주),위탁관리,6,sk쉴더스,위탁관리,17,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,7614,종합계약,상주선임,GR형,부스타방식,위탁관리,118,0,1960,유,1350,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5~10분이내,관공서() 병원() 백화점() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,40,Y
A10023005,동대구더센트로데시앙,위탁관리,7,나라솔루션(주),위탁관리,6,나라솔루션(주),위탁관리,10,음식물쓰레기종량제,위탁관리(직영+위탁),4,분무식,철골콘크리트구조,3901,종합계약,상주선임,R형,부스타방식,위탁관리,21,0,1153,유,467,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,,,0,23,Y
A10023091,해링턴 플레이스 동대구,위탁관리,9,주식회사 맨투맨써비스,위탁관리,6,에스원,위탁관리,16,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,6864,단일계약,상주선임,GR형,부스타방식,위탁관리,55,13,1645,유,754,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,20분초과,공원(),초등학교() 대학교(),0,34,Y
A10023154,동대구역화성파크드림,위탁관리,10,동우씨엠(주),위탁관리,9,에스원(주),위탁관리,12,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,5410,종합계약,상주선임,R형,부스타방식,위탁관리(직영+위탁),37,0,1461,유,679,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5~10분이내,관공서(대구광역시 동구청) 병원(파티마병원 등) 백화점(신세계백화점 등) 공원(신암공원),초등학교(덕성초등학교) 중학교(신아중학교 등) 고등학교(대구공업고등학교 등) 대학교(경북대학교),0,29,Y
A10023249,동대구해모로스퀘어웨스트,위탁관리,10,청하종합개발(주),위탁관리(직영+위탁),6,청하종합개발(주),위탁관리(직영+위탁),12,거점장비수거방식,위탁관리,4,"도포식,분무식",철골콘크리트구조,5864,종합계약,상주선임,R형,부스타방식,위탁관리,45,43,1432,유,489,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,,15~20분이내,관공서(동구청) 병원(대구파티마병원) 백화점(신세계백화점) 대형상가(이마트만촌점) 공원(신암공원),초등학교(대구동부초등학교) 고등학교(대구공업고등학교),0,32,Y
A10023347,동대구해모로스퀘어이스트,위탁관리,9,동우씨엠(주),위탁관리,6,동우씨엠,위탁관리,13,음식물쓰레기종량제,위탁관리,6,,철골철근콘크리트구조,5000,기타,기타,GR형,부스타방식,위탁관리,41,8,1219,유,570,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,1호선,동구청역,20분초과,관공서() 병원() 백화점() 기타(),초등학교() 중학교() 고등학교(),0,25,Y
