kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020214,호반써밋하이브파크,위탁관리,6,(주)명성티엠에스,위탁관리,,(주)명성티엠에스,위탁관리,6,음식물쓰레기종량제,관리방식미정,5,,철골철근콘크리트구조,3750,종합계약,상주선임,R형,부스타방식,관리방식미정,9,0,706,유,192,,,,,,,,0,13,Y
A10020590,대구역자이 더 스타,위탁관리,7,(주)상일종합관리,위탁관리,,(주)상일종합관리,위탁관리,7,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,3085,종합계약,상주선임,R형,부스타방식,관리방식미정,11,4,568,유,336,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",,1호선,,,,,0,12,Y
A10020671,빌리브루센트,위탁관리,5,(주)목성엔지니어링,위탁관리,,(주)목성엔지니어링,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,조적구조,2083,종합계약,상주선임,R형,부스타방식,위탁관리,6,0,444,유,192,,5분이내,,,5분이내,,,0,10,Y
A10022463,칠성우방맨션,위탁관리,1,동우씨엠(주),위탁관리,,동우씨엠(주),위탁관리,1,,위탁관리,,,철골철근콘크리트구조,480,단일계약,위탁선임,P형,고가수조식,위탁관리,0,47,102,유,22,,5~10분이내,,,,,,0,3,Y
A10024067,대구역한라하우젠트센텀,위탁관리,5,(주)에스엘산업개발,위탁관리,2,(주)에스엘산업개발,위탁관리,2,음식물쓰레기종량제,위탁관리,5,도포식,철골철근콘크리트구조,1652,단일계약,상주선임,GR형,부스타방식,위탁관리,10,18,316,무,83,"관리사무소, 자전거보관소",5분이내,1호선,,10~15분이내,관공서(북부소방서) 백화점(롯데백화점),"초등학교(칠성초등학교) 중학교(경명여자중학교) 고등학교(경명여자고등학교,칠성고등학교)",3,0,Y
A10026505,오페라삼정그린코아더베스트,위탁관리,5,(주)굿모닝ENC,위탁관리,4,(주)굿모닝이엔씨,위탁관리,7,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,2550,단일계약,상주선임,R형,부스타방식,위탁관리,14,62,669,유,140,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,5~10분이내,,초등학교(),0,15,Y
A10026649,대구역 유림노르웨이숲,위탁관리,5,(주)상일종합관리,위탁관리,2,에스엘산업개발,위탁관리,4,음식물쓰레기종량제,위탁관리,5,,철근콘크리트구조,3000,단일계약,상주선임,GR형,부스타방식,위탁관리,6,106,325,유,143,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,5분이내,,,9,8,Y
A10026896,대구역 서원프레시빌,위탁관리,2,(주)동우라이프산업,위탁관리,2,(주)동우라이프산업,위탁관리,1,차량수거방식,위탁관리,6,분무식,철근콘크리트구조,973,단일계약,위탁선임,R형,부스타방식,위탁관리,4,149,40,유,33,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소",5~10분이내,1호선,,5분이내,관공서() 병원() 백화점(),초등학교() 중학교() 고등학교(),1,3,Y
A70274601,대구역 서희스타힐스,위탁관리,8,동우씨엠(주),위탁관리,6,(주)상일종합관리,위탁관리,13,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,4550,단일계약,상주선임,R형,부스타방식,위탁관리,34,187,1426,유,301,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,1호선,,10~15분이내,관공서(북구청) 병원(경북대학교병원) 백화점(롯데백화점) 대형상가(홈플러스) 공원(칠성어린이공원),초등학교(칠성초등학교) 중학교(경명여중) 고등학교(칠성고등학교),0,61,Y
A70274602,오페라 코오롱하늘채,위탁관리,6,(주)상일종합관리,위탁관리,4,에스원,위탁관리,6,차량수거방식,위탁관리,6,분무식,철골철근콘크리트구조,3082,단일계약,상주선임,GR형,부스타방식,위탁관리,12,80,522,유,125,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",,5~10분이내,"관공서(북구청,보건소) 백화점(롯데백화점) 대형상가(홈플러스) 기타(대구오페라하우스)","초등학교(옥산초등학교) 중학교(경명여자중학교) 고등학교(경명여고,칠성고)",16,0,Y
A70277601,칠성삼성아파트,위탁관리,5,(주)목성엔지니어링,위탁관리,14,(주)목성엔지니어링,위탁관리,5,차량수거방식,위탁관리,6,분무식,철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,16,280,357,무,101,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5~10분이내,"관공서(대구시민회관,대구광역시도시개발공사,국민건강보험공단,동사무소) 병원(경북대학교병원) 백화점(롯데백화점) 대형상가(이마트) 기타(오페라하우스,시민운동장,대구역)","초등학교(옥산초,칠성초) 중학교(경명여중) 고등학교(경명여고, 칠성고등학교)",3,15,Y
