kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020241,어나드 범어,위탁관리,5,주식회사 맨투맨써비스,위탁관리,,주식회사 맨투맨써비스,위탁관리,5,음식물쓰레기종량제,관리방식미정,,,철골철근콘크리트구조,6000,종합계약,상주선임,GR형,부스타방식,관리방식미정,19,0,1314,유,375,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",,"1호선, 2호선",,,,,0,28,Y
A10021377,우방3차범어타운아파트,위탁관리,3,(주)목성엔지니어링,,,,위탁관리,1,차량수거방식,관리방식미정,3,,철골철근콘크리트구조,1,기타,선정안함,기타,수도직결식,,0,71,0,무,16,,5분이내,,,5~10분이내,,,0,0,Y
A10021578,아진맨션,자치관리,3,,,,,자치관리,2,차량수거방식,자치관리,,,철근콘크리트구조,0,단일계약,선정안함,P형,고가수조식,,0,112,0,무,8,"관리사무소, 노인정, 어린이놀이터",5~10분이내,3호선,,5~10분이내,,,0,0,Y
A10021982,범어아이파크,위탁관리,6,(주)상일종합관리,위탁관리(직영+위탁),,(주)상일종합관리,위탁관리(직영+위탁),6,음식물쓰레기종량제,위탁관리,6,분무식,철골콘크리트구조,3000,단일계약,상주선임,R형,부스타방식,위탁관리,15,0,736,유,252,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,3호선,수성구민운동장역,5~10분이내,,,0,104,Y
A10022085,효성백년가약궁,위탁관리,2,(주)목성엔지니어링,위탁관리(직영+위탁),,목성엔지니어링,위탁관리,2,기타,위탁관리(직영+위탁),4,분무식,철골철근콘크리트구조,380,종합계약,위탁선임,P형,부스타방식,위탁관리,3,89,141,무,52,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5~10분이내,2호선,,,,,5,0,Y
A10022285,범어목련아파트,자치관리,1,,자치관리(직영),,,자치관리(직영),2,음식물쓰레기종량제,자치관리(직영),,,철골콘크리트구조,20,기타,기타,기타,기타,,0,150,0,무,0,"노인정, 어린이놀이터, 휴게시설",5분이내,,,20분초과,,,0,0,Y
A10022571,청구빌라맨션,위탁관리,1,(주)에스엘산업개발,위탁관리,2,(주)에스엘산업개발,관리방식미정,0,음식물쓰레기종량제,위탁관리,2,분무식,철골콘크리트구조,400,종합계약,위탁선임,P형,고가수조식,위탁관리,1,60,0,무,16,관리사무소,5분이내,2호선,,5~10분이내,,,0,0,Y
A10022866,수성범어W아파트,위탁관리,13,동우씨엠(주),위탁관리,20,에스원,위탁관리,25,거점장비수거방식,,,,철골철근콘크리트구조,1500,종합계약,상주선임,R형,부스타방식,위탁관리,25,175,1625,유,841,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"2호선, 3호선",,,관공서(수성구청) 병원(수성메트로병원) 대형상가(홈플러스) 공원(범어공원),초등학교(범어초등학교) 중학교(경신중학교) 고등학교(경신고등학교) 대학교(수성대학교),0,18,Y
A10023068,쌍용 더 플래티넘 범어,위탁관리,5,(주)상일종합관리,위탁관리,2,(주)상일종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철골콘크리트구조,2125,종합계약,상주선임,GR형,부스타방식,위탁관리,7,11,391,유,140,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,2호선,,5분이내,"관공서(수성구청, 범어동행정복지센터) 병원() 공원(야시골 공원)","초등학교(범어초등,동도초등,동천초등,동일초등,) 중학교(대구중앙중,대구 동도중, 경신중,성광중) 고등학교(대구여고, 영신고, 경신고, 중앙고)",0,8,Y
A10023842,빌리브범어 120,위탁관리,2,동우씨엠(주),위탁관리,3,동우씨엠(주),위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1785,종합계약,상주선임,R형,부스타방식,위탁관리,14,0,298,유,122,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,2호선,,5분이내,"관공서(수성구청, 범어4동행정복지센터, 119만촌지구대, 수성경찰서, 범어도서관, 대구국립박물관) 병원(수성 메트로 병원, 경북대 병원,) 백화점(신세계 백화점, 현대백화점, 롯데백화점) 공원(어린이 대공원)",초등학교() 중학교() 고등학교() 대학교(),0,8,Y
