kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020650,해링턴플레이스휴리움아파트,위탁관리,9,(주)우길,위탁관리,,(주)미래엠에스,위탁관리,11,음식물쓰레기종량제,위탁관리,6,분무식,철골콘크리트구조,4750,종합계약,상주선임,GR형,부스타방식,관리방식미정,27,37,1166,유,370,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,20분초과,,,0,25,Y
A10020666,하늘채스카이앤2차,위탁관리,8,대한주택종합관리(주),위탁관리,,에스앤씨,위탁관리,11,음식물쓰레기종량제,위탁관리,5,분무식,철골철근콘크리트구조,4500,종합계약,상주선임,GR형,,,0,0,1107,유,514,,5~10분이내,,,10~15분이내,,,0,0,Y
A10021505,대전 한신더휴 리저브,위탁관리,6,대한주택종합관리(주),위탁관리,,(주)에스엔씨,위탁관리,7,음식물쓰레기종량제,위탁관리,5,분무식,,,,,,,위탁관리,0,,,,,,5분이내,,,10~15분이내,,,0,0,Y
A10022439,하늘채스카이앤1차,위탁관리,9,대한주택종합관리(주),위탁관리,,(주)에스앤씨,위탁관리,13,음식물쓰레기종량제,위탁관리,5,분무식,철골철근콘크리트구조,7938,종합계약,상주선임,R형,부스타방식,위탁관리,29,0,1334,유,282,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,,,,0,73,Y
A10022763,해모로 더 센트라,위탁관리,8,(주)우길,위탁관리,5,제일씨앤에스(주),위탁관리,10,음식물쓰레기종량제,위탁관리,3,도포식,철근콘크리트구조,4750,종합계약,상주선임,R형,부스타방식,위탁관리,29,9,1086,유,369,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,1호선,대전지하철,5~10분이내,관공서() 병원(),초등학교() 중학교() 고등학교(),0,55,Y
A10022768,아르젠아파트,위탁관리,3,중앙종합관리(주),자치관리(직영),2,,자치관리,1,차량수거방식,위탁관리,6,분무식,철골철근콘크리트구조,22900,종합계약,위탁선임,P형,부스타방식,위탁관리,1,24,86,무,30,관리사무소,5분이내,,,,,,3,0,Y
A10023908,에이스퀘어,위탁관리,5,중앙종합관리(주),위탁관리,2,중앙종합관리,위탁관리(직영+위탁),2,차량수거방식,위탁관리,,,철골콘크리트구조,950,종합계약,상주선임,R형,부스타방식,위탁관리,3,0,117,무,79,"관리사무소, 자전거보관소",5분이내,1호선,중구청역,5분이내,관공서(중구청) 병원(대전성모병원) 백화점(세이백화점) 대형상가(NC백화점) 공원(서대전공원),초등학교(성모초등학교),0,1,Y
A10025907,빌리프,위탁관리,1,제이와이시스템,위탁관리(직영+위탁),2,,위탁관리(직영+위탁),1,거점장비수거방식,위탁관리,5,분무식,철골철근콘크리트구조,950,종합계약,위탁선임,R형,부스타방식,위탁관리,6,142,2,무,84,"관리사무소, 휴게시설, 자전거보관소",5분이내,1호선,,5~10분이내,"관공서(중구청,중부경찰서,선화우체국,은행선화주민센터,중구보건소,대전세무서) 병원(충남대병원,카톨릭성모병원) 백화점(세이,NC)",,0,3,Y
A10027096,선화2참좋은아파트,위탁관리,2,(주)에이스,위탁관리,2,(주)미래엠에스,자치관리(직영),2,음식물쓰레기종량제,위탁관리,6,분무식,철골철근콘크리트구조,1600,종합계약,상주선임,R형,부스타방식,위탁관리,6,36,400,무,171,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,중앙로역,10~15분이내,관공서(은행.선화 행정자치센터) 백화점() 대형상가(),"초등학교(선화초등학교) 고등학교(호수돈여자고등학교, 대전여자상업고등학교, 중앙고등학교, 보문고등학교)",10,0,Y
A10027570,스마트284,위탁관리,1,(주)아이인,위탁관리,1,씨엘크린산업 (주),위탁관리,1,차량수거방식,위탁관리,6,분무식,철골콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,4,26,59,무,35,"관리사무소, 자전거보관소",5분이내,1호선,대전지하철,5분이내,,,0,0,Y
