kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10027989,신화명리버뷰자이아파트,위탁관리,7,(주)디이씨오,위탁관리,6,(주)비앤에이서비스,위탁관리,8,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,4750,단일계약,상주선임,GR형,부스타방식,위탁관리,18,0,871,유,212,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터",5분이내,2호선,,,,,0,12,Y
A10028138,동원역삼정그린코아,위탁관리,6,(주)디이씨오,위탁관리,4,(주)비앤에이서비스,위탁관리,5,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3182,단일계약,상주선임,R형,부스타방식,위탁관리,12,5,540,유,161,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,2호선,,5분이내,병원(금곡제일의원) 대형상가(LG하이프라자) 기타(금곡청소년수련원),"초등학교(금곡초,신금초) 중학교(금곡중)",5,0,Y
A61673901,이안금곡아파트,위탁관리,2,(주)에이비씨서비스,위탁관리,2,에이비씨서비스,위탁관리,2,음식물쓰레기종량제,위탁관리,3,도포식,철근콘크리트구조,982,단일계약,위탁선임,P형,부스타방식,위탁관리,5,30,192,무,61,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,2호선,,10~15분이내,"관공서(금곡동사무소,금곡동우체국,종합사회복지관,지식형산업센터) 병원(북구보건소) 대형상가(롯데마트,농협하나로클럽전자랜드21) 기타(한국인력개발타운,어촌민속전시관)","초등학교(금명,화명,대천리,명진) 중학교(화신,대천리,명진) 고등학교(금곡,화명)",2,3,Y
A61673902,율리벽산블루밍,위탁관리,6,(주)장천,위탁관리,6,(주)세웅서비스,위탁관리,6,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,3900,단일계약,상주선임,R형,부스타방식,위탁관리,16,15,637,유,139,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,2호선,,5분이내,"관공서(금곡동사무소,금곡동우체국,종합사회복지관) 병원(김내과소아과의원) 대형상가(농협하나로클럽전자랜드21) 기타(한국인력개발타운)","초등학교(신금초,금명초) 중학교(금명중) 고등학교(금곡)",2,13,Y
A61674824,부산율리마을,위탁관리,6,주택관리공단(주),위탁관리,6,주식회사 진성티에스,위탁관리,5,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1150,단일계약,상주선임,R형,부스타방식,위탁관리,15,313,281,무,71,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,2호선,율리,5분이내,"관공서(금곡동행정복지센터, 금곡동우체국, 금곡파출소) 병원(김내과소아과의원) 대형상가(농협하나로클럽) 공원(화명생태공원) 기타(산업인력공단)","초등학교(신금초,금곡초) 중학교(금명중) 고등학교(금곡고)",12,0,Y
A61674912,화명뜨란채,위탁관리,6,부경공영(주),위탁관리,2,(주)듀델코리아,위탁관리,10,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2050,단일계약,상주선임,R형,부스타방식,위탁관리,22,422,443,무,129,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",5~10분이내,2호선,율리,5~10분이내,"관공서(금곡동사무소,금곡동우체국,종합사회복지관) 병원(남도의원) 대형상가(농협하나로클럽,전자랜드21) 공원(근린공원) 기타(한국인력개발타운)","초등학교(신금,금명) 중학교(금명중) 고등학교(금곡고)",13,0,Y
A61676006,금곡한솔아파트,위탁관리,5,(주)삼성T.M.S,위탁관리,12,(주)삼성보안공사,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,1250,단일계약,상주선임,P형,부스타방식,위탁관리,14,351,246,무,82,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,2호선,,5분이내,"관공서(금곡소방파출소,금곡본동우체국,금곡종합사회복지관) 병원(금곡제일의원) 대형상가(LG하이프라자) 기타(금곡청소년수련원)","초등학교(금창초,금곡초) 중학교(금곡중) 고등학교(금곡고, 화명고)",0,12,Y
A61676118,금곡주공1단지,위탁관리,8,한국토지주택공사 금곡1관리소,위탁관리,6,목송산업개발(주),위탁관리,1,차량수거방식,위탁관리,3,,철근콘크리트구조,550,기타,상주선임,R형,부스타방식,위탁관리,14,253,0,무,53,,5분이내,,,5분이내,"관공서(금곡소방파출소,금곡본동우체국,금곡종합사회복지관) 병원(금곡제일의원) 대형상가(LG하이프라자) 공원(무지개공원) 기타(금곡청소년수련원)","초등학교(금창초,금곡초) 중학교(금곡중)",6,0,Y
A61676215,금곡주공2단지,위탁관리,11,한국토지주택공사 부산울산지역본부,위탁관리,8,신서림에스앤에스(주),위탁관리,2,기타,위탁관리,3,분무식,철근콘크리트구조,650,단일계약,상주선임,R형,부스타방식,위탁관리,20,372,0,무,79,"관리사무소, 노인정, 기타",5분이내,"2호선, 2호선","동원, 동원",5분이내,"관공서(금곡본동우체국,금곡종합사회복지관) 병원(금곡병원) 기타(금곡청소년수련원)","초등학교(금곡초,금창초) 중학교(금곡중)",9,0,Y
A61676316,금곡주공3단지아파트,위탁관리,8,(주)우림종합관리,위탁관리,18,(주)태협,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1750,단일계약,상주선임,P형,부스타방식,위탁관리,21,586,65,무,118,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,2호선,,5~10분이내,"관공서(금곡소방파출소,금곡본동우체국,금곡종합사회복지관,금곡종합사회복지관) 병원(빛하늘의원. 연세소아청소년과) 대형상가(농협하나로마트, 롯데마트) 기타(금곡청소년수련원)","초등학교(금창초,금곡초) 중학교(금곡중) 고등학교(금곡고등학교)",12,0,Y
A61676422,금곡주공4단지,위탁관리,11,주택관리공단(주),위탁관리,9,신서림에스앤에스(주),위탁관리,2,차량수거방식,위탁관리,3,,철근콘크리트구조,850,기타,상주선임,기타,부스타방식,위탁관리,27,351,0,무,88,"관리사무소, 노인정, 보육시설, 주민공동시설",10~15분이내,2호선,"동원,율리",10~15분이내,"관공서(금곡동사무소,금곡동우체국,종합사회복지관) 병원(금곡병원) 대형상가(농협하나로클럽전자랜드21) 기타(한국인력개발타운,금곡청소년수련원)","초등학교(신금초,금곡초) 중학교(금곡중)",8,0,Y
A61676509,금곡주공5단지아파트,위탁관리,5,(주)deco,위탁관리,8,(주)DECO,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"분무식,기구부착식",철근콘크리트구조,665,단일계약,위탁선임,P형,부스타방식,위탁관리,10,143,93,무,55,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,2호선,,5~10분이내,관공서(금곡공 주민센터) 병원(일신기독병원) 백화점(없음) 대형상가(롯데마트) 공원(화명생태공원) 기타(양산시설관리공단),"초등학교(신금초등학교) 중학교(금명중학교) 고등학교(금곡고등학교) 대학교(부산정보대학, 부산대학교양산캠퍼스)",3,2,Y
A61676605,금곡주공6단지아파트,위탁관리,4,(주)우림종합관리,위탁관리,4,(주)우림종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,200,기타,위탁선임,P형,고가수조식,위탁관리,8,146,111,무,48,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 기타",5~10분이내,2호선,,5~10분이내,"관공서(금곡동사무소,금곡동우체국,종합사회복지관) 병원(금곡병원) 대형상가(농협하나로클럽전자랜드21) 기타(한국인력개발타운,금곡청소년수련원)","초등학교(신금초,화명초,금명) 중학교(금명) 고등학교(금곡)",0,2,Y
