kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020434,현대신델라맨션,자치관리,2,,자치관리,,,자치관리,1,차량수거방식,자치관리,2,분무식,철골철근콘크리트구조,450,기타,위탁선임,P형,고가수조식,위탁관리,4,53,0,무,13,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",,1호선,,,,,0,0,Y
A10020442,대티역스마트W,위탁관리,2,(주)고태,위탁관리,,고태,위탁관리,1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1400,단일계약,위탁선임,GR형,부스타방식,위탁관리,5,4,46,유,56,"관리사무소, 기타",,1호선,,,,,1,0,Y
A10022407,경성스마트W2차,위탁관리,2,(주)장천,위탁관리,,(주)장천,위탁관리,1,,위탁관리,,,철골콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,0,48,118,유,46,,5분이내,,,5~10분이내,,,2,2,Y
A10023440,힐스테이트사하역 아파트,위탁관리,11,(주)혜강종합관리,위탁관리,8,(주)에스원,위탁관리,13,음식물쓰레기종량제,위탁관리,3,도포식,철근콘크리트구조,8000,종합계약,상주선임,R형,부스타방식,위탁관리,46,0,1566,유,443,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,1호선,,5~10분이내,관공서(사하구청),,0,76,Y
A10023969,사하한신더휴아파트,위탁관리,8,(주)디이씨오,위탁관리,6,(주)비씨에스,위탁관리,10,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,4750,종합계약,상주선임,GR형,부스타방식,위탁관리,21,5,897,유,284,,5~10분이내,,,5~10분이내,,,0,5,Y
A10024383,사하역비스타동원,위탁관리,5,(주)청풍산업,위탁관리,4,(주)태협,위탁관리,5,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철골철근콘크리트구조,2400,종합계약,상주선임,R형,부스타방식,위탁관리,13,0,616,유,198,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,2호선,,5분이내,관공서(사하구청) 병원(),초등학교() 중학교() 고등학교() 대학교(),0,13,Y
A10024844,괴정신동아파밀리에 아파트,위탁관리,2,,위탁관리,2,(주)듀델코리아,위탁관리,2,차량수거방식,관리방식미정,2,,철근콘크리트구조,1215,종합계약,위탁선임,R형,압력탱크식,위탁관리,7,74,69,유,63,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",10~15분이내,1호선,,10~15분이내,,,0,0,Y
A10025542,괴정어반푸르지오,위탁관리,4,(주)명건,,,,위탁관리,2,음식물쓰레기종량제,자치관리,1,"도포식,분무식",철골철근콘크리트구조,1550,단일계약,상주선임,R형,부스타방식,위탁관리,4,0,175,유,61,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소",5분이내,1호선,,5분이내,관공서() 병원() 백화점() 대형상가(),초등학교() 중학교() 고등학교() 대학교(),0,3,Y
A10027002,IDS아델하임,위탁관리,3,(주)디이씨오,위탁관리,2,(주)디이씨오,위탁관리,2,음식물쓰레기종량제,위탁관리,5,분무식,철골철근콘크리트구조,1250,종합계약,위탁선임,GR형,부스타방식,위탁관리,3,0,186,무,72,"관리사무소, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,,,0,3,Y
A10027464,괴정협성휴포레아파트,위탁관리,6,(주)삼성T.M.S,위탁관리,4,(주)에스원,위탁관리,4,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,2250,종합계약,상주선임,R형,부스타방식,위탁관리,8,0,484,무,101,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,1호선,,5분이내,대형상가(뉴코아아울렛),"초등학교(옥천초등학교, 사하초등학교) 중학교(동주여중, 장평중, 사하중) 고등학교(해동고, 동아고, 삼성여고, 부산일과학고) 대학교(동주대학교, 동아대학교)",0,0,Y
A10027875,괴정 경성스마트W아파트,자치관리,2,,자치관리(직영),2,,자치관리,1,차량수거방식,위탁관리,5,분무식,철근콘크리트구조,1310,단일계약,위탁선임,R형,부스타방식,위탁관리,5,0,162,유,20,관리사무소,5분이내,1호선,,5~10분이내,관공서(괴정3동치안센타) 대형상가(뉴코아 아울렛) 기타(괴정시장),초등학교(괴정초등학교) 대학교(동주대학교),0,0,Y
A10028150,괴정K스타파크 아파트,위탁관리,3,(주)장천,위탁관리,2,(주)동아에스엔씨,위탁관리,2,음식물쓰레기종량제,자치관리,,도포식,철근콘크리트구조,950,단일계약,상주선임,R형,부스타방식,위탁관리,9,72,180,무,57,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,,5분이내,관공서(괴정2동 주민센터) 병원(동아대병원) 백화점(롯데백화점) 대형상가(뉴코아아울렛) 공원(을숙도공원),초등학교(괴정초등학교) 중학교(동주중학교) 고등학교(동아고등학교) 대학교(동아대학교),2,3,Y
A60408001,괴정새보람더존빌,위탁관리,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A60470501,괴정참누리아파트,자치관리,2,,자치관리,2,,자치관리,2,거점장비수거방식,자치관리(직영),4,분무식,철근콘크리트구조,1050,단일계약,위탁선임,R형,부스타방식,위탁관리,7,45,131,무,36,"관리사무소, 노인정, 어린이놀이터",5~10분이내,1호선,,5~10분이내,병원(이동훈치과) 대형상가(뉴코아아우렛),초등학교(괴정초등학교) 고등학교(동주) 대학교(동주),0,9,Y
