kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10025433,수영sk뷰 1단지,위탁관리,9,(주)로이안,위탁관리,6,(주)에스원,위탁관리,11,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,4750,종합계약,상주선임,R형,부스타방식,위탁관리,25,9,1355,유,335,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,3호선,,10~15분이내,,초등학교() 중학교() 고등학교(),0,27,Y
A10025468,수영sk뷰2차아파트,위탁관리,3,(주)아스타아이비에스,관리방식미정,0,,위탁관리,1,음식물쓰레기종량제,관리방식미정,,,철골철근콘크리트구조,700,종합계약,위탁선임,R형,부스타방식,위탁관리,3,37,62,,37,"관리사무소, 노인정, 휴게시설, 자전거보관소",10~15분이내,3호선,,20분초과,,,0,0,Y
A10025719,망미한성기린아파트,자치관리,1,,위탁관리,2,(주)하나티엠,자치관리,1,차량수거방식,위탁관리,1,"분무식,독이식",철근콘크리트구조,345,기타,위탁선임,P형,부스타방식,위탁관리,2,25,44,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,2호선,,10~15분이내,,초등학교(망미초등학교),2,0,Y
A10026821,망미 이진캐스빌 아파트,위탁관리,5,(주)하이테크주택,위탁관리,2,(주)하이테크주택,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2200,단일계약,상주선임,GR형,부스타방식,위탁관리,11,0,371,유,111,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,3호선,,10~15분이내,,,0,8,Y
A61313001,망미삼성아파트,위탁관리,8,(주)장천,위탁관리,14,(주)로이안에이치앤에프부산지점,위탁관리,6,기타,관리방식미정,4,"도포식,분무식",철근콘크리트구조,2000,단일계약,상주선임,P형,고가수조식,위탁관리,22,570,0,무,83,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소, 기타",10~15분이내,3호선,,15~20분이내,관공서(부산지방병무청) 병원(효성병원) 공원(수영사적공원),"초등학교(배산초등교,수미초등교) 중학교(광안중학교) 고등학교(남일고교,부산배화학교,부산여상고교,덕문여고)",20,0,Y
A61313002,망미동the#파크리치,위탁관리,7,(주)명건,위탁관리,6,kt텔레캅,위탁관리,9,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,3650,단일계약,상주선임,GR형,부스타방식,위탁관리,22,120,1552,유,202,"관리사무소, 노인정, 보육시설, 어린이놀이터",5분이내,3호선,,5분이내,"관공서(병무청) 병원(좋은강안병원) 대형상가(이마트, 메가마트) 공원(수영사적공원)",초등학교(배산초등학) 중학교(망미) 고등학교(남일고등학),0,34,Y
A61313201,센텀수영강변1차e-편한세상아파트,위탁관리,5,(주)삼성T.M.S,위탁관리,6,주)목평인력개발,위탁관리,4,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,1860,종합계약,상주선임,R형,부스타방식,위탁관리,12,209,273,무,69,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,3호선,,15~20분이내,관공서(부산지방병무청) 병원(효성병원) 대형상가(코스트코) 공원(수영사적공원),초등학교(망미초등교),3,7,Y
A61313202,센텀수영강변2차e-편한세상아파트,위탁관리,5,세화플러스 주식회사,위탁관리,4,(주) 세웅서비스,위탁관리,5,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,1800,단일계약,상주선임,R형,부스타방식,위탁관리,11,147,292,무,63,"관리사무소, 노인정, 어린이놀이터",5~10분이내,"2호선, 3호선",,15~20분이내,관공서(부산지방병무청) 병원(센텀병원) 대형상가(코스트코) 공원(수영사적공원),초등학교(망미초등교),0,14,Y
A61313203,수영강변대림3차 e-편한세상아파트,위탁관리,5,(주)삼성T.M.S,위탁관리,6,(주)삼성티엠에스,위탁관리,5,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2150,단일계약,상주선임,R형,부스타방식,위탁관리,12,241,384,무,110,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,15~20분이내,"관공서(부산지방병무청) 병원(효성병원) 백화점(롯데백화점,신세계백화점) 대형상가(코스트코) 공원(수영사적공원)","초등학교(망미초등교) 중학교(광안중학교,) 고등학교(남일고등학교,덕문여교)",13,5,Y
A61376503,망미로얄베스토피아아파트,위탁관리,5,삼성T.M.S,위탁관리,10,(주)삼성티엠에스,위탁관리,3,음식물쓰레기종량제,관리방식미정,4,분무식,철근콘크리트구조,714,단일계약,위탁선임,P형,고가수조식,위탁관리,21,222,113,무,16,"관리사무소, 노인정, 어린이놀이터",5~10분이내,3호선,,10~15분이내,관공서(부산지방병무청) 병원(효성병원) 공원(수영사적공원),초등학교(배산초등교) 고등학교(남일고교),0,0,Y
A61376701,망미한신아파트,자치관리,3,,위탁관리,4,(주)목평인력개발,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,250,기타,위탁선임,기타,고가수조식,위탁관리,9,192,0,유,16,"관리사무소, 노인정, 어린이놀이터",5~10분이내,3호선,,10~15분이내,관공서(부산지방병무청) 병원(효성병원) 공원(수영사적공원),"초등학교(배산초등교) 중학교(망미중학교) 고등학교(남일고교,부산여상고교)",10,0,Y
A61376802,현대한누리아파트,위탁관리,4,,위탁관리,8,(주)하나종합관리,위탁관리,4,음식물쓰레기종량제,위탁관리,6,"분무식,기구부착식",철근콘크리트구조,1445,단일계약,상주선임,P형,부스타방식,위탁관리,18,400,0,무,45,"관리사무소, 노인정, 어린이놀이터",5분이내,3호선,,10~15분이내,관공서(부산지방병무청) 병원(효성병원) 대형상가(LG전자) 공원(수영사적공원),"초등학교(수미초등교) 고등학교(부산배화학교,부산여상고교)",6,0,Y
